,discrate,year,rcp,damages,pulse,variable
2291,5.0,2016.0,rcp85,0.0,pulse,ce_betas_SSP3
2292,5.0,2017.0,rcp45,0.0,pulse,ce_betas_SSP3
2293,5.0,2017.0,rcp85,0.0,pulse,ce_betas_SSP3
2294,5.0,2018.0,rcp45,0.0,pulse,ce_betas_SSP3
2295,5.0,2018.0,rcp85,0.0,pulse,ce_betas_SSP3
2296,5.0,2019.0,rcp45,0.0,pulse,ce_betas_SSP3
2297,5.0,2019.0,rcp85,0.0,pulse,ce_betas_SSP3
2298,5.0,2020.0,rcp45,0.0022703520319006833,pulse,ce_betas_SSP3
2299,5.0,2020.0,rcp85,-4.236703041427515e-05,pulse,ce_betas_SSP3
2300,5.0,2021.0,rcp45,0.006710267685946875,pulse,ce_betas_SSP3
2301,5.0,2021.0,rcp85,0.0043813604086666855,pulse,ce_betas_SSP3
2302,5.0,2022.0,rcp45,0.009442055910589555,pulse,ce_betas_SSP3
2303,5.0,2022.0,rcp85,0.0047400883803240465,pulse,ce_betas_SSP3
2304,5.0,2023.0,rcp45,0.013167665254322255,pulse,ce_betas_SSP3
2305,5.0,2023.0,rcp85,0.008311388144415868,pulse,ce_betas_SSP3
2306,5.0,2024.0,rcp45,0.0169651965774374,pulse,ce_betas_SSP3
2307,5.0,2024.0,rcp85,0.011921914661910924,pulse,ce_betas_SSP3
2308,5.0,2025.0,rcp45,0.020086069476369588,pulse,ce_betas_SSP3
2309,5.0,2025.0,rcp85,0.01683861994830705,pulse,ce_betas_SSP3
2310,5.0,2026.0,rcp45,0.01781822733010266,pulse,ce_betas_SSP3
2311,5.0,2026.0,rcp85,0.01327332411016609,pulse,ce_betas_SSP3
2312,5.0,2027.0,rcp45,0.017465792911975028,pulse,ce_betas_SSP3
2313,5.0,2027.0,rcp85,0.012223711972408255,pulse,ce_betas_SSP3
2314,5.0,2028.0,rcp45,0.019466785445916575,pulse,ce_betas_SSP3
2315,5.0,2028.0,rcp85,0.01626735045271918,pulse,ce_betas_SSP3
2316,5.0,2029.0,rcp45,0.019790854994361996,pulse,ce_betas_SSP3
2317,5.0,2029.0,rcp85,0.018482838793436093,pulse,ce_betas_SSP3
2318,5.0,2030.0,rcp45,0.02027870651164721,pulse,ce_betas_SSP3
2319,5.0,2030.0,rcp85,0.019839823046792392,pulse,ce_betas_SSP3
