temp,ref,yhat_low_gdp,se_low_gdp,lowerci_low_gdp,upperci_low_gdp,yhat_ag_gdp,se_ag_gdp,lowerci_ag_gdp,upperci_ag_gdp,yhat_nonag_gdp,se_nonag_gdp,lowerci_nonag_gdp,upperci_nonag_gdp,yhat_low_lrt,se_low_lrt,lowerci_low_lrt,upperci_low_lrt,yhat_ag_lrt,se_ag_lrt,lowerci_ag_lrt,upperci_ag_lrt,yhat_nonag_lrt,se_nonag_lrt,lowerci_nonag_lrt,upperci_nonag_lrt
-12.8,27,8.0957813,0,8.0957813,8.0957813,-23.742966,0,-23.742966,-23.742966,12.869288,0,12.869288,12.869288,-1.4444443,0,-1.4444443,-1.4444443,-5.0641165,0,-5.0641165,-5.0641165,-.42253542,0,-.42253542,-.42253542
-12.7,27,8.0754404,0,8.0754404,8.0754404,-23.68331,0,-23.68331,-23.68331,12.836954,0,12.836954,12.836954,-1.440815,0,-1.440815,-1.440815,-5.0513926,0,-5.0513926,-5.0513926,-.42147374,0,-.42147374,-.42147374
-12.6,27,8.0550995,0,8.0550995,8.0550995,-23.623653,0,-23.623653,-23.623653,12.804619,0,12.804619,12.804619,-1.4371858,0,-1.4371858,-1.4371858,-5.0386686,0,-5.0386686,-5.0386686,-.42041212,0,-.42041212,-.42041212
-12.5,27,8.0347586,0,8.0347586,8.0347586,-23.563999,0,-23.563999,-23.563999,12.772285,0,12.772285,12.772285,-1.4335564,0,-1.4335564,-1.4335564,-5.0259447,0,-5.0259447,-5.0259447,-.41935048,0,-.41935048,-.41935048
-12.4,27,8.0144167,0,8.0144167,8.0144167,-23.504343,0,-23.504343,-23.504343,12.739949,0,12.739949,12.739949,-1.4299272,0,-1.4299272,-1.4299272,-5.0132208,0,-5.0132208,-5.0132208,-.4182888,0,-.4182888,-.4182888
-12.3,27,7.9940758,0,7.9940758,7.9940758,-23.444687,0,-23.444687,-23.444687,12.707614,0,12.707614,12.707614,-1.426298,0,-1.426298,-1.426298,-5.0004969,0,-5.0004969,-5.0004969,-.41722718,0,-.41722718,-.41722718
-12.2,27,7.9737349,0,7.9737349,7.9737349,-23.385031,0,-23.385031,-23.385031,12.67528,0,12.67528,12.67528,-1.4226687,0,-1.4226687,-1.4226687,-4.9877729,0,-4.9877729,-4.9877729,-.41616553,0,-.41616553,-.41616553
-12.1,27,7.9533935,0,7.9533935,7.9533935,-23.325377,0,-23.325377,-23.325377,12.642944,0,12.642944,12.642944,-1.4190395,0,-1.4190395,-1.4190395,-4.9750495,0,-4.9750495,-4.9750495,-.41510388,0,-.41510388,-.41510388
-12,27,7.9330525,0,7.9330525,7.9330525,-23.26572,0,-23.26572,-23.26572,12.61061,0,12.61061,12.61061,-1.4154102,0,-1.4154102,-1.4154102,-4.9623251,0,-4.9623251,-4.9623251,-.41404223,0,-.41404223,-.41404223
-11.9,27,7.9127111,0,7.9127111,7.9127111,-23.206064,0,-23.206064,-23.206064,12.578275,0,12.578275,12.578275,-1.411781,0,-1.411781,-1.411781,-4.9496012,0,-4.9496012,-4.9496012,-.41298059,0,-.41298059,-.41298059
-11.8,27,7.8923702,0,7.8923702,7.8923702,-23.146408,0,-23.146408,-23.146408,12.545939,0,12.545939,12.545939,-1.4081517,0,-1.4081517,-1.4081517,-4.9368777,0,-4.9368777,-4.9368777,-.41191894,0,-.41191894,-.41191894
-11.7,27,7.8720288,0,7.8720288,7.8720288,-23.086752,0,-23.086752,-23.086752,12.513605,0,12.513605,12.513605,-1.4045224,0,-1.4045224,-1.4045224,-4.9241538,0,-4.9241538,-4.9241538,-.41085729,0,-.41085729,-.41085729
-11.6,27,7.8516879,0,7.8516879,7.8516879,-23.027098,0,-23.027098,-23.027098,12.48127,0,12.48127,12.48127,-1.4008932,0,-1.4008932,-1.4008932,-4.9114299,0,-4.9114299,-4.9114299,-.40979564,0,-.40979564,-.40979564
-11.5,27,7.8313465,0,7.8313465,7.8313465,-22.967442,0,-22.967442,-22.967442,12.448936,0,12.448936,12.448936,-1.3972639,0,-1.3972639,-1.3972639,-4.898706,0,-4.898706,-4.898706,-.40873399,0,-.40873399,-.40873399
-11.4,27,7.8110051,0,7.8110051,7.8110051,-22.907785,0,-22.907785,-22.907785,12.4166,0,12.4166,12.4166,-1.3936347,0,-1.3936347,-1.3936347,-4.885982,0,-4.885982,-4.885982,-.40767235,0,-.40767235,-.40767235
-11.3,27,7.7906642,0,7.7906642,7.7906642,-22.848131,0,-22.848131,-22.848131,12.384265,0,12.384265,12.384265,-1.3900054,0,-1.3900054,-1.3900054,-4.8732581,0,-4.8732581,-4.8732581,-.4066107,0,-.4066107,-.4066107
-11.2,27,7.7703228,0,7.7703228,7.7703228,-22.788475,0,-22.788475,-22.788475,12.351931,0,12.351931,12.351931,-1.3863761,0,-1.3863761,-1.3863761,-4.8605342,0,-4.8605342,-4.8605342,-.40554905,0,-.40554905,-.40554905
-11.1,27,7.7499819,0,7.7499819,7.7499819,-22.728819,0,-22.728819,-22.728819,12.319595,0,12.319595,12.319595,-1.3827469,0,-1.3827469,-1.3827469,-4.8478103,0,-4.8478103,-4.8478103,-.4044874,0,-.4044874,-.4044874
-11,27,7.729641,0,7.729641,7.729641,-22.669163,0,-22.669163,-22.669163,12.287261,0,12.287261,12.287261,-1.3791176,0,-1.3791176,-1.3791176,-4.8350863,0,-4.8350863,-4.8350863,-.40342575,0,-.40342575,-.40342575
-10.9,27,7.7092996,0,7.7092996,7.7092996,-22.609507,0,-22.609507,-22.609507,12.254926,0,12.254926,12.254926,-1.3754884,0,-1.3754884,-1.3754884,-4.8223624,0,-4.8223624,-4.8223624,-.4023641,0,-.4023641,-.4023641
-10.8,27,7.6889586,0,7.6889586,7.6889586,-22.549852,0,-22.549852,-22.549852,12.22259,0,12.22259,12.22259,-1.3718591,0,-1.3718591,-1.3718591,-4.8096385,0,-4.8096385,-4.8096385,-.40130246,0,-.40130246,-.40130246
-10.7,27,7.6686172,0,7.6686172,7.6686172,-22.490196,0,-22.490196,-22.490196,12.190256,0,12.190256,12.190256,-1.3682299,0,-1.3682299,-1.3682299,-4.7969146,0,-4.7969146,-4.7969146,-.40024081,0,-.40024081,-.40024081
-10.6,27,7.6482763,0,7.6482763,7.6482763,-22.43054,0,-22.43054,-22.43054,12.157921,0,12.157921,12.157921,-1.3646007,0,-1.3646007,-1.3646007,-4.7841907,0,-4.7841907,-4.7841907,-.39917919,0,-.39917919,-.39917919
-10.5,27,7.6279349,0,7.6279349,7.6279349,-22.370884,0,-22.370884,-22.370884,12.125587,0,12.125587,12.125587,-1.3609713,0,-1.3609713,-1.3609713,-4.7714667,0,-4.7714667,-4.7714667,-.39811754,0,-.39811754,-.39811754
-10.4,27,7.6075935,0,7.6075935,7.6075935,-22.311228,0,-22.311228,-22.311228,12.093251,0,12.093251,12.093251,-1.3573421,0,-1.3573421,-1.3573421,-4.7587428,0,-4.7587428,-4.7587428,-.39705586,0,-.39705586,-.39705586
-10.3,27,7.5872526,0,7.5872526,7.5872526,-22.251574,0,-22.251574,-22.251574,12.060917,0,12.060917,12.060917,-1.3537128,0,-1.3537128,-1.3537128,-4.7460189,0,-4.7460189,-4.7460189,-.39599425,0,-.39599425,-.39599425
-10.2,27,7.5669112,0,7.5669112,7.5669112,-22.191917,0,-22.191917,-22.191917,12.028582,0,12.028582,12.028582,-1.3500836,0,-1.3500836,-1.3500836,-4.733295,0,-4.733295,-4.733295,-.3949326,0,-.3949326,-.3949326
-10.1,27,7.5465703,0,7.5465703,7.5465703,-22.132261,0,-22.132261,-22.132261,11.996246,0,11.996246,11.996246,-1.3464544,0,-1.3464544,-1.3464544,-4.720571,0,-4.720571,-4.720571,-.39387095,0,-.39387095,-.39387095
