temp,risk,bins,poly_2,poly_3,poly_4,spline
-9.5,high,34.805908,-118.70218,84.784904,18.573606,-26.512703
-9.5,low,5.2754641,-9.9921217,-14.192026,-22.70923,-1.8248857
-9.3999996,high,34.805908,-117.98965,83.458412,18.62487,-26.440065
-9.3999996,low,5.2754641,-9.921483,-14.048154,-22.407717,-1.819886
-9.3000002,high,34.805908,-117.27927,82.142319,18.670544,-26.367428
-9.3000002,low,5.2754641,-9.8510828,-13.905112,-22.10887,-1.8148863
-9.1999998,high,34.805908,-116.57101,80.836563,18.710699,-26.29479
-9.1999998,low,5.2754641,-9.78092,-13.762897,-21.812666,-1.8098867
-9.1000004,high,34.805908,-115.86488,79.541138,18.745407,-26.222153
-9.1000004,low,5.2754641,-9.7109947,-13.621509,-21.5191,-1.8048871
-9,high,34.805908,-115.16087,78.255974,18.77474,-26.149515
-9,low,5.2754641,-9.6413069,-13.480943,-21.228151,-1.7998873
-8.8999996,high,34.805908,-114.45899,76.981056,18.798769,-26.076878
-8.8999996,low,5.2754641,-9.5718575,-13.341197,-20.939804,-1.7948875
-8.8000002,high,34.805908,-113.75925,75.716362,18.817566,-26.00424
-8.8000002,low,5.2754641,-9.5026455,-13.202272,-20.654049,-1.7898879
-8.6999998,high,34.805908,-113.06162,74.461823,18.831202,-25.931602
-8.6999998,low,5.2754641,-9.433671,-13.064163,-20.370865,-1.7848883
-8.6000004,high,34.805908,-112.36613,73.21743,18.839745,-25.858965
-8.6000004,low,5.2754641,-9.3649349,-12.92687,-20.090242,-1.7798885
-8.5,high,34.805908,-111.67277,71.983116,18.843267,-25.786327
-8.5,low,5.2754641,-9.2964354,-12.790388,-19.812162,-1.7748889
-8.3999996,high,34.805908,-110.98153,70.758873,18.841837,-25.71369
-8.3999996,low,5.2754641,-9.2281742,-12.654717,-19.536612,-1.7698891
-8.3000002,high,34.805908,-110.29243,69.54467,18.835524,-25.641052
-8.3000002,low,5.2754641,-9.1601515,-12.519857,-19.263578,-1.7648895
