,year,cons_damages,no_cons_damages,fair_temperatures_anomaly_rcp,diff,level_cons,level_no_cons,slope_cons,slope_no_cons
154,2169,0.003754061412204024,0.003743935536174803,5.506360099999999,1.0125876029221104e-05,12.33117760451114,11.294117057184561,4.311182972517659,4.299558938483559
155,2170,0.0037759057031259147,0.003765458630089924,5.525940900000001,1.0447073035990684e-05,12.485554369704921,11.441881642034057,4.35076254642618,4.338729575348081
156,2171,0.003800373695622028,0.0037895889048549236,5.5462226999999995,1.0784790767104369e-05,12.644242774647067,11.593941019044367,4.39110216724026,4.3786456222369
157,2172,0.003826391628086512,0.003815238388947151,5.568688900000001,1.1153239139360949e-05,12.813911861146806,11.756934753181332,4.43346216295364,4.42054407847314
158,2173,0.0038538003037693613,0.0038422297318927434,5.5955682,1.1570571876617919e-05,13.004821670954819,11.941098909362909,4.479756947127839,4.466311690861239
159,2174,0.0038863912204885054,0.0038743673613002017,5.6240406,1.2023859188303732e-05,13.204826520022932,12.134316921780453,4.52764488345288,4.51364178806428
160,2175,0.003917341077437797,0.0039048552786073998,5.653351799999999,1.2485798830397243e-05,13.41071370710546,12.333384017026244,4.57650145914912,4.5619194252509185
161,2176,0.003944959980927365,0.003932029489945421,5.681294,1.2930490981943876e-05,13.612408825336079,12.528254156488925,4.624439649406799,4.60928674455
162,2177,0.003975108844715081,0.0039617540268857,5.7057838,1.335481782938075e-05,13.799988299306182,12.709044841214144,4.6696376983780405,4.65395429239828
163,2178,0.0040017018586944175,0.003987964068219441,5.7267056,1.3737790474976919e-05,13.972450494429483,12.874758299300662,4.711950665656641,4.69577938539872
164,2179,0.004025653188890033,0.004011553287002201,5.7460012,1.4099901887831834e-05,14.138579443159333,13.034151271918466,4.75302863534384,4.7363859028384
165,2180,0.004049913436601216,0.004035460978347061,5.7638364,1.4452458254154976e-05,14.298966767501886,13.187815657911148,4.79299337782752,4.77589401582064
166,2181,0.0040700402694628934,0.004055250085508888,5.7813501,1.4790183954005443e-05,14.45895140947914,13.341069252659318,4.83283155176604,4.815274312070319
167,2182,0.004094321919717814,0.004079177724403138,5.7986789000000005,1.5144195314675812e-05,14.61916059508711,13.494541108011553,4.8726600281896,4.854641785871321
168,2183,0.0041164870988907865,0.004100987894718244,5.8164935,1.5499204172542136e-05,14.782877580206865,13.65149580159627,4.9130751667593,4.8945816037664
169,2184,0.0041444852767380524,0.004128595241054356,5.8355665,1.5890035683696624e-05,14.95398550359401,13.815812102132897,4.9547729035481,4.935781156078299
170,2185,0.004169228277538295,0.004152931564279427,5.8569283,1.6296713258867612e-05,15.137803572620522,13.992773449846933,4.99869942534816,4.97916543583614
171,2186,0.004199638534496231,0.004182867491524078,5.882544,1.6771042972152372e-05,15.344548071239595,14.192562834414781,5.046659629267201,5.026511037481601
172,2187,0.004229645552442207,0.004212402536778015,5.9076185,1.7243015664192285e-05,15.550404864670865,14.39145487099419,5.0943536568644,5.0735904881645
173,2188,0.004259779032043554,0.004242057140658062,5.932858,1.7721891385491517e-05,15.75893617359774,14.59299618136583,5.142419179788001,5.1210302801308005
174,2189,0.004289164390467448,0.004270964266241961,5.9577928,1.8200124225487002e-05,15.967739710897838,14.794791230051237,5.190428624513441,5.16840922796496
175,2190,0.004316359453259366,0.004297730092257979,5.9784832,1.862936100138768e-05,16.156142263089432,14.976263251409337,5.23474360409088,5.21215557382016
176,2191,0.00434024743871575,0.0043212295801371425,5.9962316,1.901785857860716e-05,16.330460201356154,15.143702025602785,5.276515642385199,5.25340038583704
177,2192,0.004366270875092226,0.004346865705137759,6.012647599999999,1.9405169954467283e-05,16.498890045339387,15.30527055721279,5.3172051314380795,5.293578810451519
178,2193,0.0043896784795016686,0.004369893910634914,6.0291419,1.978456886675417e-05,16.668823272467716,15.468328186673741,5.35811121891436,5.333967004340521
179,2194,0.004413317341587231,0.004393145980335689,6.0459852,2.0171361251541953e-05,16.841738288902246,15.634346382860034,5.3994904632816,5.37481690041728
