temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high_noag,se_high,lowerci_high,upperci_high
-3,27,-56.228691,70.172722,-193.76469,81.30732,-45.926987,87.886971,-218.18228,126.32831
-2.9,27,-56.041264,69.938812,-193.11882,81.036293,-45.773899,87.594017,-217.45502,125.90722
-2.8,27,-55.853832,69.704903,-192.47293,80.765266,-45.620808,87.301056,-216.72774,125.48612
-2.7,27,-55.666405,69.470993,-191.82706,80.49424,-45.46772,87.008102,-216.00046,125.06503
-2.6,27,-55.478973,69.237083,-191.18117,80.223221,-45.314629,86.715141,-215.27319,124.64393
-2.5,27,-55.291546,69.003174,-190.53529,79.952194,-45.161537,86.422188,-214.54591,124.22284
-2.4,27,-55.104118,68.769264,-189.8894,79.681168,-45.00845,86.129234,-213.81863,123.80174
-2.3,27,-54.916687,68.535355,-189.24352,79.410149,-44.855358,85.836273,-213.09137,123.38065
-2.2,27,-54.729259,68.301453,-188.59764,79.139122,-44.702267,85.54332,-212.36409,122.95956
-2.1,27,-54.541832,68.067543,-187.95175,78.868095,-44.549179,85.250359,-211.63681,122.53846
-2,27,-54.354401,67.833633,-187.30588,78.597069,-44.396088,84.957405,-210.90955,122.11736
-1.9,27,-54.166973,67.599724,-186.65999,78.32605,-44.243,84.664452,-210.18227,121.69627
-1.8,27,-53.979542,67.365814,-186.01411,78.055023,-44.089909,84.37149,-209.455,121.27518
-1.7,27,-53.792114,67.131905,-185.36823,77.783997,-43.936817,84.078537,-208.72772,120.85408
-1.6,27,-53.604687,66.897995,-184.72235,77.512978,-43.78373,83.785576,-208.00044,120.43299
-1.5,27,-53.417255,66.664085,-184.07646,77.241951,-43.630638,83.492622,-207.27318,120.01189
-1.4,27,-53.229828,66.430176,-183.43059,76.970924,-43.477551,83.199669,-206.5459,119.5908
-1.3,27,-53.0424,66.196266,-182.7847,76.699898,-43.324459,82.906708,-205.81862,119.16971
-1.2,27,-52.854969,65.962357,-182.13881,76.428879,-43.171368,82.613754,-205.09135,118.74861
-1.1,27,-52.667542,65.728447,-181.49294,76.157852,-43.01828,82.320793,-204.36407,118.32751
-1,27,-52.48011,65.494537,-180.84705,75.886826,-42.865189,82.02784,-203.6368,117.90643
-.9,27,-52.292683,65.260628,-180.20117,75.615807,-42.712097,81.734886,-202.90953,117.48533
-.8,27,-52.105255,65.026726,-179.55528,75.34478,-42.55901,81.441925,-202.18225,117.06423
-.7,27,-51.917824,64.792816,-178.90941,75.073753,-42.405918,81.148972,-201.45497,116.64314
-.6,27,-51.730396,64.558907,-178.26352,74.802734,-42.252831,80.85601,-200.72771,116.22205
-.5,27,-51.542969,64.324997,-177.61765,74.531708,-42.099739,80.563057,-200.00043,115.80095
-.4,27,-51.355537,64.091087,-176.97176,74.260681,-41.946648,80.270103,-199.27315,115.37986
-.3,27,-51.16811,63.857178,-176.32588,73.989655,-41.79356,79.977142,-198.54588,114.95876
-.2,27,-50.980679,63.623268,-175.67999,73.718636,-41.640469,79.684189,-197.8186,114.53767
-.1,27,-50.793251,63.389359,-175.0341,73.447609,-41.487381,79.391228,-197.09134,114.11658
0,27,-50.605824,63.155449,-174.38823,73.176582,-41.33429,79.098274,-196.36406,113.69548
.1,27,-50.418392,62.921539,-173.74234,72.905563,-41.181198,78.805321,-195.63678,113.27438
.2,27,-50.230965,62.68763,-173.09647,72.634537,-41.028111,78.51236,-194.90952,112.85329
.3,27,-50.043533,62.453724,-172.45058,72.36351,-40.875019,78.219406,-194.18224,112.4322
.4,27,-49.856106,62.219814,-171.8047,72.092484,-40.721928,77.926445,-193.45496,112.0111
.5,27,-49.668678,61.985905,-171.15881,71.821465,-40.56884,77.633492,-192.72769,111.59
.6,27,-49.481247,61.751995,-170.51294,71.550438,-40.415749,77.340538,-192.00041,111.16891
