temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_hr_ag,se_hr_ag,lowerci_hr_ag,upperci_hr_ag,yhat_hr_noag,se_hr_noag,lowerci_hr_noag,upperci_hr_noag
35.6,27,8.2081442,14.660809,-20.526512,36.942802,-22.759007,24.267643,-70.322708,24.804699,4.8790231,20.532698,-35.364323,45.122372
35.7,27,8.1376724,15.027097,-21.314896,37.59024,-25.534224,24.731836,-74.007729,22.939285,3.9885681,20.923044,-37.019844,44.996979
35.8,27,8.0614347,15.409405,-22.140444,38.263313,-28.396599,25.2115,-77.810234,21.017035,3.0652242,21.330639,-38.742062,44.872509
35.9,27,7.9793868,15.808063,-23.003847,38.96262,-31.346972,25.70713,-81.732018,19.038076,2.108686,21.75609,-40.532467,44.74984
36,27,7.8914428,16.223381,-23.905798,39.688686,-34.38649,26.219191,-85.775162,17.002182,1.11851,22.199966,-42.392624,44.629646
36.1,27,7.7975459,16.655649,-24.846928,40.44202,-37.516087,26.748156,-89.941505,14.909332,.094347581,22.66283,-44.323986,44.51268
36.2,27,7.6976395,17.105141,-25.82782,41.223099,-40.736679,27.294477,-94.232872,12.759511,-.96413863,23.145216,-46.327927,44.399651
36.3,27,7.5916376,17.572111,-26.849068,42.032345,-44.049438,27.858595,-98.651283,10.552402,-2.0574033,23.647631,-48.405907,44.291103
36.4,27,7.4794941,18.056797,-27.91118,42.870167,-47.455196,28.440943,-103.19842,8.2880278,-3.1857486,24.170567,-50.559189,44.187691
36.5,27,7.361124,18.559427,-29.014685,43.736935,-50.955105,29.041935,-107.87625,5.9660425,-4.3496213,24.714485,-52.789124,44.089878
36.6,27,7.2364697,19.080208,-30.160051,44.632992,-54.550095,29.661982,-112.68651,3.5863202,-5.5493665,25.279831,-55.096924,43.998192
36.7,27,7.1054759,19.619333,-31.347712,45.558662,-58.241085,30.301476,-117.63089,1.1487134,-6.7853251,25.867022,-57.483753,43.913105
36.8,27,6.9680552,20.177,-32.578136,46.514248,-62.029255,30.960798,-122.7113,-1.3472044,-8.0579519,26.476456,-59.950851,43.834946
36.9,27,6.8241634,20.753368,-33.851692,47.500019,-65.915405,31.640318,-127.92929,-3.9015243,-9.3675423,27.108507,-62.499237,43.764153
37,27,6.6737127,21.348618,-35.168808,48.516235,-69.900734,32.340393,-133.28674,-6.5147262,-10.714553,27.763533,-65.130081,43.70097
37.1,27,6.5167136,21.962784,-36.529549,49.562977,-73.985153,33.061253,-138.78403,-9.186285,-12.09895,28.44175,-67.843758,43.645855
37.2,27,6.3534422,22.59539,-37.932709,50.639595,-78.164543,33.802612,-144.41644,-11.912643,-13.519173,29.142839,-70.638084,43.599743
37.3,27,6.1842065,23.245827,-39.376774,51.74519,-82.43412,34.564007,-150.17833,-14.689913,-14.973425,29.866295,-73.510284,43.563438
37.4,27,6.0093594,23.913395,-40.860035,52.878754,-86.788666,35.344891,-156.06339,-17.51395,-16.45973,30.611502,-76.457169,43.537708
37.5,27,5.8292103,24.597393,-42.380795,54.039215,-91.223381,36.14468,-162.06564,-20.381109,-17.976286,31.377787,-79.475616,43.523045
37.6,27,5.6440992,25.297062,-43.937229,55.22543,-95.733162,36.962704,-168.17874,-23.287594,-19.521166,32.164394,-82.562218,43.51989
37.7,27,5.45437,26.011604,-45.527439,56.43618,-100.3129,37.798256,-174.39612,-26.229681,-21.09243,32.970501,-85.713425,43.528564
37.8,27,5.2603307,26.740232,-47.149563,57.670223,-104.95779,38.650581,-180.71153,-29.204046,-22.688282,33.79525,-88.925758,43.549194
37.9,27,5.0623331,27.482096,-48.801586,58.926254,-109.66264,39.518871,-187.11819,-32.207073,-24.306746,34.637714,-92.195419,43.581928
38,27,4.8606877,28.236366,-50.481571,60.20295,-114.42262,40.402294,-193.60965,-35.235573,-25.946018,35.496948,-95.518753,43.626717
38.1,27,4.6557345,29.002172,-52.187477,61.498947,-119.23264,41.299976,-200.17911,-38.286175,-27.604174,36.371948,-98.891884,43.683533
38.2,27,4.4478168,29.778629,-53.917225,62.812859,-124.08759,42.211006,-206.81964,-41.355541,-29.279272,37.261684,-102.31083,43.752285
38.3,27,4.2372413,30.564878,-55.668819,64.143303,-128.9827,43.134472,-213.5247,-44.440685,-30.969524,38.165127,-105.7718,43.832752
38.4,27,4.0243602,31.36001,-57.440128,65.488853,-133.91275,44.069408,-220.2872,-47.538292,-32.672955,39.081192,-109.27068,43.924774
38.5,27,3.8094852,32.163147,-59.229122,66.848091,-138.87291,45.014854,-227.1004,-50.645409,-34.387753,40.008804,-112.80357,44.028065
38.6,27,3.5929563,32.973381,-61.03368,68.219597,-143.85809,45.969822,-233.95729,-53.758896,-36.111992,40.946861,-116.36636,44.14238
38.7,27,3.3751166,33.789799,-62.851673,69.601906,-148.86317,46.933292,-240.85074,-56.87561,-37.843731,41.894234,-119.95493,44.26746
38.8,27,3.1562717,34.61153,-64.681084,70.993622,-153.88341,47.904282,-247.77408,-59.992737,-39.581192,42.849838,-123.56533,44.40295
38.9,27,2.9367783,35.437641,-66.519722,72.39328,-158.91351,48.881741,-254.71997,-63.107063,-41.322372,43.812519,-127.19333,44.548584
