year,cons,beta1,beta2,ssp,global_consumption,ratio
2280,0,.24045137,.51754314,SSP3,770562355639164.1,2.235348
2281,0,.24152236,.51984829,SSP3,773994495655494.5,2.2453043
2282,0,.2425981,.52216375,SSP3,777441922669698.1,2.2553051
2283,0,.24367866,.52448952,SSP3,780904704771160,2.2653503
2284,0,.24476403,.52682561,SSP3,784382910352540.6,2.2754405
2285,0,.24585421,.52917212,SSP3,787876608111125.9,2.2855754
2286,0,.24694926,.53152907,SSP3,791385867050184.6,2.2957554
2287,0,.2480492,.53389657,SSP3,794910756480331.3,2.3059809
2288,0,.24915403,.53627461,SSP3,798451346020894.4,2.316252
2289,0,.25026378,.53866315,SSP3,802007705601292.4,2.3265686
2290,0,.25137848,.54106247,SSP3,805579905462413.8,2.3369315
2291,0,.25249815,.54347241,SSP3,809168016158005.5,2.3473403
2292,0,.25362277,.54589301,SSP3,812772108556066,2.3577955
2293,0,.25475243,.54832453,SSP3,816392253840244.5,2.3682973
2294,0,.25588712,.55076677,SSP3,820028523511247.5,2.3788459
2295,0,.25702685,.55321991,SSP3,823680989388250.9,2.3894415
2296,0,.25817168,.55568403,SSP3,827349723610318.1,2.4000843
2297,0,.25932157,.55815905,SSP3,831034798637825.4,2.4107742
2298,0,.26047662,.56064516,SSP3,834736287253892.3,2.4215121
2299,0,.26163682,.5631423,SSP3,838454262565819.9,2.4322977
2300,0,.26280215,.56565052,SSP3,842188798006534.5,2.4431312
