,year,cons,beta1,beta2
165,2180,0.0,-0.008031496034852113,0.46835531987504414
166,2181,0.0,-0.009381682760014923,0.471221123109544
167,2182,0.0,-0.010731869485177703,0.474086926344044
168,2183,0.0,-0.012082056210340515,0.47695272957854384
169,2184,0.0,-0.013432242935503295,0.4798185328130438
170,2185,0.0,-0.014782429660666108,0.4826843360475437
171,2186,0.0,-0.01613261638582889,0.4855501392820436
172,2187,0.0,-0.0174828031109917,0.4884159425165434
173,2188,0.0,-0.01883298983615448,0.4912817457510434
174,2189,0.0,-0.020183176561317292,0.49414754898554325
175,2190,0.0,-0.021533363286480072,0.4970133522200432
176,2191,0.0,-0.022883550011642884,0.4998791554545432
177,2192,0.0,-0.024233736736805664,0.502744958689043
178,2193,0.0,-0.025583923461968475,0.505610761923543
179,2194,0.0,-0.026934110187131256,0.508476565158043
180,2195,0.0,-0.028284296912294067,0.5113423683925428
181,2196,0.0,-0.029634483637456847,0.5142081716270426
182,2197,0.0,-0.030984670362619662,0.5170739748615426
183,2198,0.0,-0.032334857087782436,0.5199397780960425
184,2199,0.0,-0.03368504381294525,0.5228055813305424
185,2200,0.0,-0.03503523053810803,0.5256713845650423
186,2201,0.0,-0.03638541726327084,0.5285371877995422
187,2202,0.0,-0.03773560398843362,0.5314029910340422
188,2203,0.0,-0.039085790713596406,0.5342687942685421
189,2204,0.0,-0.040435977438759214,0.5371345975030418
190,2205,0.0,-0.041786164163922,0.5400004007375419
191,2206,0.0,-0.04313635088908482,0.5428662039720418
192,2207,0.0,-0.04448653761424759,0.5457320072065417
193,2208,0.0,-0.0458367243394104,0.5485978104410416
194,2209,0.0,-0.04718691106457318,0.5514636136755416
195,2210,0.0,-0.048537097789735986,0.5543294169100415
196,2211,0.0,-0.049887284514898766,0.5571952201445414
197,2212,0.0,-0.05123747124006158,0.5600610233790413
198,2213,0.0,-0.05258765796522437,0.5629268266135412
199,2214,0.0,-0.05393784469038715,0.5657926298480411
200,2215,0.0,-0.055288031415549985,0.568658433082541
201,2216,0.0,-0.05663821814071278,0.571524236317041
202,2217,0.0,-0.05798840486587555,0.5743900395515409
203,2218,0.0,-0.059338591591038325,0.5772558427860408
204,2219,0.0,-0.060688778316201175,0.5801216460205406
205,2220,0.0,-0.062038965041363955,0.5829874492550406
206,2221,0.0,-0.06338915176652672,0.5858532524895406
207,2222,0.0,-0.06473933849168952,0.5887190557240404
208,2223,0.0,-0.06608952521685237,0.5915848589585403
209,2224,0.0,-0.06743971194201513,0.5944506621930403
210,2225,0.0,-0.06878989866717791,0.5973164654275401
211,2226,0.0,-0.07014008539234069,0.60018226866204
212,2227,0.0,-0.07149027211750354,0.60304807189654
213,2228,0.0,-0.07284045884266632,0.6059138751310399
214,2229,0.0,-0.0741906455678291,0.6087796783655398
215,2230,0.0,-0.07554083229299188,0.6116454816000396
216,2231,0.0,-0.07689101901815472,0.6145112848345397
217,2232,0.0,-0.0782412057433175,0.6173770880690396
218,2233,0.0,-0.07959139246848028,0.6202428913035394
219,2234,0.0,-0.08094157919364309,0.6231086945380393
220,2235,0.0,-0.08229176591880585,0.6259744977725393
221,2236,0.0,-0.08364195264396869,0.6288403010070391
222,2237,0.0,-0.08499213936913147,0.6317061042415391
223,2238,0.0,-0.08634232609429425,0.634571907476039
224,2239,0.0,-0.08769251281945703,0.6374377107105389
225,2240,0.0,-0.08904269954461988,0.6403035139450388
226,2241,0.0,-0.09039288626978263,0.6431693171795387
227,2242,0.0,-0.09174307299494544,0.6460351204140387
228,2243,0.0,-0.09309325972010823,0.6489009236485386
229,2244,0.0,-0.09444344644527106,0.6517667268830385
230,2245,0.0,-0.09579363317043384,0.6546325301175383
231,2246,0.0,-0.09714381989559662,0.6574983333520383
232,2247,0.0,-0.0984940066207594,0.6603641365865383
233,2248,0.0,-0.09984419334592225,0.6632299398210381
234,2249,0.0,-0.10119438007108503,0.666095743055538
