year,pctile,beta1,beta2
2039,.05,-.441887,.0725783
2039,.1,-.309968,.0766601
2039,.15,-.2136045,.0732121
2039,.2,-.1331076,.0638881
2039,.25,-.0690742,.0545834
2039,.3,-.0172946,.0522513
2039,.35,.0362014,.0450345
2039,.4,.0838079,.0387461
2039,.45,.1442012,.0220232
2039,.5,.2021016,.0064761
2039,.55,.2589781,-.0054522
2039,.6,.3136876,-.0150405
2039,.65,.3609985,-.0200339
2039,.7,.4180379,-.0255172
2039,.75,.4933036,-.0482644
2039,.8,.5685617,-.0571753
2039,.85,.6659918,-.0778698
2039,.9,.7893287,-.1011217
2039,.95,1.012659,-.1640644
2040,.05,-.397785,.0331101
2040,.1,-.2760504,.0482844
2040,.15,-.1885215,.0492497
2040,.2,-.1097327,.0411137
2040,.25,-.0500764,.0377037
2040,.3,-.0036286,.040487
2040,.35,.0450933,.0388019
2040,.4,.0943685,.0313329
2040,.45,.1499632,.0193258
2040,.5,.2050992,.0089587
2040,.55,.2679432,-.0079873
2040,.6,.3186094,-.0152136
2040,.65,.3678969,-.0205857
2040,.7,.4291548,-.0286711
2040,.75,.4925433,-.0387791
2040,.8,.5669851,-.0464572
2040,.85,.6687317,-.0669999
2040,.9,.8021089,-.0934521
2040,.95,1.041447,-.1676147
2041,.05,-.3917282,.0322814
2041,.1,-.2703744,.0468418
2041,.15,-.1893572,.0546375
2041,.2,-.1090012,.0443524
2041,.25,-.0501416,.0421394
2041,.3,.0008006,.0408335
2041,.35,.0625004,.0284272
2041,.4,.1100115,.0240341
2041,.45,.1717587,.0097289
2041,.5,.2258843,-.0009652
2041,.55,.2868746,-.0169695
2041,.6,.3396629,-.0249306
2041,.65,.3880744,-.0273246
2041,.7,.4455496,-.033964
2041,.75,.5164312,-.0439832
2041,.8,.5936201,-.0556473
2041,.85,.7125484,-.0836872
2041,.9,.8401976,-.1046205
2041,.95,1.045403,-.1478494
2042,.05,-.4195644,.0769318
2042,.1,-.267398,.065236
2042,.15,-.1799185,.0653755
2042,.2,-.093402,.048828
2042,.25,-.0293003,.0423604
2042,.3,.0261572,.037861
2042,.35,.0772629,.0317558
2042,.4,.1332041,.0201279
2042,.45,.1857658,.0138355
2042,.5,.2405184,.0013887
2042,.55,.3049299,-.0150739
2042,.6,.3525758,-.017505
2042,.65,.4046234,-.0229131
2042,.7,.463943,-.0273668
2042,.75,.5278923,-.0324222
2042,.8,.6109167,-.0495481
2042,.85,.7266951,-.0722454
2042,.9,.8647126,-.1032794
2042,.95,1.071746,-.1447097
2043,.05,-.3869711,.0602677
2043,.1,-.2475158,.0609097
2043,.15,-.145556,.0497203
2043,.2,-.0736508,.0464938
2043,.25,-.0213254,.0466235
2043,.3,.0358917,.0382751
2043,.35,.078426,.040209
2043,.4,.1245441,.0363511
2043,.45,.1811185,.0269053
2043,.5,.2363359,.0129163
2043,.55,.2940478,.0043486
2043,.6,.3430199,.0010699
2043,.65,.3971217,-.0018905
2043,.7,.4495739,-.0000963
2043,.75,.5119237,-.0065337
2043,.8,.5887529,-.0165039
2043,.85,.6970918,-.03383
2043,.9,.8259041,-.0581097
2043,.95,1.028153,-.1015038
2044,.05,-.4059992,.0881401
2044,.1,-.2600748,.0818588
2044,.15,-.1570732,.0678105
2044,.2,-.0878035,.0649033
2044,.25,-.0353433,.063591
2044,.3,.0255804,.0529444
2044,.35,.0737089,.0493111
2044,.4,.1151893,.0514153
2044,.45,.1690413,.0417788
2044,.5,.2232413,.0328497
2044,.55,.2836646,.0210123
2044,.6,.3342611,.0162206
2044,.65,.3774445,.0220797
2044,.7,.4421384,.0111089
2044,.75,.5061876,.0046228
