year,cons,beta1,beta2,ssp,global_consumption,ratio
2287,0,.27376559,.52339077,SSP3,794910756480331.3,2.3059809
2288,0,.27498499,.52572203,SSP3,798451346020894.4,2.316252
2289,0,.27620977,.5280636,SSP3,802007705601292.4,2.3265686
2290,0,.27744004,.53041565,SSP3,805579905462413.8,2.3369315
2291,0,.27867576,.5327782,SSP3,809168016158005.5,2.3473403
2292,0,.279917,.53515118,SSP3,812772108556066,2.3577955
2293,0,.28116378,.53753483,SSP3,816392253840244.5,2.3682973
2294,0,.28241611,.53992903,SSP3,820028523511247.5,2.3788459
2295,0,.28367403,.5423339,SSP3,823680989388250.9,2.3894415
2296,0,.28493753,.5447495,SSP3,827349723610318.1,2.4000843
2297,0,.28620663,.54717582,SSP3,831034798637825.4,2.4107742
2298,0,.28748143,.54961306,SSP3,834736287253892.3,2.4215121
2299,0,.28876191,.55206102,SSP3,838454262565819.9,2.4322977
2300,0,.29004806,.55451995,SSP3,842188798006534.5,2.4431312
