temp,no_wgt_comm,risk_adj_sample_wgt_old_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_old_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_old_high,pop_adj_sample_wgt_high
4,116,.0002123862980312,.0003176959801579,81,.000180246882735,.0001782166572752,35,.0000321394152962,.0001394793228826
4.1,104,.0002920611923898,.0003595757804646,77,.0002673883361695,.0002615914603439,27,.0000246728562203,.0000979843201208
4.2,125,.0003621233808673,.0004208631028746,100,.0003416493161694,.0003316396766309,25,.0000204740646979,.0000892234262437
4.3,102,.0002698525781,.0003345935191419,71,.0002479456130118,.0002439531849632,31,.0000219069650882,.0000906403341787
4.4,115,.0003126788773358,.0003519190798045,96,.0002982662989837,.0002895615745615,19,.0000144125783521,.000062357505243
4.5,148,.0003256528869287,.0004083843220428,113,.0003020533013682,.0002984547306255,35,.0000235995855604,.0001099295914173
4.6,104,.0002951575421264,.0003308792170174,94,.0002799333975645,.0002750695318809,10,.0000152241445619,.0000558096851364
4.7,129,.0003595087623154,.0004521832782132,94,.0003322568201725,.0003289606908368,35,.0000272519421429,.0001232225873764
4.8,102,.0003956240733629,.0004290323397527,88,.000383699077247,.0003751998740995,14,.0000119249961159,.0000538324656532
4.9,155,.0004488201914938,.0005477853827642,118,.0004167961286043,.0004090487020676,37,.0000320240628895,.0001387366806966
5,134,.0003478713133376,.0004287915064651,105,.0003214694427811,.0003114715136121,29,.0000264018705565,.000117319992853
5.1,163,.0003447586506837,.0004181069350579,134,.000322219891018,.0003199042876076,29,.0000225387596657,.0000982026474503
5.2,161,.000395090910871,.000473880559241,134,.0003731407971372,.0003642972578177,27,.0000219501137337,.0001095833014233
5.3,136,.0003544998584459,.0004758733158212,92,.0003199981711077,.0003092248776113,44,.0000345016873382,.0001666484382099
5.4,151,.0004110331188372,.0005009689995177,114,.0003801294238599,.0003752146490115,37,.0000309036949773,.0001257543505062
5.5,156,.00054242377702,.0006420002640937,115,.0005099108094839,.00050528358733,41,.000032512967536,.0001367166767636
5.6,136,.0003948274535617,.0005075386856106,107,.0003598143201771,.0003498776060269,29,.0000350131333846,.0001576610795837
5.7,240,.000569150392451,.0006976389406077,189,.0005300577078629,.0005147875981493,51,.0000390926845881,.0001828513424584
5.8,150,.0003752482456036,.0004280655946616,121,.0003558224300662,.0003423376308263,29,.0000194258155375,.0000857279638353
5.9,143,.0004492111936543,.00051000069152,115,.0004273505526839,.0004125378244453,28,.0000218606409703,.0000974628670747
6,122,.0003747046537228,.0004190590638018,103,.0003581984428251,.0003469998024457,19,.0000165062108977,.0000720592613561
6.1,147,.0005242865508279,.000623073729912,113,.0004897977535165,.0004845538990708,34,.0000344887973114,.0001385198308412
6.2,212,.0005593751288444,.0006532131577899,166,.0005247583975176,.0005105226458397,46,.0000346167313268,.0001426905119501
6.3,203,.0005541644730016,.0007015584600367,151,.0005103920454417,.0004978163474902,52,.0000437724275599,.0002037421125465
6.4,208,.0006480415787564,.0007379070915476,170,.0006146827652742,.000600420173555,38,.0000333588134822,.0001374869179926
6.5,177,.0005327619907973,.0006019854765213,146,.0005081805076657,.0004890384504392,31,.0000245814831317,.0001129470260821
6.6,150,.0003145556621433,.0003626898708831,118,.0002992637928685,.0002928104150897,32,.0000152918692748,.0000698794557934
6.7,155,.0004165209695941,.0004589713820451,133,.0004019494109002,.0003932122220931,22,.0000145715586939,.000065759159952
6.8,183,.0004678221668968,.0005614802556124,141,.0004401747576708,.0004347583708864,42,.000027647409226,.0001267218847261
6.9,240,.0005148671678228,.0006273539972881,186,.0004809933790852,.000468874185799,54,.0000338737887375,.0001584798114891
7,208,.0004035235669448,.0005474995064105,155,.0003601259120956,.0003580737285915,53,.0000433976548493,.000189425777819
7.1,98,.0003104117144801,.0003283315286353,88,.0003032204509736,.0002978002860345,10,7.19126350646e-06,.0000305312426008
7.2,140,.00046135344909,.0005157213832092,111,.0004405653945696,.0004264733892114,29,.0000207880545204,.0000892479939978
7.3,176,.0004082025839551,.0005194185908408,140,.0003723753295048,.0003616203345587,36,.0000358272544503,.0001577982562821
7.4,235,.0005626046480458,.0006898093642747,182,.0005247935680472,.0005121689917473,53,.0000378110799986,.0001776403725273
7.5,138,.000385530196894,.0004648169597772,103,.0003597111822842,.0003506035833425,35,.0000258190146099,.0001142133764347
7.6,262,.0005864940990961,.0007194619373934,213,.0005453219885965,.0005375455101273,49,.0000411721104996,.0001819164272661
7.7,183,.0005788507952644,.0007379791780551,138,.0005342006364941,.0005417233199552,45,.0000446501587703,.0001962558580999
7.8,286,.0006995823989087,.0008180368001547,221,.0006623556372745,.0006490807344619,65,.0000372267616342,.0001689560656928
7.9,163,.0005059627960406,.0005667791879773,136,.0004850336295021,.0004760971154383,27,.0000209291665385,.000090682072539
8,183,.0003345262177703,.0004588982225187,121,.0002969238716446,.0002899014560285,62,.0000376023461257,.0001689967664902
8.1,229,.0006297867433176,.000781135423324,180,.0005827814588883,.0005762232672737,49,.0000470052844292,.0002049121560503
8.199999999999999,219,.0005594276697707,.0006434245764098,180,.0005324120816965,.0005181143936142,39,.0000270155880742,.0001253101827956
8.300000000000001,350,.000669210811381,.0008271399816522,259,.0006208347183474,.0006061250759899,91,.0000483760930337,.0002210149056623
8.4,226,.0005511971175025,.0006409981427282,178,.0005236674431899,.0005181680955957,48,.0000275296743126,.0001228300471325
8.5,134,.0004657545854201,.0005271502345181,105,.0004451536254919,.0004380984315162,29,.0000206009599282,.0000890518030019
8.6,220,.0006585974419124,.0007812059180452,179,.0006210098716508,.0006149464807805,41,.0000375875702616,.0001662594372647
8.699999999999999,218,.0006052687660087,.0006941913105152,177,.0005752272695645,.0005669503505032,41,.0000300414964443,.0001272409600119
8.800000000000001,230,.0006293438651568,.0007745111919348,178,.0005812625374801,.0005801526407367,52,.0000480813276766,.0001943585511981
8.9,184,.0005531574935489,.0006506891783715,139,.0005211159635792,.0005131964597922,45,.0000320415299697,.0001374927185793
9,269,.0006092179623494,.0008025493421542,190,.0005497762436448,.0005457373557647,79,.0000594417187045,.0002568119863895
9.1,206,.0005404243799561,.0007711604683607,148,.0004696047388109,.0004599156205529,58,.0000708196411452,.0003112448478078
9.199999999999999,272,.0007226363303943,.0009018473338753,212,.0006632453079884,.0006545198229242,60,.0000593910224058,.0002473275109511
9.300000000000001,242,.00067431851393,.0007708579231576,196,.0006411084656861,.000629582132774,46,.0000332100482439,.0001412757903836
