temp,no_wgt_comm,risk_adj_sample_wgt_sector_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_sector_low,pop_adj_sample_wgt_low,no_wgt_ag,risk_adj_sample_wgt_sector_ag,pop_adj_sample_wgt_ag,no_wgt_nonag,risk_adj_sample_wgt_sector_nonag,pop_adj_sample_wgt_nonag
.9,64,.0004509942627269,.0002260231709101,47,.0003513864730849,.0001782057892683,1,2.26548624305e-09,8.30673684504e-07,16,.0000996055241558,.0000469867079573
1,58,.0003778339798828,.0001819691681817,41,.0001700434283975,.0000850041366789,0,0,0,17,.0002077905514852,.0000969650315028
1.1,42,.0001919243088553,.0000959337981499,24,.0001259140542516,.0000628654584602,2,4.20003676282e-09,2.26674910664e-06,16,.000066006054567,.000030801590583
1.2,72,.0004243110668471,.000209587155382,48,.0002626939186712,.0001320754906828,2,6.06534511505e-09,3.27345128426e-06,22,.0001616110828309,.0000742382134149
1.3,66,.0003384465108285,.0001785239694527,51,.0002991509953745,.0001511557023264,5,1.74058287783e-08,9.03921767303e-06,10,.0000392781096252,.0000183290494533
1.4,43,.0001560447604185,.0000810291876974,24,.0000922420604184,.0000472748478728,2,7.38262651012e-09,3.98438487537e-06,17,.0000637953173737,.0000297699549492
1.5,79,.0003719398094734,.0001857852572016,69,.0003389917784489,.0001694390838338,1,7.10064118614e-10,3.83219799005e-07,9,.0000329473209604,.0000159629535688
1.6,79,.0006108634892499,.0003154079119554,65,.0005646593320989,.0002830192658507,2,1.27805186878e-07,.0000118674925034,12,.0000460763519641,.0000205211536013
1.7,49,.0004060681360121,.0002085181096732,36,.0002883850746684,.0001451088701856,2,9.31853170183e-08,9.90958017155e-06,11,.0001175898760266,.000053499659316
1.8,59,.0003628976921224,.000177726836057,48,.0001908720847723,.000097469950731,1,2.11940154315e-09,7.77109562478e-07,10,.0001720234879485,.0000794797757635
1.9,56,.0002814926730572,.0001433897724041,43,.0002159463381304,.0001076577127037,2,9.19024856216e-09,4.95995391248e-06,11,.0000655371446783,.0000307721057879
2,74,.0005661520204794,.000283140734922,58,.0004651767870882,.000235106009967,1,2.52132936751e-09,1.36075493629e-06,15,.0001009727120618,.0000466739700187
2.1,54,.0003343773798692,.000171604565196,37,.0001835808446913,.0000926181804175,3,1.89751121482e-08,.0000102408193925,14,.0001507775600658,.0000687455653861
2.2,99,.0005009444893371,.0002501291275792,68,.000336584567151,.0001687095084151,4,2.74552203194e-08,8.20035234028e-06,27,.0001643324669658,.0000732192668238
2.3,101,.0003596924052256,.000178738174327,88,.0003043596836392,.0001508487575279,1,7.36159178061e-09,2.69923498308e-06,12,.0000553253599946,.000025190181816
2.4,99,.0004258550337768,.0002242236363372,76,.0003218450997338,.0001611155531123,4,1.37060291783e-07,.0000153039651423,19,.0001038728737512,.0000478041180827
2.5,54,.0002707558203383,.0001333410729956,44,.0002239292872446,.0001125762718459,0,0,0,10,.0000468265330937,.0000207648011497
2.6,64,.000370562240164,.0001806216966429,47,.0002440132312813,.0001215678603899,0,0,0,17,.0001265490088826,.000059053836253
2.7,83,.000438000578356,.0002174801678052,66,.0003725146877969,.0001881134410269,0,0,0,17,.0000654858905591,.0000293667267783
2.8,112,.0006901119139116,.0003467047572485,94,.0006054850682062,.0003032392522755,0,0,0,18,.0000846268457053,.000043465504973
2.9,57,.0003696306386018,.0001814443930357,42,.0002551302524125,.0001285894779244,0,0,0,15,.0001145003861893,.0000528549151113
3,77,.0004248910265119,.0002086354698179,58,.0003212422984689,.0001634802634101,0,0,0,19,.000103648728043,.0000451552064078
3.1,130,.0006813312404681,.0003423076415174,106,.0005554343856602,.0002832539958035,1,2.25749019478e-09,8.27741814646e-07,23,.0001258945973177,.0000582259038993
3.2,163,.0009812282441595,.0004795855780628,130,.0006704092588166,.0003346054355404,1,7.20685244815e-09,2.64249797510e-06,32,.0003108117784905,.0001423376445473
3.3,105,.0006486921323752,.0003316679895704,80,.0005048012287716,.0002544926195753,3,1.38076241551e-08,6.93852268796e-06,22,.0001438770959794,.0000702368473071
3.4,113,.0006598782936758,.000328745279262,71,.0003908547322453,.0001970877201529,2,1.01326245172e-08,5.46855153516e-06,40,.0002690134288059,.0001261890075739
3.5,85,.0003711904983272,.0001816703442614,67,.0002895752051018,.0001422699270393,1,4.48144943377e-09,1.64318896623e-06,17,.000081610811776,.0000377572282559
3.6,121,.0007688343556538,.0003760817478451,83,.0004974146711447,.0002544059175307,0,0,0,38,.0002714196845091,.0001216758303144
3.7,91,.00059749340934,.0002926627674356,78,.00048480181988,.000240465856848,1,1.30998056846e-09,7.06993205313e-07,12,.0001126902794795,.0000514899173822
3.8,76,.0004600241841217,.0002295389624578,67,.0004142806087657,.0002079455737203,0,0,0,9,.000045743575356,.0000215933887375
3.9,85,.0005409798611988,.0002716858986105,59,.0003706452831693,.0001922158671164,2,5.09899633627e-09,1.86962154203e-06,24,.0001703294790332,.0000776004099521
4,116,.0006029848025211,.0003176959801579,81,.0003523792667011,.0001782166572752,5,9.64185407071e-08,.0000220123424697,30,.0002505091172793,.0001174669804129
4.1,104,.0007493744197404,.0003595757804646,77,.0005227391711742,.0002615914603439,0,0,0,27,.0002266352485663,.0000979843201208
4.2,125,.0008495083254234,.0004208631028746,100,.0006679179839466,.0003316396766309,4,1.16666074579e-08,5.12311396506e-06,21,.0001815786748693,.0000841003122787
4.3,102,.0006824508116234,.0003345935191419,71,.0004847290136922,.0002439531849632,2,6.01131899813e-09,3.24429356624e-06,29,.0001977157866122,.0000873960406125
4.4,115,.0007046170123264,.0003519190798045,96,.0005831050032157,.0002895615745615,1,1.94852933788e-08,7.14456746209e-06,18,.0001214925238173,.0000552129377809
4.5,148,.0008165715129953,.0004083843220428,113,.0005905085221229,.0002984547306255,2,6.78546618893e-09,2.48799034352e-06,33,.0002260562054062,.0001074416010738
4.6,104,.0006593884501314,.0003308792170174,94,.0005472645248119,.0002750695318809,1,9.73997345000e-08,9.04416083358e-06,9,.000112026525585,.0000467655243028
4.7,129,.0008702930204016,.0004521832782132,94,.0006495558344568,.0003289606908368,4,3.64715369017e-08,.000019683595383,31,.0002207007144079,.0001035389919934
4.8,102,.0008661667092156,.0004290323397527,88,.0007501244714376,.0003751998740995,0,0,0,14,.0001160422377779,.0000538324656532
4.9,155,.0010928425626133,.0005477853827642,118,.0008148285953666,.0004090487020676,1,7.76815767267e-08,7.21320884622e-06,36,.00027793628567,.0001315234718504
5,134,.0008659623974978,.0004287915064651,105,.0006284667103955,.0003114715136121,1,7.70327375221e-08,7.15296027920e-06,28,.0002374186543648,.0001101670325738
5.1,163,.0008251442018281,.0004181069350579,134,.0006299338289182,.0003199042876076,1,2.32607835216e-08,8.52890661918e-06,28,.0001951871121264,.0000896737408311
5.2,161,.0009284087503608,.000473880559241,134,.000729483241912,.0003642972578177,5,2.96837249225e-08,6.09561340070e-06,22,.0001988958247239,.0001034876880226
5.3,136,.000945053822349,.0004758733158212,92,.0006255904021941,.0003092248776113,1,2.02971790486e-08,7.44225735616e-06,43,.0003194431229758,.0001592061808537
5.4,151,.0010225898956342,.0005009689995177,114,.0007431458749352,.0003752146490115,2,2.97638602653e-09,1.60634783697e-06,35,.000279441044313,.0001241480026692
5.5,156,.001239102302387,.0006420002640937,115,.0009968660448862,.00050528358733,5,2.51070256141e-07,.000023492681521,36,.0002419851872446,.0001132239952426
