temp,risk,bins,poly2,poly3,poly4,rcs,ref
5.4000001,high,-128.66896,-36.001057,-17.865755,-3.047653,-101.87513,27
5.5,high,-128.66896,-35.605621,-18.043209,-3.2153981,-101.40349,27
5.5999999,high,-128.66896,-35.212311,-18.215664,-3.3817041,-100.93185,27
5.6999998,high,-128.66896,-34.821133,-18.383156,-3.5465491,-100.4602,27
5.8000002,high,-128.66896,-34.432076,-18.545721,-3.7099128,-99.988556,27
5.9000001,high,-128.66896,-34.045151,-18.703394,-3.8717723,-99.516907,27
6,high,-128.66896,-33.660355,-18.856213,-4.0321078,-99.045265,27
6.0999999,high,-128.66896,-33.277687,-19.004211,-4.1908994,-98.573624,27
6.1999998,high,-128.66896,-32.897148,-19.147429,-4.3481269,-98.101982,27
6.3000002,high,-128.66896,-32.518734,-19.2859,-4.5037708,-97.630333,27
6.4000001,high,-128.66896,-32.142448,-19.419661,-4.6578116,-97.158691,27
6.5,high,-128.66896,-31.768291,-19.548746,-4.8102303,-96.687042,27
6.5999999,high,-128.66896,-31.396263,-19.673193,-4.9610081,-96.215401,27
6.6999998,high,-128.66896,-31.026363,-19.793039,-5.110127,-95.743759,27
6.8000002,high,-128.66896,-30.658588,-19.908321,-5.2575703,-95.27211,27
6.9000001,high,-128.66896,-30.292946,-20.019072,-5.4033184,-94.800468,27
7,high,-128.66896,-29.929428,-20.12533,-5.5473547,-94.328827,27
7.0999999,high,-128.66896,-29.568041,-20.227129,-5.6896629,-93.857178,27
7.1999998,high,-128.66896,-29.20878,-20.324509,-5.8302259,-93.385536,27
7.3000002,high,-128.66896,-28.851648,-20.417503,-5.9690285,-92.913895,27
7.4000001,high,-128.66896,-28.496643,-20.506149,-6.1060534,-92.442245,27
7.5,high,-128.66896,-28.143768,-20.590483,-6.2412853,-91.970604,27
7.5999999,high,-128.66896,-27.79302,-20.67054,-6.3747101,-91.498962,27
7.6999998,high,-128.66896,-27.444401,-20.746357,-6.5063114,-91.027313,27
7.8000002,high,-128.66896,-27.097908,-20.81797,-6.6360765,-90.555672,27
7.9000001,high,-128.66896,-26.753544,-20.885414,-6.7639894,-90.08403,27
8,high,-128.66896,-26.411308,-20.948727,-6.8900375,-89.612381,27
8.1000004,high,-128.66896,-26.071199,-21.007944,-7.0142074,-89.140739,27
8.1999998,high,-128.66896,-25.733221,-21.063103,-7.1364841,-88.669098,27
8.3000002,high,-128.66896,-25.397367,-21.114237,-7.2568574,-88.197449,27
8.3999996,high,-128.66896,-25.063646,-21.161385,-7.3753123,-87.725807,27
8.5,high,-128.66896,-24.73205,-21.20458,-7.4918394,-87.254166,27
8.6000004,high,-128.66896,-24.40258,-21.243864,-7.6064253,-86.782516,27
8.6999998,high,-128.66896,-24.075243,-21.279266,-7.7190576,-86.310875,27
8.8000002,high,-128.66896,-23.750031,-21.310827,-7.8297272,-85.839233,27
8.8999996,high,-128.66896,-23.426949,-21.338581,-7.9384217,-85.367592,27
9,high,5.1828761,-23.105993,-21.362566,-8.0451326,-84.895943,27
9.1000004,high,5.1828761,-22.787165,-21.382816,-8.149848,-84.424294,27
9.1999998,high,5.1828761,-22.470467,-21.399368,-8.2525578,-83.952652,27
9.3000002,high,5.1828761,-22.155893,-21.41226,-8.3532553,-83.48101,27
9.3999996,high,5.1828761,-21.843452,-21.421524,-8.4519281,-83.009369,27
9.5,high,5.1828761,-21.533136,-21.4272,-8.5485697,-82.53772,27
9.6000004,high,5.1828761,-21.224949,-21.429323,-8.6431713,-82.066078,27
9.6999998,high,5.1828761,-20.918892,-21.427929,-8.7357235,-81.594437,27
9.8000002,high,5.1828761,-20.61496,-21.423054,-8.8262215,-81.122787,27
9.8999996,high,5.1828761,-20.313158,-21.414734,-8.9146547,-80.651146,27
10,high,5.1828761,-20.013481,-21.403006,-9.0010185,-80.179504,27
10.1,high,5.1828761,-19.715935,-21.387905,-9.0853052,-79.707855,27
10.2,high,5.1828761,-19.420517,-21.369469,-9.1675072,-79.236214,27
10.3,high,5.1828761,-19.127226,-21.347731,-9.2476215,-78.764565,27
10.4,high,5.1828761,-18.836063,-21.322731,-9.3256388,-78.292923,27
10.5,high,5.1828761,-18.547029,-21.294502,-9.401557,-77.821281,27
10.6,high,5.1828761,-18.26012,-21.263081,-9.4753704,-77.349632,27
10.7,high,5.1828761,-17.975344,-21.228506,-9.5470724,-76.877991,27
10.8,high,5.1828761,-17.692692,-21.190811,-9.6166611,-76.406349,27
10.9,high,5.1828761,-17.412172,-21.150034,-9.6841307,-75.934708,27
11,high,5.1828761,-17.133776,-21.106209,-9.7494783,-75.463058,27
11.1,high,5.1828761,-16.85751,-21.059372,-9.8127012,-74.991417,27
11.2,high,5.1828761,-16.583372,-21.009562,-9.8737955,-74.519775,27
11.3,high,5.1828761,-16.311361,-20.956814,-9.9327602,-74.048126,27
11.4,high,5.1828761,-16.041481,-20.901163,-9.9895906,-73.576485,27
11.5,high,5.1828761,-15.773726,-20.842646,-10.044287,-73.104836,27
11.6,high,5.1828761,-15.508099,-20.781298,-10.096846,-72.633194,27
11.7,high,5.1828761,-15.244602,-20.717157,-10.147267,-72.161552,27
11.8,high,5.1828761,-14.983232,-20.650259,-10.195551,-71.689903,27
11.9,high,5.1828761,-14.723991,-20.580639,-10.241694,-71.218262,27
12,high,-92.801109,-14.466877,-20.508333,-10.285699,-70.74662,27
