temp,risk,bins,poly_2,poly_3,poly_4,spline
-9.1000004,low,-18.214924,-34.080471,-11.491378,-41.951191,-1.8048871
-9,high,-100.39586,-225.70474,-92.911438,-98.702164,-26.149515
-9,low,-18.214924,-33.981838,-11.728882,-41.546162,-1.7998873
-8.8999996,high,-100.39586,-224.64905,-93.544907,-99.227562,-26.076878
-8.8999996,low,-18.214924,-33.883228,-11.963722,-41.147121,-1.7948875
-8.8000002,high,-100.39586,-223.59576,-94.168549,-99.744476,-26.00424
-8.8000002,low,-18.214924,-33.784641,-12.195908,-40.754021,-1.7898879
-8.6999998,high,-100.39586,-222.54485,-94.782402,-100.25294,-25.931602
-8.6999998,low,-18.214924,-33.686077,-12.42545,-40.366783,-1.7848883
-8.6000004,high,-100.39586,-221.49634,-95.386513,-100.75297,-25.858965
-8.6000004,low,-18.214924,-33.58754,-12.652356,-39.985363,-1.7798885
-8.5,high,-100.39586,-220.45021,-95.980927,-101.24461,-25.786327
-8.5,low,-18.214924,-33.489025,-12.876639,-39.609692,-1.7748889
-8.3999996,high,-100.39586,-219.40646,-96.565681,-101.72789,-25.71369
-8.3999996,low,-18.214924,-33.39053,-13.098309,-39.239719,-1.7698891
-8.3000002,high,-100.39586,-218.36511,-97.140808,-102.20283,-25.641052
-8.3000002,low,-18.214924,-33.292061,-13.31737,-38.875385,-1.7648895
-8.1999998,high,-100.39586,-217.32614,-97.70636,-102.66947,-25.568415
-8.1999998,low,-18.214924,-33.193615,-13.533839,-38.516628,-1.7598898
-8.1000004,high,-100.39586,-216.28957,-98.262367,-103.12785,-25.495777
-8.1000004,low,-18.214924,-33.095196,-13.74772,-38.163399,-1.7548901
-8,high,-100.39586,-215.25539,-98.808876,-103.57798,-25.42314
-8,low,-18.214924,-32.996796,-13.959027,-37.815628,-1.7498904
-7.9000001,high,-100.39586,-214.22359,-99.345932,-104.0199,-25.350502
-7.9000001,low,-18.214924,-32.898422,-14.167767,-37.473267,-1.7448907
-7.8000002,high,-100.39586,-213.19417,-99.873566,-104.45364,-25.277864
-7.8000002,low,-18.214924,-32.800068,-14.373951,-37.136257,-1.7398911
-7.6999998,high,-100.39586,-212.16714,-100.39183,-104.87925,-25.205227
-7.6999998,low,-18.214924,-32.70174,-14.577589,-36.804539,-1.7348913
-7.5999999,high,-100.39586,-211.14252,-100.90075,-105.29673,-25.132589
-7.5999999,low,-18.214924,-32.603436,-14.778689,-36.478062,-1.7298917
-7.5,high,-100.39586,-210.12027,-101.40038,-105.70613,-25.059952
-7.5,low,-18.214924,-32.505154,-14.977262,-36.156765,-1.724892
-7.4000001,high,-100.39586,-209.1004,-101.89075,-106.10748,-24.987314
-7.4000001,low,-18.214924,-32.406898,-15.173318,-35.840591,-1.7198923
-7.3000002,high,-100.39586,-208.08295,-102.37192,-106.50081,-24.914677
-7.3000002,low,-18.214924,-32.308662,-15.366867,-35.529491,-1.7148926
-7.1999998,high,-100.39586,-207.06786,-102.8439,-106.88614,-24.842039
-7.1999998,low,-18.214924,-32.210453,-15.557919,-35.223404,-1.7098929
-7.0999999,high,-100.39586,-206.05516,-103.30676,-107.26352,-24.769402
-7.0999999,low,-18.214924,-32.112267,-15.746481,-34.922276,-1.7048932
-7,high,-100.39586,-205.04486,-103.76052,-107.63297,-24.696764
-7,low,-18.214924,-32.014103,-15.932566,-34.626053,-1.6998936
-6.9000001,high,-100.39586,-204.03694,-104.20523,-107.99451,-24.624126
-6.9000001,low,-18.214924,-31.91596,-16.11618,-34.334679,-1.6948938
-6.8000002,high,-100.39586,-203.03142,-104.64094,-108.3482,-24.551491
-6.8000002,low,-18.214924,-31.817844,-16.297338,-34.048103,-1.6898942
-6.6999998,high,-100.39586,-202.02827,-105.06767,-108.69405,-24.478851
-6.6999998,low,-18.214924,-31.719751,-16.476048,-33.766266,-1.6848944
-6.5999999,high,-100.39586,-201.02753,-105.48547,-109.0321,-24.406214
-6.5999999,low,-18.214924,-31.621681,-16.652317,-33.489117,-1.6798948
-6.5,high,-100.39586,-200.02917,-105.89439,-109.36238,-24.333576
-6.5,low,-18.214924,-31.523634,-16.826155,-33.216606,-1.6748952
-6.4000001,high,-100.39586,-199.0332,-106.29446,-109.68491,-24.260941
-6.4000001,low,-18.214924,-31.425611,-16.997576,-32.948673,-1.6698954
-6.3000002,high,-100.39586,-198.03961,-106.68572,-109.99975,-24.188303
-6.3000002,low,-18.214924,-31.327612,-17.166584,-32.685268,-1.6648958
-6.1999998,high,-100.39586,-197.04842,-107.06821,-110.3069,-24.115664
-6.1999998,low,-18.214924,-31.229637,-17.333195,-32.426338,-1.659896
-6.0999999,high,-100.39586,-196.0596,-107.44199,-110.60641,-24.043026
-6.0999999,low,-18.214924,-31.131683,-17.497414,-32.171833,-1.6548964
-6,high,-100.39586,-195.0732,-107.80708,-110.89831,-23.97039
-6,low,-18.214924,-31.033756,-17.659252,-31.921696,-1.6498967
-5.9000001,high,-100.39586,-194.08916,-108.16351,-111.18262,-23.897753
-5.9000001,low,-18.214924,-30.93585,-17.81872,-31.675877,-1.644897
-5.8000002,high,-100.39586,-193.10751,-108.51135,-111.45939,-23.825115
-5.8000002,low,-18.214924,-30.837969,-17.975824,-31.434324,-1.6398973
-5.6999998,high,-100.39586,-192.12827,-108.85063,-111.72864,-23.752476
-5.6999998,low,-18.214924,-30.74011,-18.130581,-31.196987,-1.6348976
-5.5999999,high,-100.39586,-191.1514,-109.18139,-111.99039,-23.679838
-5.5999999,low,-18.214924,-30.642275,-18.282993,-30.963814,-1.629898
-5.5,high,-100.39586,-190.17693,-109.50366,-112.2447,-23.607203
-5.5,low,-18.214924,-30.544464,-18.433075,-30.734753,-1.6248982
-5.4000001,high,-100.39586,-189.20483,-109.8175,-112.49158,-23.534565
-5.4000001,low,-18.214924,-30.446676,-18.580833,-30.509754,-1.6198986
-5.3000002,high,-100.39586,-188.23514,-110.12292,-112.73108,-23.461927
-5.3000002,low,-18.214924,-30.348911,-18.726278,-30.288765,-1.6148989
-5.1999998,high,-100.39586,-187.26782,-110.42001,-112.96321,-23.389288
-5.1999998,low,-18.214924,-30.251169,-18.869423,-30.071737,-1.6098992
-5.0999999,high,-100.39586,-186.3029,-110.70876,-113.18802,-23.316652
-5.0999999,low,-18.214924,-30.153452,-19.010275,-29.858622,-1.6048995
-5,high,-100.39586,-185.34036,-110.98924,-113.40553,-23.244015
-5,low,-18.214924,-30.055759,-19.148842,-29.649368,-1.5998998
-4.9000001,high,-100.39586,-184.38022,-111.26148,-113.61578,-23.171377
-4.9000001,low,-18.214924,-29.958088,-19.285135,-29.443924,-1.5949001
-4.8000002,high,-100.39586,-183.42245,-111.52553,-113.8188,-23.09874
-4.8000002,low,-18.214924,-29.860441,-19.419167,-29.242245,-1.5899005
-4.6999998,high,-100.39586,-182.46709,-111.78142,-114.01463,-23.026102
-4.6999998,low,-18.214924,-29.762817,-19.550943,-29.044275,-1.5849007
-4.5999999,high,-100.39586,-181.5141,-112.0292,-114.20328,-22.953465
-4.5999999,low,-18.214924,-29.665216,-19.680475,-28.849974,-1.5799011
-4.5,high,-100.39586,-180.56351,-112.2689,-114.3848,-22.880827
-4.5,low,-18.214924,-29.56764,-19.807774,-28.659288,-1.5749013
-4.4000001,high,-100.39586,-179.61531,-112.50056,-114.55921,-22.808189
-4.4000001,low,-18.214924,-29.470087,-19.932846,-28.47217,-1.5699017
-4.3000002,high,-100.39586,-178.66949,-112.72424,-114.72656,-22.735552
-4.3000002,low,-18.214924,-29.372559,-20.055704,-28.288572,-1.5649021
-4.1999998,high,-100.39586,-177.72606,-112.93997,-114.88687,-22.662914
-4.1999998,low,-18.214924,-29.275051,-20.176359,-28.108446,-1.5599023
-4.0999999,high,-100.39586,-176.78503,-113.14778,-115.04018,-22.590277
-4.0999999,low,-18.214924,-29.17757,-20.294817,-27.931746,-1.5549027
-4,high,-100.39586,-175.84637,-113.34772,-115.18651,-22.517639
-4,low,-18.214924,-29.080111,-20.411089,-27.758421,-1.5499029
-3.9000001,high,-100.39586,-174.91011,-113.53984,-115.3259,-22.445002
-3.9000001,low,-18.214924,-28.982676,-20.525185,-27.58843,-1.5449033
-3.8,high,-100.39586,-173.97624,-113.72416,-115.45838,-22.372364
-3.8,low,-18.214924,-28.885263,-20.637115,-27.421721,-1.5399035
-3.7,high,-100.39586,-173.04475,-113.90073,-115.58399,-22.299726
-3.7,low,-18.214924,-28.787874,-20.746889,-27.258249,-1.5349039
-3.5999999,high,-100.39586,-172.11566,-114.0696,-115.70276,-22.227089
-3.5999999,low,-18.214924,-28.690508,-20.854517,-27.097971,-1.5299042
-3.5,high,-100.39586,-171.18895,-114.2308,-115.81471,-22.154451
-3.5,low,-18.214924,-28.593166,-20.960007,-26.940836,-1.5249045
-3.4000001,high,-100.39586,-170.26463,-114.38438,-115.91988,-22.081814
-3.4000001,low,-18.214924,-28.49585,-21.06337,-26.786802,-1.5199049
-3.3,high,-100.39586,-169.3427,-114.53037,-116.01831,-22.009176
-3.3,low,-18.214924,-28.398554,-21.164616,-26.635822,-1.5149051
-3.2,high,-100.39586,-168.42316,-114.66882,-116.11003,-21.936539
-3.2,low,-18.214924,-28.301283,-21.263754,-26.48785,-1.5099055
-3.0999999,high,-100.39586,-167.50601,-114.79976,-116.19507,-21.863901
-3.0999999,low,-18.214924,-28.204035,-21.360794,-26.342844,-1.5049057
-3,high,-100.39586,-166.59125,-114.92323,-116.27345,-21.791264
-3,low,-18.214924,-28.106812,-21.455748,-26.200758,-1.4999061
-2.9000001,high,-100.39586,-165.67886,-115.03928,-116.34523,-21.718626
-2.9000001,low,-18.214924,-28.009611,-21.54862,-26.061544,-1.4949064
-2.8,high,-100.39586,-164.76888,-115.14796,-116.41042,-21.645988
-2.8,low,-18.214924,-27.912434,-21.639427,-25.925163,-1.4899067
-2.7,high,-100.39586,-163.86127,-115.24929,-116.46906,-21.573351
-2.7,low,-18.214924,-27.815279,-21.728172,-25.791571,-1.484907
-2.5999999,high,-100.39586,-162.95605,-115.34332,-116.52119,-21.500713
-2.5999999,low,-18.214924,-27.718149,-21.814871,-25.660719,-1.4799073
-2.5,high,-100.39586,-162.05324,-115.43009,-116.56683,-21.428076
-2.5,low,-18.214924,-27.621042,-21.899529,-25.53257,-1.4749076
-2.4000001,high,-100.39586,-161.1528,-115.50964,-116.60601,-21.355438
-2.4000001,low,-18.214924,-27.523958,-21.982159,-25.407076,-1.469908
-2.3,high,-100.39586,-160.25476,-115.58202,-116.63879,-21.282801
-2.3,low,-18.214924,-27.426899,-22.062767,-25.284197,-1.4649082
-2.2,high,-100.39586,-159.3591,-115.64725,-116.66517,-21.210163
-2.2,low,-18.214924,-27.329863,-22.141365,-25.163889,-1.4599086
-2.0999999,high,-100.39586,-158.46582,-115.70539,-116.6852,-21.137526
-2.0999999,low,-18.214924,-27.232849,-22.217964,-25.046108,-1.4549088
-2,high,-100.39586,-157.57495,-115.75647,-116.69892,-21.064888
-2,low,-18.214924,-27.13586,-22.292572,-24.930817,-1.4499092
-1.9,high,-100.39586,-156.68645,-115.80054,-116.70635,-20.99225
-1.9,low,-18.214924,-27.038895,-22.3652,-24.817968,-1.4449096
-1.8,high,-100.39586,-155.80035,-115.83762,-116.70753,-20.919613
-1.8,low,-18.214924,-26.941952,-22.435856,-24.707525,-1.4399098
