,iso,adm0_id,adm1_id,adm2_id,state,master_county_name,NAME_1,NAME_2
163,USA,80000000,80170000,80170159,KY,KENTUCKYKENTON,Kentucky,Kenton
164,USA,80000000,80220000,80220118,MI,Genesee County,Michigan,Genesee
165,USA,80000000,80230000,80230344,MN,Washington County,Minnesota,Washington
166,USA,80000000,80300000,80300219,NJ,Morris County,New Jersey,Morris
167,USA,80000000,80320000,80320316,NY,St. Lawrence County,New York,Saint Lawrence
168,USA,80000000,80340000,80340054,ND,Cass County,North Dakota,Cass
169,USA,80000000,80350000,80350204,OH,Medina County,Ohio,Medina
170,USA,80000000,80370000,80370150,OR,Jackson County,Oregon,Jackson
171,USA,80000000,80380000,80380039,PA,Bucks County,Pennsylvania,Bucks
172,USA,80000000,80430000,80430117,TX,Galveston County,Texas,Galveston
173,USA,80000000,80430000,80430348,TX,Webb County,Texas,Webb
174,USA,80000000,80460000,80460108,VA,Fairfax County,Virginia,Fairfax
175,USA,80000000,80460000,80460108,VA,VIRGINIAFAIRFAX,Virginia,Fairfax
176,USA,80000000,80460000,80460266,VA,Prince William County,Virginia,Prince William
177,USA,80000000,80460000,80460126,VA,Hampton city,Virginia,Hampton
178,USA,80000000,80100000,80100087,GA,De Kalb County,Georgia,DeKalb
179,USA,80000000,80270000,80270170,NE,Lancaster County,Nebraska,Lancaster
180,USA,80000000,80090000,80090198,FL,Marion County,Florida,Marion
181,USA,80000000,80200000,80200016,MD,Baltimore County,Maryland,Baltimore
182,USA,80000000,80200000,80200016,MD,MARYLANDBALTIMORE,Maryland,Baltimore
183,USA,80000000,80220000,80220150,MI,Jackson County,Michigan,Jackson
184,USA,80000000,80330000,80330079,NC,Cumberland County,North Carolina,Cumberland
185,USA,80000000,80330000,80330079,NC,NORTHCAROLINACUMBERLAND,North Carolina,Cumberland
186,USA,80000000,80330000,80330342,NC,Wake County,North Carolina,Wake
187,USA,80000000,80330000,80330342,NC,NORTHCAROLINAWAKE,North Carolina,Wake
188,USA,80000000,80360000,80360332,OK,Tulsa County,Oklahoma,Tulsa
189,USA,80000000,80360000,80360332,OK,OKLAHOMATULSA,Oklahoma,Tulsa
190,USA,80000000,80460000,80460134,VA,Henrico County,Virginia,Henrico
191,USA,80000000,80460000,80460134,VA,VIRGINIAHENRICO,Virginia,Henrico
192,USA,80000000,80020000,80020255,AZ,Pinal County,Arizona,Pinal
193,USA,80000000,80040000,80040160,CA,Kern County,California,Kern
194,USA,80000000,80220000,80220024,MI,Berrien County,Michigan,Berrien
195,USA,80000000,80410000,80410211,SD,Minnehaha County,South Dakota,Minnehaha
196,USA,80000000,80410000,80410211,SD,SOUTHDAKOTAMINNEHAHA,South Dakota,Minnehaha
197,USA,80000000,80430000,80430209,TX,Midland County,Texas,Midland
198,USA,80000000,80460000,80460340,VA,Virginia Beach city,Virginia,Virginia Beach
199,USA,80000000,80460000,80460340,VA,VIRGINIAVIRGINIABEACH,Virginia,Virginia Beach
200,USA,80000000,80020000,80020359,AZ,Yavapai County,Arizona,Yavapai
201,USA,80000000,80040000,80040002,CA,Alameda County,California,Alameda
202,USA,80000000,80040000,80040290,CA,San Luis Obispo County,California,San Luis Obispo
203,USA,80000000,80070000,80070325,DE,Sussex County,Delaware,Sussex
204,USA,80000000,80090000,80090033,FL,Brevard County,Florida,Brevard
205,USA,80000000,80090000,80090194,FL,Manatee County,Florida,Manatee
206,USA,80000000,80090000,80090248,FL,Pasco County,Florida,Pasco
207,USA,80000000,80130000,80130174,IL,La Salle County,Illinois,La Salle
208,USA,80000000,80200000,80200053,MD,Carroll County,Maryland,Carroll
209,USA,80000000,80200000,80200344,MD,Washington County,Maryland,Washington
210,USA,80000000,80310000,80310094,NM,Dona Ana County,New Mexico,Dona Ana
211,USA,80000000,80320000,80320240,NY,Orange County,New York,Orange
212,USA,80000000,80330000,80330111,NC,Forsyth County,North Carolina,Forsyth
213,USA,80000000,80330000,80330111,NC,NORTHCAROLINAFORSYTH,North Carolina,Forsyth
214,USA,80000000,80380000,80380105,PA,Erie County,Pennsylvania,Erie
215,USA,80000000,80430000,80430137,TX,Hidalgo County,Texas,Hidalgo
216,USA,80000000,80470000,80470329,WA,Thurston County,Washington,Thurston
217,USA,80000000,80230000,80230011,MN,Anoka County,Minnesota,Anoka
218,USA,80000000,80020000,80020363,AZ,Yuma County,Arizona,Yuma
219,USA,80000000,80400000,80400179,SC,Lexington County,South Carolina,Lexington
220,USA,80000000,80000000,80000192,AL,Madison County,Alabama,Madison
221,USA,80000000,80000000,80000192,AL,ALABAMAMADISON,Alabama,Madison
222,USA,80000000,80000000,80000047,AL,Calhoun County,Alabama,Calhoun
223,USA,80000000,80040000,80040286,CA,San Francisco County,California,San Francisco
224,USA,80000000,80040000,80040286,CA,CALIFORNIASANFRANCISCO,California,San Francisco
225,USA,80000000,80040000,80040292,CA,Santa Barbara County,California,Santa Barbara
226,USA,80000000,80050000,80050350,CO,Weld County,Colorado,Weld
227,USA,80000000,80090000,80090234,FL,Okaloosa County,Florida,Okaloosa
228,USA,80000000,80140000,80140172,IN,La Porte County,Indiana,LaPorte
229,USA,80000000,80180000,80180100,LA,East Baton Rouge Parish,Louisiana,East Baton Rouge
230,USA,80000000,80180000,80180100,LA,LOUISIANAEASTBATONROUGE,Louisiana,East Baton Rouge
231,USA,80000000,80190000,80190157,ME,Kennebec County,Maine,Kennebec
232,USA,80000000,80380000,80380110,PA,Fayette County,Pennsylvania,Fayette
233,USA,80000000,80430000,80430187,TX,Lubbock County,Texas,Lubbock
234,USA,80000000,80350000,80350183,OH,Lorain County,Ohio,Lorain
235,USA,80000000,80090000,80090074,FL,Collier County,Florida,Collier
236,USA,80000000,80460000,80460004,VA,Alexandria city,Virginia,Alexandria
237,USA,80000000,80330000,80330225,NC,New Hanover County,North Carolina,New Hanover
238,USA,80000000,80000000,80000333,AL,Tuscaloosa County,Alabama,Tuscaloosa
239,USA,80000000,80000000,80000333,AL,ALABAMATUSCALOOSA,Alabama,Tuscaloosa
240,USA,80000000,80490000,80490271,WI,Racine County,Wisconsin,Racine
241,USA,80000000,80090000,80090018,FL,Bay County,Florida,Bay
242,USA,80000000,80090000,80090136,FL,Hernando County,Florida,Hernando
243,USA,80000000,80460000,80460065,VA,Chesterfield County,Virginia,Chesterfield
244,USA,80000000,80300000,80300079,NJ,Cumberland County,New Jersey,Cumberland
245,USA,80000000,80250000,80250069,MO,Clay County,Missouri,Clay
246,USA,80000000,80250000,80250069,MO,MISSOURICLAY,Missouri,Clay
247,USA,80000000,80300000,80300145,NJ,Hunterdon County,New Jersey,Hunterdon
248,USA,80000000,80040000,80040361,CA,Yolo County,California,Yolo
249,USA,80000000,80140000,80140261,IN,Porter County,Indiana,Porter
250,USA,80000000,80050000,80050268,CO,Pueblo County,Colorado,Pueblo
251,USA,80000000,80460000,80460230,VA,Norfolk city,Virginia,Norfolk
252,USA,80000000,80150000,80150027,IA,Black Hawk County,Iowa,Black Hawk
253,USA,80000000,80150000,80150027,IA,IOWABLACKHAWK,Iowa,Black Hawk
254,USA,80000000,80140000,80140169,IN,Lake County,Indiana,Lake
255,USA,80000000,80140000,80140169,IN,INDIANALAKE,Indiana,Lake
256,USA,80000000,80350000,80350071,OH,Clermont County,Ohio,Clermont
257,USA,80000000,80410000,80410181,SD,Lincoln County,South Dakota,Lincoln
258,USA,80000000,80040000,80040102,CA,El Dorado County,California,El Dorado
259,USA,80000000,80090000,80090069,FL,Clay County,Florida,Clay
260,USA,80000000,80040000,80040294,CA,Santa Cruz County,California,Santa Cruz
261,USA,80000000,80130000,80130156,IL,Kankakee County,Illinois,Kankakee
262,USA,80000000,80130000,80130201,IL,McLean County,Illinois,McLean
263,USA,80000000,80430000,80430273,TX,Randall County,Texas,Randall
264,USA,80000000,80470000,80470358,WA,Yakima County,Washington,Yakima
265,USA,80000000,80040000,80040146,CA,Imperial County,California,Imperial
266,USA,80000000,80380000,80380113,PA,Franklin County,Pennsylvania,Franklin
267,USA,80000000,80210000,80210321,MA,MASSACHUSETTSSUFFOLK,Massachusetts,Suffolk
268,USA,80000000,80030000,80030269,AR,ARKANSASPULASKI,Arkansas,Pulaski
269,USA,80000000,80030000,80030269,AR,Pulaski County,Arkansas,Pulaski
270,USA,80000000,80040000,80040276,CA,CALIFORNIARIVERSIDE,California,Riverside
271,USA,80000000,80040000,80040276,CA,Riverside County,California,Riverside
272,USA,80000000,80130000,80130078,IL,ILLINOISCOOK,Illinois,Cook
273,USA,80000000,80130000,80130192,IL,ILLINOISMADISON,Illinois,Madison
274,USA,80000000,80130000,80130192,IL,Madison County,Illinois,Madison
275,USA,80000000,80250000,80250119,MO,MISSOURIGREENE,Missouri,Greene
276,USA,80000000,80350000,80350113,OH,OHIOFRANKLIN,Ohio,Franklin
277,USA,80000000,80350000,80350113,OH,Franklin County,Ohio,Franklin
278,USA,80000000,80370000,80370344,OR,OREGONWASHINGTON,Oregon,Washington
279,USA,80000000,80430000,80430330,TX,TEXASTRAVIS,Texas,Travis
280,USA,80000000,80430000,80430025,TX,TEXASBEXAR,Texas,Bexar
281,USA,80000000,80430000,80430025,TX,Bexar County,Texas,Bexar
282,USA,80000000,80430000,80430152,TX,TEXASJEFFERSON,Texas,Jefferson
283,USA,80000000,80030000,80030300,AR,ARKANSASSEBASTIAN,Arkansas,Sebastian
284,USA,80000000,80060000,80060109,CT,CONNECTICUTFAIRFIELD,Connecticut,Fairfield
285,USA,80000000,80060000,80060130,CT,CONNECTICUTHARTFORD,Connecticut,Hartford
286,USA,80000000,80060000,80060226,CT,CONNECTICUTNEWHAVEN,Connecticut,New Haven
287,USA,80000000,80090000,80090341,FL,FLORIDAVOLUSIA,Florida,Volusia
288,USA,80000000,80090000,80090341,FL,Volusia County,Florida,Volusia
289,USA,80000000,80100000,80100220,GA,GEORGIAMUSCOGEE,Georgia,Muscogee
290,USA,80000000,80130000,80130356,IL,ILLINOISWINNEBAGO,Illinois,Winnebago
291,USA,80000000,80130000,80130287,IL,ILLINOISSANGAMON,Illinois,Sangamon
292,USA,80000000,80140000,80140198,IN,INDIANAMARION,Indiana,Marion
293,USA,80000000,80150000,80150091,IA,IOWADESMOINES,Iowa,Des Moines
294,USA,80000000,80160000,80160153,KS,KANSASJOHNSON,Kansas,Johnson
295,USA,80000000,80160000,80160301,KS,KANSASSEDGWICK,Kansas,Sedgwick
296,USA,80000000,80160000,80160301,KS,Sedgwick County,Kansas,Sedgwick
297,USA,80000000,80170000,80170110,KY,KENTUCKYFAYETTE,Kentucky,Fayette
298,USA,80000000,80170000,80170110,KY,Fayette County,Kentucky,Fayette
299,USA,80000000,80190000,80190079,ME,MAINECUMBERLAND,Maine,Cumberland
300,USA,80000000,80210000,80210357,MA,MASSACHUSETTSWORCESTER,Massachusetts,Worcester
301,USA,80000000,80220000,80220282,MI,MICHIGANSAGINAW,Michigan,Saginaw
302,USA,80000000,80220000,80220282,MI,Saginaw County,Michigan,Saginaw
303,USA,80000000,80220000,80220148,MI,MICHIGANINGHAM,Michigan,Ingham
304,USA,80000000,80220000,80220154,MI,MICHIGANKALAMAZOO,Michigan,Kalamazoo
305,USA,80000000,80220000,80220347,MI,MICHIGANWAYNE,Michigan,Wayne
306,USA,80000000,80220000,80220347,MI,Wayne County,Michigan,Wayne
307,USA,80000000,80270000,80270096,NE,NEBRASKADOUGLAS,Nebraska,Douglas
308,USA,80000000,80310000,80310023,NM,NEWMEXICOBERNALILLO,New Mexico,Bernalillo
309,USA,80000000,80310000,80310023,NM,Bernalillo County,New Mexico,Bernalillo
310,USA,80000000,80320000,80320003,NY,NEWYORKALBANY,New York,Albany
311,USA,80000000,80330000,80330040,NC,NORTHCAROLINABUNCOMBE,North Carolina,Buncombe
312,USA,80000000,80330000,80330122,NC,NORTHCAROLINAGUILFORD,North Carolina,Guilford
313,USA,80000000,80350000,80350188,OH,OHIOLUCAS,Ohio,Lucas
314,USA,80000000,80350000,80350188,OH,Lucas County,Ohio,Lucas
315,USA,80000000,80350000,80350311,OH,OHIOSTARK,Ohio,Stark
316,USA,80000000,80350000,80350323,OH,OHIOSUMMIT,Ohio,Summit
317,USA,80000000,80350000,80350323,OH,Summit County,Ohio,Summit
318,USA,80000000,80350000,80350347,OH,Wayne County,Ohio,Wayne
319,USA,80000000,80360000,80360235,OK,OKLAHOMAOKLAHOMA,Oklahoma,Oklahoma
