,discount_type,ssp,year,global_consumption
265,constant_model_collapsed,SSP2,2283,8725123500000000.0
266,constant_model_collapsed,SSP2,2284,8853009400000000.0
267,constant_model_collapsed,SSP2,2285,8982770000000000.0
268,constant_model_collapsed,SSP2,2286,9114433000000000.0
269,constant_model_collapsed,SSP2,2287,9248026000000000.0
270,constant_model_collapsed,SSP2,2288,9383576000000000.0
271,constant_model_collapsed,SSP2,2289,9521114000000000.0
272,constant_model_collapsed,SSP2,2290,9660668000000000.0
273,constant_model_collapsed,SSP2,2291,9802265000000000.0
274,constant_model_collapsed,SSP2,2292,9945941000000000.0
275,constant_model_collapsed,SSP2,2293,1.009172e+16
276,constant_model_collapsed,SSP2,2294,1.0239637e+16
277,constant_model_collapsed,SSP2,2295,1.0389722e+16
278,constant_model_collapsed,SSP2,2296,1.0542007e+16
279,constant_model_collapsed,SSP2,2297,1.0696525e+16
280,constant_model_collapsed,SSP2,2298,1.0853306e+16
281,constant_model_collapsed,SSP2,2299,1.1012386e+16
282,constant_model_collapsed,SSP2,2300,1.1173798e+16
283,constant_model_collapsed,SSP3,2018,119067575000000.0
284,constant_model_collapsed,SSP3,2019,124009320000000.0
285,constant_model_collapsed,SSP3,2020,129251750000000.0
286,constant_model_collapsed,SSP3,2021,133438600000000.0
287,constant_model_collapsed,SSP3,2022,137810790000000.0
288,constant_model_collapsed,SSP3,2023,142377300000000.0
289,constant_model_collapsed,SSP3,2024,147149470000000.0
290,constant_model_collapsed,SSP3,2025,152138550000000.0
291,constant_model_collapsed,SSP3,2026,155961340000000.0
292,constant_model_collapsed,SSP3,2027,159904890000000.0
293,constant_model_collapsed,SSP3,2028,163972620000000.0
294,constant_model_collapsed,SSP3,2029,168170990000000.0
295,constant_model_collapsed,SSP3,2030,172503230000000.0
296,constant_model_collapsed,SSP3,2031,175844450000000.0
297,constant_model_collapsed,SSP3,2032,179261630000000.0
298,constant_model_collapsed,SSP3,2033,182755040000000.0
299,constant_model_collapsed,SSP3,2034,186329400000000.0
300,constant_model_collapsed,SSP3,2035,189984930000000.0
301,constant_model_collapsed,SSP3,2036,192980850000000.0
302,constant_model_collapsed,SSP3,2037,196029170000000.0
303,constant_model_collapsed,SSP3,2038,199131680000000.0
304,constant_model_collapsed,SSP3,2039,202288510000000.0
305,constant_model_collapsed,SSP3,2040,205502610000000.0
306,constant_model_collapsed,SSP3,2041,208183600000000.0
307,constant_model_collapsed,SSP3,2042,210903160000000.0
308,constant_model_collapsed,SSP3,2043,213662020000000.0
309,constant_model_collapsed,SSP3,2044,216459740000000.0
310,constant_model_collapsed,SSP3,2045,219298930000000.0
311,constant_model_collapsed,SSP3,2046,221616720000000.0
312,constant_model_collapsed,SSP3,2047,223962340000000.0
313,constant_model_collapsed,SSP3,2048,226337960000000.0
314,constant_model_collapsed,SSP3,2049,228742950000000.0
315,constant_model_collapsed,SSP3,2050,231178800000000.0
316,constant_model_collapsed,SSP3,2051,233299900000000.0
317,constant_model_collapsed,SSP3,2052,235445510000000.0
318,constant_model_collapsed,SSP3,2053,237617900000000.0
319,constant_model_collapsed,SSP3,2054,239816210000000.0
320,constant_model_collapsed,SSP3,2055,242042240000000.0
321,constant_model_collapsed,SSP3,2056,244096140000000.0
322,constant_model_collapsed,SSP3,2057,246175880000000.0
323,constant_model_collapsed,SSP3,2058,248280320000000.0
324,constant_model_collapsed,SSP3,2059,250410690000000.0
325,constant_model_collapsed,SSP3,2060,252566930000000.0
326,constant_model_collapsed,SSP3,2061,254663600000000.0
327,constant_model_collapsed,SSP3,2062,256786380000000.0
328,constant_model_collapsed,SSP3,2063,258936000000000.0
329,constant_model_collapsed,SSP3,2064,261112300000000.0
330,constant_model_collapsed,SSP3,2065,263316380000000.0
331,constant_model_collapsed,SSP3,2066,265411680000000.0
332,constant_model_collapsed,SSP3,2067,267533980000000.0
333,constant_model_collapsed,SSP3,2068,269683130000000.0
334,constant_model_collapsed,SSP3,2069,271859590000000.0
335,constant_model_collapsed,SSP3,2070,274065440000000.0
336,constant_model_collapsed,SSP3,2071,276218540000000.0
337,constant_model_collapsed,SSP3,2072,278399810000000.0
338,constant_model_collapsed,SSP3,2073,280610130000000.0
339,constant_model_collapsed,SSP3,2074,282850780000000.0
340,constant_model_collapsed,SSP3,2075,285121400000000.0
341,constant_model_collapsed,SSP3,2076,287316770000000.0
342,constant_model_collapsed,SSP3,2077,289540400000000.0
343,constant_model_collapsed,SSP3,2078,291794300000000.0
344,constant_model_collapsed,SSP3,2079,294075840000000.0
345,constant_model_collapsed,SSP3,2080,296388950000000.0
346,constant_model_collapsed,SSP3,2081,298677530000000.0
347,constant_model_collapsed,SSP3,2082,300995030000000.0
348,constant_model_collapsed,SSP3,2083,303344080000000.0
349,constant_model_collapsed,SSP3,2084,305722550000000.0
350,constant_model_collapsed,SSP3,2085,308132630000000.0
351,constant_model_collapsed,SSP3,2086,310521640000000.0
352,constant_model_collapsed,SSP3,2087,312939100000000.0
353,constant_model_collapsed,SSP3,2088,315388980000000.0
354,constant_model_collapsed,SSP3,2089,317868450000000.0
355,constant_model_collapsed,SSP3,2090,320381680000000.0
356,constant_model_collapsed,SSP3,2091,322970800000000.0
357,constant_model_collapsed,SSP3,2092,325591900000000.0
358,constant_model_collapsed,SSP3,2093,328246500000000.0
359,constant_model_collapsed,SSP3,2094,330934550000000.0
360,constant_model_collapsed,SSP3,2095,333656350000000.0
361,constant_model_collapsed,SSP3,2096,336370800000000.0
362,constant_model_collapsed,SSP3,2097,339119680000000.0
363,constant_model_collapsed,SSP3,2098,341901200000000.0
364,constant_model_collapsed,SSP3,2099,344716420000000.0
365,constant_model_collapsed,SSP3,2100,346260030000000.0
366,constant_model_collapsed,SSP3,2101,347810500000000.0
367,constant_model_collapsed,SSP3,2102,349367940000000.0
368,constant_model_collapsed,SSP3,2103,350932380000000.0
369,constant_model_collapsed,SSP3,2104,352503800000000.0
370,constant_model_collapsed,SSP3,2105,354082270000000.0
371,constant_model_collapsed,SSP3,2106,355667820000000.0
372,constant_model_collapsed,SSP3,2107,357260400000000.0
373,constant_model_collapsed,SSP3,2108,358860200000000.0
374,constant_model_collapsed,SSP3,2109,360467100000000.0
375,constant_model_collapsed,SSP3,2110,362081200000000.0
376,constant_model_collapsed,SSP3,2111,363702560000000.0
377,constant_model_collapsed,SSP3,2112,365331200000000.0
378,constant_model_collapsed,SSP3,2113,366967070000000.0
