temp,no_wgt_comm,no_wgt_low,no_wgt_ag,no_wgt_nonag,pop_wgt_comm,risk_wgt_sector_low,risk_wgt_sector_ag,risk_wgt_sector_nonag,frac_no_wgt_comm,frac_no_wgt_low,frac_no_wgt_ag,frac_no_wgt_nonag,frac_pop_wgt_comm,frac_risk_wgt_sector_low,frac_risk_wgt_sector_ag,frac_risk_wgt_sector_nonag
-5.9,5,4,0,1,.0000133278914342,.000024409006528,0,2.41276484303e-06,7.58052066958e-07,9.57893859613e-07,0,4.90254236042e-07,.0000136803864427,.0000401335125008,0,8.41307332894e-06
-5.8,8,5,0,3,.0000133706500376,.0000171564324773,0,.0000102737133147,1.21288330713e-06,1.19736732452e-06,0,1.47076270813e-06,.0000137242759222,.0000282087637,0,.0000358234262768
-5.7,14,10,0,4,.0000544570435587,.0000594393820847,0,.0000530239030923,2.12254578748e-06,2.39473464903e-06,0,1.96101694417e-06,.0000558973190986,.0000977307774162,0,.0001848891267586
-5.6,14,13,0,1,.0000598848517263,.0001147162265625,0,5.44007343706e-06,2.12254578748e-06,3.11315504374e-06,0,4.90254236042e-07,.0000614686815032,.0001886174723051,0,.0000189690001796
-5.5,19,16,0,3,.0000314116227741,.0000502371899529,0,.0000134967290251,2.88059785444e-06,3.83157543845e-06,0,1.47076270813e-06,.0000322423948651,.0000826004486773,0,.000047061764563
-5.4,12,6,0,6,.0000302351614045,.0000428418043157,0,.0000188979456652,1.81932496070e-06,1.43684078942e-06,0,2.94152541625e-06,.0000310348185391,.0000704408877555,0,.0000658952749196
-5.3,10,9,0,1,.0000210030718607,.0000333088042908,0,9.32632974582e-06,1.51610413392e-06,2.15526118413e-06,0,4.90254236042e-07,.0000215585594282,.0000547666416434,0,.0000325199930976
-5.2,13,4,0,9,.0000326022019641,.0000103094878341,0,.0000588206237353,1.97093537409e-06,9.57893859613e-07,0,4.41228812438e-06,.0000334644623984,.0000169509544926,0,.0002051017206126
-5.1,13,13,0,0,.0000421174624235,.0000842523423898,0,0,1.97093537409e-06,3.11315504374e-06,0,0,.0000432313817067,.0001385284744239,0,0
-5,16,10,0,6,.0000363189738163,.0000401916183819,0,.0000347742209215,2.42576661427e-06,2.39473464903e-06,0,2.94152541625e-06,.0000372795351359,.000066083427726,0,.0001212542827844
-4.9,17,13,0,4,.0000586724051605,.0000883042314399,0,.0000311357116516,2.57737702766e-06,3.11315504374e-06,0,1.96101694417e-06,.0000602241682474,.0001451906275785,0,.0001085671593857
-4.8,20,18,0,2,.0000414850840183,.0000746965083636,0,8.88153863343e-06,3.03220826783e-06,4.31052236826e-06,0,9.80508472083e-07,.000042582278208,.0001228166844373,0,.0000309690503046
-4.7,12,10,0,2,.0000343288569633,.0000600124367338,0,9.27646306081e-06,1.81932496070e-06,2.39473464903e-06,0,9.80508472083e-07,.0000352367838312,.0000986729991283,0,.0000323461128793
-4.6,14,8,0,6,.0000349238551856,.0000292081692805,0,.0000435505808127,2.12254578748e-06,1.91578771923e-06,0,2.94152541625e-06,.0000358475185191,.0000480243399338,0,.0001518565851761
-4.5,16,10,0,6,.0000326851630515,.0000452509736988,0,.0000215673364892,2.42576661427e-06,2.39473464903e-06,0,2.94152541625e-06,.0000335496176341,.0000744020661607,0,.0000752031777641
-4.4,14,7,0,7,.0000254601758834,.0000299232533507,0,.0000225044211675,2.12254578748e-06,1.67631425432e-06,0,3.43177965229e-06,.0000261335445823,.0000492000877233,0,.0000784706997262
-4.3,17,14,0,3,.0000499911644289,.0000823483721888,0,.0000189125216821,2.57737702766e-06,3.35262850865e-06,0,1.47076270813e-06,.0000513133267541,.0001353979491492,0,.0000659461000545
-4.2,25,22,0,3,.0000528031838665,.0000976173928393,0,8.58158364281e-06,3.79026033479e-06,5.26841622787e-06,0,1.47076270813e-06,.0000541997182573,.0001605034130053,0,.0000299231368005
-4.1,24,18,2,4,.0000882969345398,.0001472185467719,1.54864512325e-08,.0000135967216011,3.63864992140e-06,4.31052236826e-06,5.25946243034e-06,1.96101694417e-06,.0000906322048144,.0002420580854221,2.78729391474e-07,.0000474104288254
-4,21,16,0,5,.0000665526525443,.0001116746992125,0,.0000229870236126,3.18381868122e-06,3.83157543845e-06,0,2.45127118021e-06,.0000683128317849,.0001836165651284,0,.0000801534869117
-3.9,15,15,0,0,.000030712999732,.0000614387004134,0,0,2.27415620087e-06,3.59210197355e-06,0,0,.0000315252946966,.0001010180749572,0,0
-3.8,10,10,0,0,.000021724903193,.0000434587893778,0,0,1.51610413392e-06,2.39473464903e-06,0,0,.000022299481698,.0000714553402559,0,0
-3.7,23,18,0,5,.0000836059499763,.0001141702342693,0,.0000568579262108,3.48703950801e-06,4.31052236826e-06,0,2.45127118021e-06,.0000858171534656,.0001877197467669,0,.0001982579876877
-3.6,27,14,0,13,.0000800852868799,.0000576903889851,0,.0001098173788705,4.09348116157e-06,3.35262850865e-06,0,6.37330506854e-06,.0000822033761528,.0000948550669136,0,.000382922382137
-3.5,14,11,0,3,.0000561426005895,.0000921274689745,0,.000021618845949,2.12254578748e-06,2.63420811394e-06,0,1.47076270813e-06,.0000576274556071,.0001514768298134,0,.0000753827861763
-3.4,24,21,0,3,.0000447187996942,.000076345725347,0,.0000140444822136,3.63864992140e-06,5.02894276297e-06,0,1.47076270813e-06,.0000459015189379,.000125528342134,0,.0000489717259731
-3.3,16,13,0,3,.0000563156632944,.0000502267612319,0,.0000668758384563,2.42576661427e-06,3.11315504374e-06,0,1.47076270813e-06,.0000578050954607,.0000825833016786,0,.0002331894608348
-3.2,11,9,0,2,.0000348389459815,.0000651934692542,0,4.81937468066e-06,1.66771454731e-06,2.15526118413e-06,0,9.80508472083e-07,.0000357603636431,.0001071917003374,0,.0000168046847604
-3.1,32,18,0,14,.0000743637232001,.0000690073577516,0,.0000854330930906,4.85153322853e-06,4.31052236826e-06,0,6.86355930458e-06,.0000763304890136,.0001134625307997,0,.0002978967796906
-3,15,10,0,5,.0000441589746044,.0000539150443046,0,.0000368736750715,2.27415620087e-06,2.39473464903e-06,0,2.45127118021e-06,.0000453268876389,.000088647610549,0,.0001285748725909
-2.9,25,22,0,3,.0000568382980771,.0000950040513317,0,.0000200281467642,3.79026033479e-06,5.26841622787e-06,0,1.47076270813e-06,.0000583415528464,.0001562065329195,0,.0000698361748168
-2.8,25,17,0,8,.0000393589445565,.0000576648282049,0,.0000225705291541,3.79026033479e-06,4.07104890336e-06,0,3.92203388833e-06,.0000403999067795,.0000948130396444,0,.0000787012117633
