temp,ref,yhat_agri,se_agri,lowerci_agri,upperci_agri,yhat_high,se_high,lowerci_high,upperci_high
-5.8,27,-105.81963,52.418201,-208.55742,-3.0818477,-23.886711,23.241737,-69.439682,21.666256
-5.7,27,-105.49701,52.258389,-207.92157,-3.0724516,-23.813885,23.170877,-69.227974,21.600201
-5.6,27,-105.17439,52.098576,-207.28572,-3.0630558,-23.74106,23.100019,-69.016266,21.534145
-5.5,27,-104.85177,51.938766,-206.64987,-3.0536599,-23.668234,23.02916,-68.804558,21.46809
-5.4,27,-104.52915,51.778954,-206.01404,-3.0442641,-23.595409,22.958302,-68.59285,21.402035
-5.3,27,-104.20653,51.619141,-205.37819,-3.0348682,-23.522585,22.887442,-68.381149,21.335978
-5.2,27,-103.8839,51.459332,-204.74234,-3.0254724,-23.449759,22.816584,-68.169441,21.269922
-5.1,27,-103.56129,51.299519,-204.10649,-3.0160766,-23.376934,22.745724,-67.957733,21.203867
-5,27,-103.23866,51.139706,-203.47064,-3.0066805,-23.304108,22.674866,-67.746025,21.137812
-4.9,27,-102.91605,50.979897,-202.83481,-2.9972847,-23.231283,22.604006,-67.534325,21.071756
-4.8,27,-102.59342,50.820084,-202.19896,-2.9878888,-23.158457,22.533148,-67.322617,21.005701
-4.7,27,-102.27081,50.660271,-201.56311,-2.978493,-23.085632,22.462288,-67.110909,20.939644
-4.6,27,-101.94818,50.500462,-200.92726,-2.9690971,-23.012806,22.39143,-66.8992,20.873589
-4.5,27,-101.62556,50.340649,-200.29143,-2.9597013,-22.939981,22.32057,-66.687492,20.807533
-4.4,27,-101.30294,50.18084,-199.65558,-2.9503052,-22.867157,22.249712,-66.475792,20.741478
-4.3,27,-100.98032,50.021027,-199.01973,-2.9409094,-22.794331,22.178852,-66.264084,20.675423
-4.2,27,-100.6577,49.861214,-198.38388,-2.9315135,-22.721506,22.107994,-66.052376,20.609365
-4.1,27,-100.33508,49.701405,-197.74803,-2.9221177,-22.64868,22.037134,-65.840668,20.54331
-4,27,-100.01246,49.541592,-197.1122,-2.9127219,-22.575855,21.966276,-65.628967,20.477255
-3.9,27,-99.689835,49.381779,-196.47635,-2.903326,-22.503029,21.895416,-65.417259,20.4112
-3.8,27,-99.367218,49.22197,-195.8405,-2.89393,-22.430204,21.824558,-65.205551,20.345144
-3.7,27,-99.044594,49.062157,-195.20465,-2.8845341,-22.357378,21.753698,-64.993843,20.279087
-3.6,27,-98.72197,48.902344,-194.5688,-2.8751383,-22.284554,21.68284,-64.782135,20.213032
-3.5,27,-98.399353,48.742535,-193.93297,-2.8657424,-22.211727,21.61198,-64.570435,20.146976
