temp,ref,yhat_comm,se_comm,lomacoerci_comm,upperci_comm,yhat_lomaco,se_lomaco,lomacoerci_lomaco,upperci_lomaco,yhat_low,se_low,lowerci_low,upperci_low
-13.4,27,-16.179123,9.8932333,-35.569504,3.2112577,-2.660079,9.3236828,-20.934162,15.614003,-2.1637354,11.568224,-24.837038,20.509567
-13.3,27,-16.139076,9.8687449,-35.481461,3.2033091,-2.6534948,9.3006048,-20.882345,15.575355,-2.1583796,11.53959,-24.77556,20.458801
-13.2,27,-16.099028,9.8442574,-35.393417,3.1953604,-2.6469104,9.2775259,-20.830526,15.536706,-2.1530237,11.510956,-24.714083,20.408035
-13.1,27,-16.058981,9.8197689,-35.305374,3.1874118,-2.640326,9.2544479,-20.778709,15.498058,-2.1476681,11.482322,-24.652605,20.357269
-13,27,-16.018934,9.7952805,-35.217331,3.1794631,-2.6337416,9.231369,-20.726892,15.459409,-2.1423123,11.453688,-24.591127,20.306501
-12.9,27,-15.978887,9.770792,-35.129288,3.1715145,-2.6271572,9.2082901,-20.675076,15.42076,-2.1369565,11.425053,-24.529648,20.255735
-12.8,27,-15.938839,9.7463045,-35.041245,3.1635659,-2.620573,9.1852121,-20.623259,15.382113,-2.1316006,11.396419,-24.468172,20.204969
-12.7,27,-15.898792,9.7218161,-34.953201,3.1556172,-2.6139886,9.1621342,-20.571442,15.343464,-2.126245,11.367785,-24.406693,20.154203
-12.6,27,-15.858745,9.6973276,-34.865158,3.1476686,-2.6074042,9.1390553,-20.519625,15.304815,-2.1208892,11.33915,-24.345215,20.103437
-12.5,27,-15.818697,9.6728392,-34.777115,3.13972,-2.6008198,9.1159773,-20.467806,15.266167,-2.1155334,11.310516,-24.283737,20.052671
-12.4,27,-15.77865,9.6483517,-34.689072,3.1317711,-2.5942354,9.0928984,-20.415989,15.227518,-2.1101775,11.281882,-24.22226,20.001905
-12.3,27,-15.738603,9.6238632,-34.601028,3.1238225,-2.5876513,9.0698204,-20.364172,15.188869,-2.1048219,11.253248,-24.160782,19.951139
-12.2,27,-15.698555,9.5993748,-34.512985,3.1158738,-2.5810668,9.0467415,-20.312355,15.150221,-2.0994661,11.224613,-24.099304,19.900372
-12.1,27,-15.658508,9.5748873,-34.424942,3.1079252,-2.5744824,9.0236635,-20.260538,15.111572,-2.0941103,11.195979,-24.037827,19.849606
-12,27,-15.618461,9.5503988,-34.336899,3.0999765,-2.567898,9.0005846,-20.208721,15.072924,-2.0887544,11.167345,-23.976349,19.79884
-11.9,27,-15.578413,9.5259104,-34.248856,3.0920279,-2.5613139,8.9775066,-20.156902,15.034275,-2.0833986,11.138711,-23.914871,19.748074
-11.8,27,-15.538366,9.5014219,-34.160812,3.0840793,-2.5547295,8.9544277,-20.105085,14.995627,-2.078043,11.110077,-23.853394,19.697308
-11.7,27,-15.498319,9.4769335,-34.072769,3.0761306,-2.5481451,8.9313498,-20.053268,14.956979,-2.0726871,11.081442,-23.791916,19.646542
-11.6,27,-15.458271,9.452446,-33.984726,3.068182,-2.5415606,8.9082708,-20.001451,14.91833,-2.0673313,11.052809,-23.730438,19.595776
-11.5,27,-15.418224,9.4279575,-33.896683,3.0602334,-2.5349765,8.8851929,-19.949635,14.879682,-2.0619755,11.024174,-23.668959,19.545008
-11.4,27,-15.378177,9.4034691,-33.808636,3.0522845,-2.5283921,8.862114,-19.897818,14.841033,-2.0566196,10.99554,-23.607481,19.494242
-11.3,27,-15.338129,9.3789816,-33.720596,3.0443361,-2.5218077,8.839036,-19.846001,14.802384,-2.051264,10.966906,-23.546003,19.443476
-11.2,27,-15.298081,9.3544931,-33.632549,3.0363872,-2.5152233,8.8159571,-19.794182,14.763736,-2.0459082,10.938272,-23.484526,19.39271
-11.1,27,-15.258035,9.3300047,-33.54451,3.0284386,-2.5086389,8.7928791,-19.742365,14.725087,-2.0405524,10.909637,-23.423048,19.341944
-11,27,-15.217987,9.3055162,-33.456463,3.0204899,-2.5020547,8.7698002,-19.690548,14.686439,-2.0351965,10.881002,-23.36157,19.291178
-10.9,27,-15.177939,9.2810278,-33.36842,3.0125413,-2.4954703,8.7467222,-19.638731,14.64779,-2.0298409,10.852368,-23.300093,19.24041
-10.8,27,-15.137893,9.2565403,-33.280376,3.0045927,-2.4888859,8.7236443,-19.586914,14.609141,-2.0244851,10.823734,-23.238615,19.189644
-10.7,27,-15.097845,9.2320518,-33.192333,2.996644,-2.4823015,8.7005653,-19.535095,14.570493,-2.0191293,10.7951,-23.177137,19.138878
