temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_manuf,se_manuf,lowerci_manuf,upperci_manuf,yhat_hr3,se_hr3,lowerci_hr3,upperci_hr3
-2,27,-10.892948666469,6.840448753366889,-24.29998186116001,2.514084528222005,-1.527097098718801,8.305053663165705,-17.80470316819602,14.75050897075842,1.092691247374086,6.131384925361191,-10.92460238168565,13.10998487643383,-96.14377387835944,48.13176310759405,-190.4802960816574,-1.807251675061451
-1.9,27,-10.85538676556021,6.816860993414469,-24.2161888002685,2.505415269148081,-1.521831245398776,8.276415540247658,-17.74330762537179,14.69964513457424,1.088923345622734,6.110242213685229,-10.8869313300166,13.06477802126207,-95.8122435445635,47.96579147099911,-189.8234673176802,-1.801019771446761
-1.8,27,-10.81782486465142,6.79327323346206,-24.13239573937701,2.496746010074174,-1.516565392078752,8.247777417339478,-17.68191208256691,14.64878129840941,1.085155443871382,6.08909950199612,-10.84926027832179,13.01957116606456,-95.48071321076756,47.79981983409388,-189.1666385530949,-1.794787868440238
-1.7,27,-10.78026300851989,6.769685501585686,-24.0486027782908,2.488076761251026,-1.511299545036112,8.219139328583717,-17.62051661297692,14.59791752290469,1.081387546611719,6.06795681552604,-10.81158927156367,12.97436436478711,-95.14918327218649,47.63384839558721,-188.5098105725784,-1.788555971794551
-1.6,27,-10.74270110761109,6.746097741639751,-23.964809717412,2.479407502189812,-1.506033691716087,8.190501205653055,-17.55912107012796,14.54705368669579,1.077619644860367,6.046814103844223,-10.77391821988315,12.92915750960388,-94.81765293839055,47.46787675899228,-187.8529818086013,-1.782324068179832
-1.5,27,-10.7051392067023,6.722509981742022,-23.88101665662767,2.470738243223076,-1.500767838396063,8.161863082765374,-17.49772552736325,14.49618985057112,1.073851743109015,6.025671392149824,-10.73624716817796,12.883950654396,-94.48612260459463,47.30190512239734,-187.1961530446241,-1.776092164565171
-1.4,27,-10.6675773057935,6.698922221789605,-23.79722359573617,2.462068984149159,-1.495501985076038,8.13322495984734,-17.43632998453905,14.44532601438697,1.070083841357664,6.004528680486426,-10.69857611653354,12.83874379924887,-94.15459227079869,47.13593348593634,-186.5393242809094,-1.769860260687963
-1.3,27,-10.63001540488471,6.675334461837183,-23.71343053484465,2.453399725075231,-1.490236131756014,8.10458683693915,-17.37493444173414,14.39446217822211,1.066315939606312,5.983385968815734,-10.66090506487482,12.79353694408745,-93.82306193700275,46.96996184986454,-185.8824955179576,-1.763628356047946
-1.2,27,-10.59245354875318,6.651746730021985,-23.62963757387834,2.444730476371982,-1.484970284713374,8.075948748189305,-17.31353897215574,14.34359840272899,1.062548042346648,5.962243282327239,-10.62323405808061,12.74833014277391,-93.49153199842168,46.80399041104758,-185.225667536833,-1.757396460010398
-1.1,27,-10.55489164784439,6.628158970075927,-23.5458445129993,2.436061217310526,-1.47970443139335,8.047310625252726,-17.25214342929519,14.29273456650849,1.058780140595297,5.94110057063284,-10.58556300637543,12.70312328756602,-93.16000166462574,46.63801877441129,-184.5688387727747,-1.751164556476766
-1,27,-10.51732974693559,6.604571210117143,-23.46205145209531,2.427391958224129,-1.474438578073325,8.018672502365055,-17.1907478865305,14.24187073038385,1.055012238843945,5.919957858969447,-10.54789195473102,12.65791643241891,-92.8284713308298,46.47204713785771,-183.9120100088786,-1.744932652781017
