temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,tmax_rcspl_3kn_t0,tmax_rcspl_3kn_t1,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-14.2,27,-16.499502,10.089139,-36.273849,3.274847,-14.2,0,-2.712754,9.5083103,-21.3487,15.923191,-132.91978,65.842369,-261.96844,-3.8711011,-130.20703,66.518875,-260.58163,.16757958
-14.1,27,-16.459455,10.064651,-36.185806,3.2668984,-14.1,0,-2.7061696,9.4852314,-21.296883,15.884543,-132.59717,65.682564,-261.33261,-3.8617053,-129.89099,66.35743,-259.94916,.16717283
-14,27,-16.419407,10.040163,-36.097763,3.2589498,-14,0,-2.6995852,9.4621534,-21.245066,15.845895,-132.27454,65.522751,-260.69678,-3.8523095,-129.57495,66.195969,-259.31668,.16676608
-13.9,27,-16.37936,10.015675,-36.00972,3.2510011,-13.9,0,-2.6930008,9.4390745,-21.193247,15.807246,-131.95192,65.362938,-260.06091,-3.8429136,-129.25891,66.034515,-258.6842,.16635934
-13.8,27,-16.339314,9.9911861,-35.921677,3.2430525,-13.8,0,-2.6864166,9.4159966,-21.14143,15.768598,-131.6293,65.203125,-259.42508,-3.8335178,-128.94289,65.873062,-258.05173,.16595259
-13.7,27,-16.299265,9.9666977,-35.833633,3.2351038,-13.7,0,-2.6798322,9.3929176,-21.089613,15.729949,-131.30667,65.043312,-258.78925,-3.824122,-128.62685,65.711609,-257.41922,.16554584
-13.6,27,-16.259218,9.9422102,-35.74559,3.2271552,-13.6,0,-2.6732478,9.3698397,-21.037796,15.6913,-130.98405,64.883507,-258.15338,-3.8147261,-128.31081,65.550156,-256.78674,.16513909
-13.5,27,-16.219172,9.9177217,-35.657547,3.2192063,-13.5,0,-2.6666634,9.3467607,-20.985979,15.652652,-130.66144,64.723694,-257.51755,-3.80533,-127.99477,65.388702,-256.15427,.16473235
-13.4,27,-16.179123,9.8932333,-35.569504,3.2112577,-13.4,0,-2.660079,9.3236828,-20.934162,15.614003,-130.33881,64.563881,-256.88168,-3.7959342,-127.67873,65.227249,-255.52179,.16432559
-13.3,27,-16.139076,9.8687449,-35.481461,3.2033091,-13.3,0,-2.6534948,9.3006048,-20.882345,15.575355,-130.01619,64.404068,-256.24585,-3.7865384,-127.3627,65.065796,-254.88931,.16391885
-13.2,27,-16.099028,9.8442574,-35.393417,3.1953604,-13.2,0,-2.6469104,9.2775259,-20.830526,15.536706,-129.69357,64.244255,-255.61,-3.7771425,-127.04666,64.904343,-254.25684,.16351211
-13.1,27,-16.058981,9.8197689,-35.305374,3.1874118,-13.1,0,-2.640326,9.2544479,-20.778709,15.498058,-129.37096,64.08445,-254.97417,-3.7677467,-126.73063,64.742889,-253.62436,.16310535
-13,27,-16.018934,9.7952805,-35.217331,3.1794631,-13,0,-2.6337416,9.231369,-20.726892,15.459409,-129.04832,63.924633,-254.33832,-3.7583506,-126.41459,64.581436,-252.99188,.16269861
-12.9,27,-15.978887,9.770792,-35.129288,3.1715145,-12.9,0,-2.6271572,9.2082901,-20.675076,15.42076,-128.72571,63.76482,-253.70247,-3.7489548,-126.09855,64.419983,-252.35939,.16229187
-12.8,27,-15.938839,9.7463045,-35.041245,3.1635659,-12.8,0,-2.620573,9.1852121,-20.623259,15.382113,-128.40309,63.605011,-253.06662,-3.7395589,-125.78252,64.25853,-251.72691,.16188513
-12.7,27,-15.898792,9.7218161,-34.953201,3.1556172,-12.7,0,-2.6139886,9.1621342,-20.571442,15.343464,-128.08047,63.445198,-252.43077,-3.7301631,-125.46648,64.097076,-251.09444,.16147837
-12.6,27,-15.858745,9.6973276,-34.865158,3.1476686,-12.6,0,-2.6074042,9.1390553,-20.519625,15.304815,-127.75785,63.285389,-251.79494,-3.7207673,-125.15044,63.935623,-250.46196,.16107163
-12.5,27,-15.818697,9.6728392,-34.777115,3.13972,-12.5,0,-2.6008198,9.1159773,-20.467806,15.266167,-127.43523,63.125576,-251.15909,-3.7113714,-124.8344,63.774166,-249.82948,.16066489
-12.4,27,-15.77865,9.6483517,-34.689072,3.1317711,-12.4,0,-2.5942354,9.0928984,-20.415989,15.227518,-127.1126,62.965763,-250.52324,-3.7019753,-124.51837,63.612713,-249.19699,.16025813
-12.3,27,-15.738603,9.6238632,-34.601028,3.1238225,-12.3,0,-2.5876513,9.0698204,-20.364172,15.188869,-126.78999,62.805954,-249.88739,-3.6925795,-124.20233,63.45126,-248.56451,.15985139
-12.2,27,-15.698555,9.5993748,-34.512985,3.1158738,-12.2,0,-2.5810668,9.0467415,-20.312355,15.150221,-126.46736,62.646141,-249.25154,-3.6831837,-123.8863,63.289806,-247.93204,.15944465
-12.1,27,-15.658508,9.5748873,-34.424942,3.1079252,-12.1,0,-2.5744824,9.0236635,-20.260538,15.111572,-126.14474,62.486332,-248.61571,-3.6737878,-123.57026,63.128353,-247.29956,.1590379
-12,27,-15.618461,9.5503988,-34.336899,3.0999765,-12,0,-2.567898,9.0005846,-20.208721,15.072924,-125.82212,62.326519,-247.97986,-3.664392,-123.25423,62.9669,-246.66708,.15863115
-11.9,27,-15.578413,9.5259104,-34.248856,3.0920279,-11.9,0,-2.5613139,8.9775066,-20.156902,15.034275,-125.4995,62.166706,-247.34401,-3.6549962,-122.93819,62.805447,-246.03459,.1582244
-11.8,27,-15.538366,9.5014219,-34.160812,3.0840793,-11.8,0,-2.5547295,8.9544277,-20.105085,14.995627,-125.17688,62.006897,-246.70816,-3.6456003,-122.62215,62.643993,-245.40211,.15781766
-11.7,27,-15.498319,9.4769335,-34.072769,3.0761306,-11.7,0,-2.5481451,8.9313498,-20.053268,14.956979,-124.85426,61.847084,-246.07231,-3.6362042,-122.30611,62.48254,-244.76964,.1574109
-11.6,27,-15.458271,9.452446,-33.984726,3.068182,-11.6,0,-2.5415606,8.9082708,-20.001451,14.91833,-124.53164,61.687271,-245.43648,-3.6268084,-121.99008,62.321087,-244.13716,.15700416
-11.5,27,-15.418224,9.4279575,-33.896683,3.0602334,-11.5,0,-2.5349765,8.8851929,-19.949635,14.879682,-124.20901,61.527462,-244.80063,-3.6174126,-121.67404,62.159634,-243.50468,.15659742
-11.4,27,-15.378177,9.4034691,-33.808636,3.0522845,-11.4,0,-2.5283921,8.862114,-19.897818,14.841033,-123.8864,61.367649,-244.16478,-3.6080167,-121.358,61.998177,-242.87219,.15619066
-11.3,27,-15.338129,9.3789816,-33.720596,3.0443361,-11.3,0,-2.5218077,8.839036,-19.846001,14.802384,-123.56377,61.207836,-243.52893,-3.5986209,-121.04197,61.836723,-242.23973,.15578392
-11.2,27,-15.298081,9.3544931,-33.632549,3.0363872,-11.2,0,-2.5152233,8.8159571,-19.794182,14.763736,-123.24116,61.048023,-242.89308,-3.5892248,-120.72593,61.67527,-241.60724,.15537718
