year,cons,beta1,beta2
2257,0.0,0.3652513812306369,0.5875650263944824
2258,0.0,0.3668869281474636,0.5901960641310594
2259,0.0,0.36852978313809204,0.5928388580684255
2260,0.0,0.37017998919119166,0.5954934773607029
2261,0.0,0.3718375892954318,0.5981599911620138
2262,0.0,0.373502626439482,0.6008384686264806
2263,0.0,0.37517510062334214,0.6035289097541032
2264,0.0,0.3768550548356817,0.606231383699004
2265,0.0,0.378542618042509,0.6089460979235498
2266,0.0,0.38023766127781566,0.6116728449653738
2267,0.0,0.38194031350761,0.6144118322868428
2268,0.0,0.383650574731892,0.6171630598879568
2269,0.0,0.38536848793933115,0.619926596922838
2270,0.0,0.38709409611859685,0.6227025125456089
2271,0.0,0.388827399269689,0.6254908067562694
2272,0.0,0.39056856934728545,0.6282917561713086
2273,0.0,0.3923174773853778,0.6311051533283596
2274,0.0,0.39407420936130494,0.6339311365356671
2275,0.0,0.39583880826373624,0.6367697749473534
2276,0.0,0.39761131708134123,0.6396211377175408
2277,0.0,0.3993917788027893,0.6424852940003514
2278,0.0,0.40118019342808037,0.6453622437957853
2279,0.0,0.40297660394588397,0.6482520562579649
2280,0.0,0.40478109633353887,0.6511548696951345
2281,0.0,0.40659362760237566,0.6540706149531722
2282,0.0,0.4084142837297332,0.6569994303403223
2283,0.0,0.41024310770428096,0.6599413850107072
2284,0.0,0.4120800995260189,0.6628964789643268
2285,0.0,0.4139253451722857,0.6658648505094257
2286,0.0,0.4157788446430817,0.6688464996460041
2287,0.0,0.417640640927076,0.6718414955281838
2288,0.0,0.41951077701293815,0.6748499073100876
2289,0.0,0.42138929588933766,0.6778718041458378
2290,0.0,0.4232761975562744,0.680907186035434
2291,0.0,0.42517156799108724,0.6839561912871209
2292,0.0,0.4270754071937762,0.6870188199008986
2293,0.0,0.42898780114168017,0.6900952101850119
2294,0.0,0.4309087498347991,0.6931853621394604
2295,0.0,0.4328382532731329,0.6962892757642442
2296,0.0,0.43477648341135944,0.6994072276758524
2297,0.0,0.43672335427213976,0.7025390795660408
2298,0.0,0.43867890884414334,0.7056849005889313
2299,0.0,0.44064327609337844,0.7088448982068908
2300,0.0,0.44261641303117555,0.7120190032657971
