year,iso,adm1_id,getal_admin_name,gdppc_adm0_PWT,gdppc_adm1_PWT_downscaled,adm0_pop
1990,CHN,20100000,Sichuan w/ Chongqing,2057.0237,1964.3859669564602,1135185000
1991,CHN,20100000,Sichuan w/ Chongqing,2151.9565,2199.6865362286117,1150780000
1992,CHN,20100000,Sichuan w/ Chongqing,2324.4766,2508.118512184816,1164970000
1993,CHN,20100000,Sichuan w/ Chongqing,2543.9551,2866.6169922468357,1178440000
1994,CHN,20100000,Sichuan w/ Chongqing,2727.0481,3185.2712277981964,1191835000
1995,CHN,20100000,Sichuan w/ Chongqing,3065.0068,3690.0323671281135,1204855000
1996,CHN,20100000,Sichuan w/ Chongqing,3152.4414,3866.972458512837,1217550000
1997,CHN,20100000,Sichuan w/ Chongqing,3350.0996,4179.889337765353,1230075000
1998,CHN,20100000,Sichuan w/ Chongqing,3342.2668,4235.323634193776,1241935000
1999,CHN,20100000,Sichuan w/ Chongqing,3519.6196,4521.521602689048,1252735000
2000,CHN,20100000,Sichuan w/ Chongqing,3721.8508,4841.433562857,1262645000
2001,CHN,20100000,Sichuan w/ Chongqing,3957.9678,5235.368490071692,1271850000
2002,CHN,20100000,Sichuan w/ Chongqing,4360.1079,5847.967771345015,1280400000
2003,CHN,20100000,Sichuan w/ Chongqing,4727.0625,6414.327655296918,1288400000
2004,CHN,20100000,Sichuan w/ Chongqing,5199.8809,7122.890572303791,1296075000
2005,CHN,20100000,Sichuan w/ Chongqing,5637.0957,7786.76564357622,1303720000
2006,CHN,20100000,Sichuan w/ Chongqing,6272.9785,8595.148181753551,1311020000
2007,CHN,20100000,Sichuan w/ Chongqing,6990.625,9515.924262193676,1317885000
2008,CHN,20100000,Sichuan w/ Chongqing,7309.3281,9895.992026879063,1324655000
2009,CHN,20100000,Sichuan w/ Chongqing,7862.9229,10596.01321182,1331260000
2010,CHN,20100000,Sichuan w/ Chongqing,8483.165,11388.400634543295,1337705000
2011,CHN,20100000,Sichuan w/ Chongqing,9098.6035,12214.43189449948,1344130000
1989,CHN,20300000,Guizhou,2081.6675,1029.6074949154395,1118650000
1990,CHN,20300000,Guizhou,2057.0237,1012.0135002034715,1135185000
