region,decile,name
ARG.12.304,8,Chilecito
ARG.12.305,8,Coronel Felipe Varela
ARG.12.310,8,General Lamadrid
ARG.12.313,8,Independencia
ARG.12.317,8,Vinchina
ARG.1.25,8,Castelli
ARG.1.28,8,Chivilcoy
ARG.1.29,8,Coln
ARG.12.R3172cf0818acc5fc,8,Agglomeration
ARG.12.R7657a2dc6074f435,8,Agglomeration
ARG.12.Rb20b1b581d2782cb,8,Agglomeration
ARG.12.Rc626480f11929e00,8,Agglomeration
ARG.1.30,8,Coronel de Marina Leonardo Rosales
ARG.1.31,8,Coronel Dorrego
ARG.1.32,8,Coronel Pringles
ARG.13.318,9,Capital
ARG.13.319,8,General Alvear
ARG.13.320,9,Godoy Cruz
ARG.13.321,9,Guaymalln
ARG.13.322,9,Junn
ARG.13.323,8,La Paz
ARG.13.324,8,Las Heras
ARG.13.325,8,Lavalle
ARG.13.326,8,Lujn de Cuyo
ARG.13.327,9,Maip
ARG.13.328,8,Malarge
ARG.13.329,8,Rivadavia
ARG.13.330,8,San Carlos
ARG.13.331,8,San Martn
ARG.13.332,8,San Rafael
ARG.13.333,8,Santa Rosa
ARG.13.334,8,Tunuyn
ARG.13.335,8,Tupungato
ARG.1.34,8,Daireaux
ARG.1.35,8,Dolores
ARG.1.37,9,Escobar
ARG.1.38,9,Esteban Echeverra
ARG.1.4,9,Almirante Brown
ARG.1.40,9,Florencio Varela
ARG.1.41,8,General Alvarado
ARG.14.337,8,Caingus
ARG.14.338,8,Candelaria
ARG.14.339,9,Capital
ARG.14.340,8,Concepcin
ARG.14.341,8,Eldorado
ARG.14.342,8,General Manuel Belgrano
ARG.14.344,8,Iguaz
ARG.14.346,8,Libertador General San Martn
ARG.14.347,8,Montecarlo
ARG.14.348,8,Ober
ARG.14.349,8,San Ignacio
ARG.14.350,8,San Javier
ARG.14.351,8,San Pedro
ARG.1.45,8,General Guido
ARG.1.46,8,General Juan Madariaga
ARG.1.49,8,General Lavalle
ARG.14.R229b34c45d88aabc,8,Agglomeration
ARG.14.R54e5121922cc6fa2,8,Agglomeration
ARG.1.52,9,General Pueyrredn
ARG.1.53,9,General Rodrguez
ARG.15.353,8,Alumin
ARG.15.354,8,Aelo
ARG.15.355,8,Catn Lil
ARG.15.356,8,Chos Malal
ARG.15.357,8,Colln Cur
ARG.15.358,8,Confluencia
ARG.15.359,8,Huiliches
ARG.15.360,8,Lacar
ARG.15.362,8,Los Lagos
ARG.15.363,8,Minas
ARG.15.364,8,orqun
ARG.15.365,8,Pehuenches
ARG.15.366,8,Picn Leuf
ARG.15.368,8,Zapala
ARG.1.54,9,General San Martn
ARG.1.55,9,General Sarmiento
ARG.1.58,8,Guamin
ARG.15.R371f800a67df8213,8,Agglomeration
ARG.1.60,8,Junn
ARG.1.62,9,La Matanza
ARG.1.63,9,La Plata
ARG.16.369,8,Adolfo Alsina
ARG.16.370,8,Avellaneda
ARG.16.371,8,Bariloche
ARG.16.372,8,Conesa
ARG.16.373,8,El Cuy
ARG.16.374,8,General Roca
ARG.16.375,8,orquinco
ARG.16.376,8,Nueve de Julio
ARG.16.377,8,Pichi Mahuida
ARG.16.378,8,Pilcaniyeu
ARG.16.379,8,San Antonio
ARG.16.380,8,Valcheta
ARG.16.381,8,Veinticinco de Mayo
ARG.1.64,9,Lans
ARG.1.69,8,Lobera
ARG.1.7,9,Avellaneda
ARG.1.71,9,Lomas de Zamora
ARG.1.72,9,Lujn
ARG.1.73,8,Magdalena
ARG.17.382,8,Anta
ARG.17.383,8,Cachi
ARG.17.384,8,Cafayate
ARG.17.385,9,Capital
ARG.17.386,9,Cerrillos
ARG.17.387,8,Chicoana
ARG.17.388,8,General Gemes
ARG.17.389,8,General Jos de San Martn
ARG.17.390,8,Guachipas
ARG.17.391,8,Iruya
ARG.17.392,8,La Caldera
ARG.17.393,8,La Candelaria
ARG.17.394,8,La Poma
ARG.17.395,8,La Via
ARG.17.396,8,Los Andes
ARG.17.397,8,Metn
ARG.17.398,8,Molinos
ARG.17.399,8,Orn
ARG.1.74,8,Maip
ARG.17.400,8,Rivadavia
ARG.17.401,8,Rosario de la Frontera
ARG.17.402,8,Rosario de Lerma
ARG.17.403,8,San Carlos
ARG.17.404,8,Santa Victoria
ARG.1.75,8,Mar Chiquita
ARG.1.76,9,Marcos Paz
ARG.1.77,8,Mercedes
ARG.1.78,9,Merlo
ARG.1.79,8,Monte Hermoso
ARG.1.81,9,Moreno
ARG.1.82,9,Morn
ARG.1.84,8,Necochea
ARG.18.405,8,Albardn
ARG.18.406,8,Angaco
ARG.18.407,8,Calingasta
ARG.18.408,9,Capital
ARG.18.411,8,Iglesia
ARG.18.412,8,Jchal
ARG.18.413,9,Pocito
ARG.18.416,8,San Martn
ARG.18.418,8,Sarmiento
ARG.18.419,8,Ullum
ARG.18.420,8,Valle Frtil
ARG.18.422,8,Zonda
ARG.1.86,8,Olavarra
ARG.1.87,8,Patagones
ARG.1.89,8,Pellegrini
ARG.18.Rc1564e5857996fe7,9,Agglomeration
ARG.18.Rd79c1b5c6b9c6297,8,Agglomeration
ARG.1.9,8,Azul
ARG.1.90,8,Pergamino
ARG.1.91,8,Pila
ARG.1.92,9,Pilar
ARG.1.94,8,Pun
ARG.19.423,8,Ayacucho
ARG.19.424,8,Belgrano
ARG.19.425,8,Chacabuco
ARG.19.426,8,Coronel Pringles
ARG.19.427,8,General Pedernera
ARG.19.428,8,Gobernador Dupuy
ARG.19.429,8,Junn
ARG.19.430,8,La Capital
ARG.19.431,8,Libertador General San Martn
ARG.1.95,9,Quilmes
ARG.1.R04175599c3d46818,8,Agglomeration
ARG.1.R084bd7faeecc8d03,8,Agglomeration
ARG.1.R312bac5c91f2da21,8,Agglomeration
ARG.1.R51418060ce459e89,8,Agglomeration
ARG.1.R6000f0382252ce15,8,Agglomeration
ARG.1.R6092d69a0dd069d1,9,Agglomeration
ARG.1.R61994858163dacea,8,Agglomeration
ARG.1.R658f95be021ea8b8,8,Agglomeration
ARG.1.R7f7810e5d8a3a2aa,8,Agglomeration
ARG.1.R8405d4065a331296,9,Agglomeration
ARG.1.R8940fe4d3279c26f,9,Agglomeration
ARG.1.R8955ae8f5ff84b31,8,Agglomeration
ARG.1.Rac59d1ebf79afd25,8,Agglomeration
ARG.1.Race0fd6ccecef4f0,8,Agglomeration
ARG.1.Rb3f795930621312a,8,Agglomeration
ARG.1.Rc4b16d73e1da6d85,8,Agglomeration
ARG.1.Rcf80ad3a103c7b1e,8,Agglomeration
ARG.20.432,8,Corpen Aike
ARG.20.433,8,Deseado
ARG.20.434,8,Ger Aike
ARG.20.435,8,Lago Argentino
ARG.20.436,8,Lago Buenos Aires
ARG.20.437,8,Magallanes
ARG.20.438,8,Ri Chico
ARG.2.129,8,Ambato
ARG.2.131,8,Andalgal
ARG.2.132,8,Antofagasta de la Sierra
ARG.2.133,8,Beln
ARG.2.134,8,Capayn
ARG.2.135,9,Capital
ARG.2.138,8,La Paz
ARG.2.139,8,Pacln
ARG.2.140,8,Pomn
ARG.2.141,8,Santa Mara
ARG.2.142,8,Santa Rosa
ARG.2.143,8,Tinogasta
ARG.21.440,8,Caseros
ARG.21.441,8,Castellanos
ARG.21.442,8,Constitucin
ARG.21.443,8,Garay
ARG.21.444,8,General Lpez
ARG.21.445,8,General Obligado
ARG.21.447,9,La Capital
ARG.21.448,8,Las Colonias
ARG.21.449,8,Nueve de Julio
ARG.21.450,9,Rosario
ARG.21.451,8,San Cristbal
ARG.21.452,8,San Javier
ARG.21.453,8,San Jernimo
ARG.21.454,8,San Justo
ARG.21.455,9,San Lorenzo
ARG.21.456,8,San Martn
ARG.21.457,8,Vera
ARG.21.R3f8ed072f5703775,8,Agglomeration
ARG.22.458,8,Aguirre
ARG.22.459,8,Alberdi
ARG.22.462,8,Banda
ARG.22.463,8,Belgrano
ARG.22.464,8,Capital
ARG.22.466,8,Copo
ARG.22.468,8,General Taboada
ARG.22.469,8,Guasayn
ARG.22.473,8,Mitre
ARG.22.475,8,Ojo de Agua
ARG.22.478,8,Ri Hondo
ARG.22.479,8,Rivadavia
ARG.22.480,8,Robles
ARG.22.R0a74bce48a3dfd72,8,Agglomeration
ARG.22.R97babc6ca96bb481,8,Agglomeration
ARG.22.Ra92aae7b482181cb,8,Agglomeration
ARG.22.Rc51369f5ae3844b1,8,Agglomeration
ARG.23.485,8,Ri Grande
ARG.23.486,8,Ushuaia
ARG.24.487,8,Burruyac
ARG.24.488,9,Capital
ARG.24.489,8,Chicligasta
ARG.24.490,9,Cruz Alta
ARG.24.491,8,Famaill
ARG.24.492,8,Graneros
ARG.24.493,8,Juan B. Alberdi
ARG.24.494,8,La Cocha
ARG.24.495,8,Leales
ARG.24.496,9,Lules
ARG.24.497,8,Monteros
ARG.24.498,8,Ri Chico
ARG.24.499,8,Simoca
ARG.24.500,8,Taf del Valle
ARG.24.501,8,Taf Viejo
ARG.24.502,8,Trancas
ARG.24.503,9,Yerba Buena
ARG.2.Raf70c3f177ebd0b7,8,Agglomeration
ARG.2.Rbae049cd4432fa91,8,Agglomeration
ARG.3.145,8,Almirante Brown
ARG.3.147,8,Chacabuco
ARG.3.148,8,Comandante Fernndez
ARG.3.153,8,General Gemes
ARG.3.156,8,Libertador General San Martn
ARG.3.161,8,Presidencia de la Plaza
ARG.3.163,8,Quitilipi
ARG.3.164,8,San Fernando
ARG.3.166,8,Sargento Cabral
ARG.3.167,8,Tapenag
ARG.3.R6edc5fe271c73e92,8,Agglomeration
ARG.3.Rc2765451418f621a,8,Agglomeration
ARG.3.Rdd04b1a411e34911,8,Agglomeration
ARG.4.169,8,Biedma
ARG.4.170,8,Cushamen
ARG.4.171,8,Escalante
ARG.4.172,8,Florentino Ameghino
ARG.4.173,8,Futaleuf
ARG.4.174,8,Gaiman
ARG.4.175,8,Gastre
ARG.4.176,8,Languieo
ARG.4.177,8,Mrtires
ARG.4.178,8,Paso de Indios
ARG.4.179,8,Rawson
ARG.4.180,8,Ri Senguer
ARG.4.181,8,Sarmiento
ARG.4.182,8,Tehuelches
ARG.4.183,8,Telsen
ARG.5.184,9,Distrito Federal
ARG.6.186,9,Capital
ARG.6.187,9,Coln
ARG.6.188,8,Cruz del Eje
ARG.6.189,8,General Roca
ARG.6.190,8,General San Martn
ARG.6.192,8,Jurez Celman
ARG.6.193,8,Marcos Jurez
ARG.6.196,8,Presidente Roque Senz Pea
ARG.6.197,8,Punilla
ARG.6.198,8,Ri Cuarto
ARG.6.200,8,Ri Seco
ARG.6.201,8,Ri Segundo
ARG.6.203,8,San Javier
ARG.6.204,8,San Justo
ARG.6.205,8,Santa Mara
ARG.6.207,8,Tercero Arriba
ARG.6.210,8,Unin
ARG.6.R67efcb6c56501255,8,Agglomeration
ARG.6.R9521e76a8e8b354c,8,Agglomeration
ARG.6.Rc18d30b6a2e2034c,8,Agglomeration
ARG.6.Rf11bd74b522b422b,8,Agglomeration
ARG.7.212,8,Bern de Astrada
ARG.7.213,9,Capital
ARG.7.214,8,Concepcin
ARG.7.215,8,Curuz Cuati
ARG.7.217,8,Esquina
ARG.7.218,8,General Alvear
ARG.7.219,8,General Paz
ARG.7.222,8,Ituzaing
ARG.7.225,8,Mercedes
ARG.7.226,8,Monte Caseros
ARG.7.227,8,Paso de los Libres
ARG.7.229,8,San Cosme
ARG.7.231,8,San Martn
ARG.7.232,8,San Miguel
ARG.7.234,8,Santo Tom
ARG.7.235,8,Sauce
ARG.7.R19bb5bd6637fc3c0,8,Agglomeration
ARG.7.R892370554440e64f,8,Agglomeration
ARG.8.236,8,Coln
ARG.8.237,8,Concordia
ARG.8.238,8,Diamante
ARG.8.239,8,Federacin
ARG.8.243,8,Gualeguaych
ARG.8.244,9,Isla
ARG.8.245,8,Islas del Ibicuy
ARG.8.246,8,La Paz
ARG.8.248,8,Paran
ARG.8.250,8,Uruguay
ARG.8.252,8,Villaguay
ARG.8.R206332e1b86838b2,8,Agglomeration
ARG.8.Rf11743ec788437a6,8,Agglomeration
ARG.9.253,8,Bermejo
ARG.9.254,8,Formosa
ARG.9.255,8,Laishi
ARG.9.257,8,Patio
ARG.9.258,8,Pilags
ARG.9.259,8,Pilcomayo
ARG.9.260,8,Piran
ARG.9.R3c073c537b06fb6c,8,Agglomeration
ARM.1,5,Aragatsotn
ARM.2,5,Ararat
ARM.3,5,Armavir
ARM.4,5,Erevan
ARM.7,5,Lake Sevan
ARM.9,5,Shirak
ARM.R9034af01e05bc415,5,Agglomeration
ARM.Rc3c89548eb84c7c9,5,Agglomeration
ASM.Ra9b78739fcd43737,6,Agglomeration
ATA,6,Antarctica
ATF.R3ad2a7b0834665e6,6,Agglomeration
ATG.Rf556856bf414a509,6,Agglomeration
AUS.10.1047,10,Alpine- West
AUS.10.1048,10,Alpine - East
AUS.10.1049,10,Ararat
AUS.10.1050,10,Ballarat - North
AUS.10.1051,10,Ballarat  - Central
AUS.10.1052,10,Ballarat  - Inner North
AUS.10.1053,10,Ballarat  - South
AUS.10.1056,10,Bass Coast  - Phillip Is.
AUS.10.1057,10,Bass Coast  Bal
AUS.10.1058,10,Baw Baw - Pt B East
AUS.10.1059,10,Baw Baw  - Pt A
AUS.10.1060,10,Baw Baw  - Pt B West
AUS.10.1062,10,Bayside  - South
AUS.10.1063,10,Bellarine - Inner
AUS.10.1064,10,Benalla - Benalla
AUS.10.1065,10,Benalla  Bal
AUS.10.1070,10,Brimbank - Sunshine
AUS.10.1071,10,Brimbank  - Keilor
AUS.10.1072,10,Buloke  - North
AUS.10.1073,10,Buloke  - South
AUS.10.1074,10,C. Goldfields  - M'borough
AUS.10.1075,10,C. Goldfields Bal
AUS.10.1076,10,Campaspe - Echuca
AUS.10.1077,10,Campaspe - Kyabram
AUS.10.1078,10,Campaspe - Rochester
AUS.10.1079,10,Campaspe - South
AUS.10.1080,10,Cardinia - North
AUS.10.1081,10,Cardinia - Pakenham
AUS.10.1082,10,Cardinia  - South
AUS.10.1083,10,Casey - Berwick
AUS.10.1084,10,Casey - Cranbourne
AUS.10.1085,10,Casey - Hallam
AUS.10.1086,10,Casey - South
AUS.10.1087,10,Colac-Otway - Colac
AUS.10.1088,10,Colac-Otway - North
AUS.10.1089,10,Colac-Otway - South
AUS.10.1090,10,Corangamite - North
AUS.10.1091,10,Corangamite - South
AUS.10.1092,10,Corio - Inner
AUS.10.1094,10,Darebin - Preston
AUS.10.1095,10,E. Gippsland - Bairnsdale
AUS.10.1096,10,E. Gippsland - Orbost
AUS.10.1097,10,E. Gippsland - South-West
AUS.10.1098,10,E. Gippsland Bal
AUS.10.1099,10,Falls Creek Alpine Resort
AUS.10.1100,10,Frankston - East
AUS.10.1102,10,French Island
AUS.10.1103,10,Gannawarra
AUS.10.1105,10,Geelong
AUS.10.1108,10,Glenelg - Heywood
AUS.10.1109,10,Glenelg - North
AUS.10.1110,10,Glenelg - Portland
AUS.10.1111,10,Golden Plains - North-West
AUS.10.1112,10,Golden Plains - South-East
AUS.10.1113,10,Gr. Bendigo - Central
AUS.10.1114,10,Gr. Bendigo - Eaglehawk
AUS.10.1115,10,Gr. Bendigo - Inner East
AUS.10.1118,10,Gr. Bendigo - Pt B
AUS.10.1119,10,Gr. Bendigo - S'saye
AUS.10.1120,10,Gr. Dandenong - Dandenong
AUS.10.1121,10,Gr. Dandenong Bal
AUS.10.1122,10,Gr. Shepparton - Pt A
