variable,batch,rcp,gcm,model,year,ssp,global_damages_constant_model_collapsed,anomaly
damages,batch7,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-25.848583168488933,0.429280936717987
damages,batch8,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-26.989361200055196,0.429280936717987
damages,batch8,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-25.992646960492902,0.429280936717987
damages,batch9,rcp45,ACCESS1-0,IIASA GDP,2021,SSP3,-27.062383565847448,0.429280936717987
damages,batch9,rcp45,ACCESS1-0,OECD Env-Growth,2021,SSP3,-26.072464255011564,0.429280936717987
damages,batch0,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.01879295917501,0.4569970369338989
damages,batch0,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.05930544804127,0.4569970369338989
damages,batch1,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.003901866673026,0.4569970369338989
damages,batch1,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.0143750614497,0.4569970369338989
damages,batch10,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.503917794093226,0.4569970369338989
damages,batch10,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.53639071440547,0.4569970369338989
damages,batch11,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.518516444158315,0.4569970369338989
damages,batch11,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.495078795098664,0.4569970369338989
damages,batch12,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.52675102274646,0.4569970369338989
damages,batch12,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.545502264871224,0.4569970369338989
damages,batch13,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.375846164046585,0.4569970369338989
damages,batch13,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.33414981857282,0.4569970369338989
damages,batch14,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.45656658495536,0.4569970369338989
damages,batch14,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.48986080643588,0.4569970369338989
damages,batch2,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.74435029421398,0.4569970369338989
damages,batch2,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.77470849841672,0.4569970369338989
damages,batch3,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.34300302140628,0.4569970369338989
damages,batch3,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.38915455959649,0.4569970369338989
damages,batch4,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.17186908589405,0.4569970369338989
damages,batch4,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.17781713993807,0.4569970369338989
damages,batch5,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.416451098367254,0.4569970369338989
damages,batch5,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.36224523099842,0.4569970369338989
damages,batch6,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-32.946497321297464,0.4569970369338989
damages,batch6,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-32.92125158429961,0.4569970369338989
damages,batch7,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-32.989219067808364,0.4569970369338989
damages,batch7,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.00755766974585,0.4569970369338989
damages,batch8,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.22779579846079,0.4569970369338989
damages,batch8,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.207921452633485,0.4569970369338989
damages,batch9,rcp45,ACCESS1-0,IIASA GDP,2022,SSP3,-33.22340129617135,0.4569970369338989
damages,batch9,rcp45,ACCESS1-0,OECD Env-Growth,2022,SSP3,-33.23023883452955,0.4569970369338989
