temp,tercile,ref,lrt_eval,yhat,se,lower_ci,upper_ci
45.7,2,27,26.4862174987793,-4.6125336,47.222378,-97.166695,87.941628
45.8,2,27,26.4862174987793,-4.6820197,47.563419,-97.90461,88.540573
45.9,2,27,26.4862174987793,-4.7515044,47.904499,-98.642601,89.139587
46,2,27,26.4862174987793,-4.8209929,48.245609,-99.380646,89.738663
46.1,2,27,26.4862174987793,-4.8904815,48.58675,-100.11876,90.337799
46.2,2,27,26.4862174987793,-4.9599667,48.927917,-100.85693,90.936989
46.3,2,27,26.4862174987793,-5.0294528,49.269112,-101.59514,91.536232
46.4,2,27,26.4862174987793,-5.0989375,49.61034,-102.33342,92.135544
46.5,2,27,26.4862174987793,-5.168426,49.951595,-103.07175,92.734901
46.6,2,27,26.4862174987793,-5.2379146,50.292877,-103.81014,93.334312
46.7,2,27,26.4862174987793,-5.3073997,50.634186,-104.54858,93.933777
46.8,2,27,26.4862174987793,-5.3768859,50.975517,-105.28706,94.533287
46.9,2,27,26.4862174987793,-5.4463706,51.316875,-106.0256,95.132858
47,2,27,26.4862174987793,-5.5158591,51.65826,-106.76419,95.732475
-20,3,27,31.24262809753418,-198.70486,58.531837,-313.42517,-83.984573
-19.9,3,27,31.24262809753418,-198.28209,58.407303,-312.7583,-83.805878
-19.8,3,27,31.24262809753418,-197.85931,58.282768,-312.09143,-83.62719
-19.7,3,27,31.24262809753418,-197.43654,58.158234,-311.42459,-83.448502
-19.6,3,27,31.24262809753418,-197.01376,58.033695,-310.75772,-83.269806
-19.5,3,27,31.24262809753418,-196.59099,57.909161,-310.09085,-83.091118
-19.4,3,27,31.24262809753418,-196.16821,57.784622,-309.42398,-82.912422
-19.3,3,27,31.24262809753418,-195.74542,57.660088,-308.75711,-82.733734
-19.2,3,27,31.24262809753418,-195.32266,57.535553,-308.09027,-82.555046
-19.1,3,27,31.24262809753418,-194.89989,57.411018,-307.4234,-82.376358
-19,3,27,31.24262809753418,-194.4771,57.28648,-306.75653,-82.197662
-18.9,3,27,31.24262809753418,-194.05432,57.161945,-306.08969,-82.018974
-18.8,3,27,31.24262809753418,-193.63155,57.037407,-305.42282,-81.840279
-18.7,3,27,31.24262809753418,-193.20877,56.912872,-304.75595,-81.661591
-18.6,3,27,31.24262809753418,-192.786,56.788338,-304.08911,-81.482903
-18.5,3,27,31.24262809753418,-192.36322,56.663803,-303.42224,-81.304214
-18.4,3,27,31.24262809753418,-191.94044,56.539265,-302.75537,-81.125519
