year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
2159,"ss","value",0,.0465122,.1809297,0,11,"SSP3",4.507e+14,1.307441
2160,"ss","value",0,.0467205,.1817398,0,11,"SSP3",4.527e+14,1.313295
2161,"ss","value",0,.0469297,.1825536,0,11,"SSP3",4.547e+14,1.319176
2162,"ss","value",0,.0471399,.1833711,0,11,"SSP3",4.568e+14,1.325083
2163,"ss","value",0,.047351,.1841922,0,11,"SSP3",4.588e+14,1.331016
2164,"ss","value",0,.047563,.185017,0,11,"SSP3",4.609e+14,1.336977
2165,"ss","value",0,.047776,.1858455,0,11,"SSP3",4.629e+14,1.342963
2166,"ss","value",0,.0479899,.1866776,0,11,"SSP3",4.650e+14,1.348977
2167,"ss","value",0,.0482048,.1875136,0,11,"SSP3",4.671e+14,1.355018
2168,"ss","value",0,.0484207,.1883533,0,11,"SSP3",4.692e+14,1.361085
2169,"ss","value",0,.0486375,.1891967,0,11,"SSP3",4.713e+14,1.36718
2170,"ss","value",0,.0488553,.1900438,0,11,"SSP3",4.734e+14,1.373302
2171,"ss","value",0,.049074,.1908948,0,11,"SSP3",4.755e+14,1.379451
2172,"ss","value",0,.0492938,.1917496,0,11,"SSP3",4.776e+14,1.385628
2173,"ss","value",0,.0495145,.1926082,0,11,"SSP3",4.798e+14,1.391833
2174,"ss","value",0,.0497362,.1934707,0,11,"SSP3",4.819e+14,1.398065
2175,"ss","value",0,.0499589,.1943371,0,11,"SSP3",4.841e+14,1.404326
2176,"ss","value",0,.0501826,.1952073,0,11,"SSP3",4.863e+14,1.410614
2177,"ss","value",0,.0504073,.1960814,0,11,"SSP3",4.884e+14,1.41693
2178,"ss","value",0,.0506331,.1969594,0,11,"SSP3",4.906e+14,1.423275
2179,"ss","value",0,.0508598,.1978413,0,11,"SSP3",4.928e+14,1.429649
2180,"ss","value",0,.0510875,.1987273,0,11,"SSP3",4.950e+14,1.43605
2181,"ss","value",0,.0513163,.1996171,0,11,"SSP3",4.972e+14,1.442481
2182,"ss","value",0,.0515461,.200511,0,11,"SSP3",4.995e+14,1.44894
2183,"ss","value",0,.0517769,.2014088,0,11,"SSP3",5.017e+14,1.455428
2184,"ss","value",0,.0520088,.2023107,0,11,"SSP3",5.040e+14,1.461945
2185,"ss","value",0,.0522416,.2032166,0,11,"SSP3",5.062e+14,1.468492
2186,"ss","value",0,.0524756,.2041266,0,11,"SSP3",5.085e+14,1.475067
2187,"ss","value",0,.0527105,.2050407,0,11,"SSP3",5.108e+14,1.481673
2188,"ss","value",0,.0529466,.2059588,0,11,"SSP3",5.130e+14,1.488307
2189,"ss","value",0,.0531837,.2068811,0,11,"SSP3",5.153e+14,1.494972
2190,"ss","value",0,.0534218,.2078075,0,11,"SSP3",5.176e+14,1.501666
2191,"ss","value",0,.053661,.208738,0,11,"SSP3",5.200e+14,1.50839
2192,"ss","value",0,.0539013,.2096727,0,11,"SSP3",5.223e+14,1.515145
2193,"ss","value",0,.0541427,.2106116,0,11,"SSP3",5.246e+14,1.521929
2194,"ss","value",0,.0543851,.2115546,0,11,"SSP3",5.270e+14,1.528744
2195,"ss","value",0,.0546286,.212502,0,11,"SSP3",5.293e+14,1.53559
2196,"ss","value",0,.0548733,.2134535,0,11,"SSP3",5.317e+14,1.542466
2197,"ss","value",0,.055119,.2144093,0,11,"SSP3",5.341e+14,1.549373
2198,"ss","value",0,.0553658,.2153694,0,11,"SSP3",5.365e+14,1.556311
2199,"ss","value",0,.0556137,.2163338,0,11,"SSP3",5.389e+14,1.56328
2200,"ss","value",0,.0558627,.2173025,0,11,"SSP3",5.413e+14,1.570279
2201,"ss","value",0,.0561129,.2182756,0,11,"SSP3",5.437e+14,1.577311
2202,"ss","value",0,.0563642,.219253,0,11,"SSP3",5.462e+14,1.584374
