hierid,ISO,diff,d_h,d_l,gdp,pop,gdppc,wage,diff_dis,h_dis,l_dis,diff_dis_p,h_dis_p,l_dis_p,pop_w,diff_dis_p_pw
AFG.30.R922e0ff47dc73fe9,AFG,-2462.00140948845,-2780.48737192455,-318.485962436098,351124220,252548.38,1390.3246,0.00926883066666667,45.6397483312862,51.5437332423473,5.90398491106111,3.2826685459846,3.7073164958994,0.424647949914797,3.64760570976873e-05,0.000119738805316116
AFG.31.R2cddadc8171d5232,AFG,-4313.8304290669,-4648.88076706803,-335.050338001131,455302700,327842.03,1388.7869,0.00925857933333333,79.8798825161265,86.0840627862137,6.20418027008724,5.75177390542253,6.19850768942404,0.446733784001508,4.73508664173641e-05,0.000272351477858543
AFG.31.R7533cfa7af80b230,AFG,-3701.07545012986,-3986.30589253343,-285.23044240357,370884060,266335.56,1392.5443,0.00928362866666667,68.7188202926435,74.0147673160511,5.29594702340759,4.93476726683981,5.3150745233779,0.380307256538093,3.8467366505002e-05,0.000189827501070414
AFG.32,AFG,-2522.58977370302,-2758.21469218362,-235.624918480599,548972740,395004.72,1389.7878,0.009265252,46.744859891963,51.1111083863674,4.36624849440441,3.36345303160403,3.67761958957816,0.314166557974132,5.70513052610987e-05,0.00019188938563741
AFG.4.43,AFG,-3147.84103909357,-3627.25398985239,-479.412950758817,859543740,427082.25,2012.5953,0.013417302,84.4710677390245,97.3359244251088,12.8648566860844,4.19712138545809,4.83633865313652,0.639217267678423,6.16843257375428e-05,0.000258896602700604
AFG.4.R441976f1984e9d4c,AFG,-3116.81562451205,-3564.96823518031,-448.152610668263,1008806500,722753.2,1395.7828,0.00930521866666666,58.0053018595357,66.3456179361471,8.34031607661144,4.15575416601606,4.75329098024041,0.597536814224351,0.000104388660068761,0.000433813608965586
AFG.4.Rba8a6cb92a71a1fe,AFG,-3408.95484844843,-3986.62893400481,-577.674085556385,460533660,323549.28,1423.3802,0.00948920133333333,64.69651778634,75.6598491921275,10.9633314057875,4.54527313126457,5.31550524533975,0.77023211407518,4.67308561282222e-05,0.000212404504760599
AFG.5,AFG,-4316.10548847677,-4651.3497113539,-335.24422287713,576981600,415445.53,1388.8262,0.00925884133333333,79.9242717914711,86.1322179265431,6.20794613507197,5.75480731796902,6.20179961513853,0.446992297169507,6.00036114793488e-05,0.000345309222445926
AFG.6.R97eede2b941f822e,AFG,-3787.12062610491,-4574.40152196376,-787.280895858846,243688400,174917.2,1393.1643,0.009287762,70.3477500811068,84.9719052568743,14.6241551757675,5.04949416813988,6.09920202928501,1.04970786114513,2.5263633742444e-05,0.000127568571248493
AFG.6.Re2476cb25c1b5dba,AFG,-3335.79381353419,-3935.54402936735,-599.750215833161,538917500,388095.88,1388.6195,0.00925746333333333,61.7619778327059,72.8663090971744,11.1043312644685,4.44772508471226,5.24739203915647,0.799666954444215,5.60534479700768e-05,0.000249310326621124
