year,minT,maxT,rcp,batch,gcm,iam,value,weight,temp
2010,0,.2,rcp45,batch1,CCSM4,high,-.00089821184,.026699999,.13035297
2010,0,.2,rcp45,batch7,CCSM4,low,-.022084755,.026699999,.13035297
2010,0,.2,rcp45,batch13,CCSM4,low,-.10051851,.026699999,.13035297
2010,0,.2,rcp85,batch0,CCSM4,high,.019068432,.0229,.1499218
2010,0,.2,rcp85,batch13,CCSM4,low,-.007665748,.0229,.1499218
2010,0,.2,rcp85,batch4,CCSM4,low,-.0076425103,.0229,.1499218
2010,0,.2,rcp85,batch7,CCSM4,high,-.015587576,.0229,.1499218
2010,0,.2,rcp85,batch12,CCSM4,high,-.031929057,.0229,.1499218
2010,0,.2,rcp85,batch9,CCSM4,high,-.042506117,.0229,.1499218
2010,0,.2,rcp85,batch3,CCSM4,low,.050420457,.0229,.1499218
2010,0,.2,rcp85,batch8,CCSM4,low,-.008065973,.0229,.1499218
2010,0,.2,rcp85,batch6,CCSM4,high,.0021264727,.0229,.1499218
2010,0,.2,rcp85,batch1,CCSM4,low,.012474291,.0229,.1499218
2010,0,.2,rcp85,batch8,CCSM4,high,-.020551334,.0229,.1499218
2010,0,.2,rcp85,batch4,CCSM4,high,.023987532,.0229,.1499218
2010,0,.2,rcp85,batch2,CCSM4,low,-.047640977,.0229,.1499218
2010,0,.2,rcp85,batch1,CCSM4,high,.027164406,.0229,.1499218
2010,0,.2,rcp85,batch13,CCSM4,high,.039405437,.0229,.1499218
2010,0,.2,rcp85,batch7,CCSM4,low,-.0358195,.0229,.1499218
2010,0,.2,rcp85,batch11,CCSM4,high,-.06370149,.0229,.1499218
2010,0,.2,rcp85,batch9,CCSM4,low,-.036939493,.0229,.1499218
2010,0,.2,rcp85,batch0,CCSM4,low,-.04678585,.0229,.1499218
2010,0,.2,rcp85,batch11,CCSM4,low,.021288923,.0229,.1499218
2010,0,.2,rcp85,batch5,CCSM4,low,.004822295,.0229,.1499218
2010,0,.2,rcp85,batch14,CCSM4,low,-.0642651,.0229,.1499218
2010,0,.2,rcp85,batch6,CCSM4,low,.017507836,.0229,.1499218
2010,0,.2,rcp85,batch2,CCSM4,high,.045722087,.0229,.1499218
2010,0,.2,rcp85,batch14,CCSM4,high,.03209928,.0229,.1499218
2010,0,.2,rcp85,batch10,CCSM4,high,.0374026,.0229,.1499218
2010,0,.2,rcp85,batch10,CCSM4,low,-.04035901,.0229,.1499218
2010,0,.2,rcp85,batch12,CCSM4,low,.030174527,.0229,.1499218
2010,0,.2,rcp85,batch3,CCSM4,high,.019629281,.0229,.1499218
2010,0,.2,rcp85,batch5,CCSM4,high,.063077794,.0229,.1499218
2010,0,.2,rcp45,batch2,CESM1-BGC,high,.07055306,.090000004,.107155
2010,0,.2,rcp45,batch11,CESM1-BGC,low,.01800351,.090000004,.107155
2010,0,.2,rcp45,batch10,CESM1-BGC,low,.04125419,.090000004,.107155
2010,0,.2,rcp45,batch9,CESM1-BGC,low,.06968763,.090000004,.107155
2010,0,.2,rcp45,batch3,CESM1-BGC,high,.068138242,.090000004,.107155
2010,0,.2,rcp45,batch6,CESM1-BGC,low,.039379493,.090000004,.107155
2010,0,.2,rcp45,batch13,CESM1-BGC,low,.014305575,.090000004,.107155
2010,0,.2,rcp45,batch14,CESM1-BGC,high,.027123704,.090000004,.107155
2010,0,.2,rcp45,batch4,CESM1-BGC,high,.04051517,.090000004,.107155
2010,0,.2,rcp45,batch4,CESM1-BGC,low,.021435296,.090000004,.107155
2010,0,.2,rcp45,batch1,CESM1-BGC,high,-.004085334,.090000004,.107155
2010,0,.2,rcp45,batch9,CESM1-BGC,high,.03111487,.090000004,.107155
2010,0,.2,rcp45,batch2,CESM1-BGC,low,.031872244,.090000004,.107155
2010,0,.2,rcp45,batch7,CESM1-BGC,low,.10749597,.090000004,.107155
2010,0,.2,rcp45,batch12,CESM1-BGC,high,.064808325,.090000004,.107155
2010,0,.2,rcp45,batch5,CESM1-BGC,low,.06933998,.090000004,.107155
2010,0,.2,rcp45,batch11,CESM1-BGC,high,.037591327,.090000004,.107155
2010,0,.2,rcp45,batch0,CESM1-BGC,low,.05225635,.090000004,.107155
2010,0,.2,rcp45,batch0,CESM1-BGC,high,.02573366,.090000004,.107155
2010,0,.2,rcp45,batch14,CESM1-BGC,low,.07544766,.090000004,.107155
2010,0,.2,rcp45,batch8,CESM1-BGC,high,.056985207,.090000004,.107155
2010,0,.2,rcp45,batch1,CESM1-BGC,low,.10522585,.090000004,.107155
2010,0,.2,rcp45,batch7,CESM1-BGC,high,.0041164554,.090000004,.107155
2010,0,.2,rcp45,batch13,CESM1-BGC,high,.0477058,.090000004,.107155
2010,0,.2,rcp45,batch12,CESM1-BGC,low,.022336975,.090000004,.107155
2010,0,.2,rcp45,batch5,CESM1-BGC,high,-.04974495,.090000004,.107155
2010,0,.2,rcp45,batch3,CESM1-BGC,low,.009256983,.090000004,.107155
2010,0,.2,rcp45,batch10,CESM1-BGC,high,.004372469,.090000004,.107155
2010,0,.2,rcp45,batch8,CESM1-BGC,low,.024689138,.090000004,.107155
2010,0,.2,rcp45,batch6,CESM1-BGC,high,-.03410717,.090000004,.107155
2010,0,.2,rcp85,batch10,CESM1-BGC,low,.10275568,.0229,.13164324
2010,0,.2,rcp85,batch11,CESM1-BGC,high,.010182179,.0229,.13164324
2010,0,.2,rcp85,batch4,CESM1-BGC,low,.019247546,.0229,.13164324
2010,0,.2,rcp85,batch10,CESM1-BGC,high,.06947651,.0229,.13164324
2010,0,.2,rcp85,batch8,CESM1-BGC,low,.033646987,.0229,.13164324
2010,0,.2,rcp85,batch12,CESM1-BGC,low,.05999072,.0229,.13164324
2010,0,.2,rcp85,batch14,CESM1-BGC,low,.1208646,.0229,.13164324
2010,0,.2,rcp85,batch2,CESM1-BGC,high,.03421441,.0229,.13164324
2010,0,.2,rcp85,batch5,CESM1-BGC,low,-.0006775726,.0229,.13164324
2010,0,.2,rcp85,batch4,CESM1-BGC,high,.019927734,.0229,.13164324
2010,0,.2,rcp85,batch0,CESM1-BGC,high,.0059148093,.0229,.13164324
2010,0,.2,rcp85,batch3,CESM1-BGC,high,.014468133,.0229,.13164324
2010,0,.2,rcp85,batch13,CESM1-BGC,high,-.045957063,.0229,.13164324
2010,0,.2,rcp85,batch7,CESM1-BGC,high,.032378442,.0229,.13164324
2010,0,.2,rcp85,batch6,CESM1-BGC,low,.038943932,.0229,.13164324
2010,0,.2,rcp85,batch14,CESM1-BGC,high,.033852035,.0229,.13164324
2010,0,.2,rcp85,batch9,CESM1-BGC,high,.010103472,.0229,.13164324
2010,0,.2,rcp85,batch12,CESM1-BGC,high,-.010742229,.0229,.13164324
