year,fair_temperatures_anomaly_pulse,fair_temperatures_anomaly_rcp,rcp
2150,4.9649401,4.9640145,rcp85
2151,4.9928894,4.9919667,rcp85
2152,5.0235224,5.022603,rcp85
2153,5.0583868,5.0574708,rcp85
2154,5.095355,5.0944419,rcp85
2155,5.1300797,5.1291699,rcp85
2156,5.1625323,5.1616254,rcp85
2157,5.1916838,5.1907797,rcp85
2158,5.2171936,5.2162929,rcp85
2159,5.2404575,5.2395597,rcp85
2160,5.2631292,5.2622342,rcp85
2161,5.2868786,5.2859864,rcp85
2162,5.3136106,5.3127213,rcp85
2163,5.3450503,5.3441639,rcp85
2164,5.3798223,5.3789387,rcp85
2165,5.4109302,5.410049,rcp85
2166,5.4413142,5.4404359,rcp85
2167,5.4659581,5.4650822,rcp85
2168,5.4873872,5.4865141,rcp85
2169,5.5072308,5.5063601,rcp85
2170,5.5268087,5.5259409,rcp85
2171,5.5470881,5.5462227,rcp85
2172,5.5695519,5.5686889,rcp85
2173,5.5964284,5.5955682,rcp85
2174,5.6248989,5.6240406,rcp85
2175,5.6542077,5.6533518,rcp85
2176,5.682147,5.681294,rcp85
2177,5.706635,5.7057838,rcp85
2178,5.7275548,5.7267056,rcp85
2179,5.7468481,5.7460012,rcp85
2180,5.7646813,5.7638364,rcp85
2181,5.7821922,5.7813501,rcp85
2182,5.7995191,5.7986789,rcp85
2183,5.8173313,5.8164935,rcp85
2184,5.8364029,5.8355665,rcp85
2185,5.8577623,5.8569283,rcp85
2186,5.8833761,5.882544,rcp85
2187,5.9084487,5.9076185,rcp85
2188,5.9336863,5.932858,rcp85
2189,5.9586191,5.9577928,rcp85
2190,5.9793077,5.9784832,rcp85
2191,5.9970541,5.9962316,rcp85
2192,6.0134687,6.0126476,rcp85
2193,6.0299611,6.0291419,rcp85
2194,6.0468025,6.0459852,rcp85
2195,6.0652337,6.0644183,rcp85
2196,6.0876713,6.0868573,rcp85
2197,6.1133394,6.1125274,rcp85
2198,6.1396537,6.1388431,rcp85
2199,6.1630244,6.1622157,rcp85
2200,6.1831803,6.182373,rcp85
2201,6.1993575,6.1985517,rcp85
2202,6.2144513,6.2136464,rcp85
2203,6.228991,6.228188,rcp85
2204,6.2423053,6.2415037,rcp85
2205,6.2558131,6.255013,rcp85
2206,6.2692847,6.268486,rcp85
2207,6.2843266,6.2835293,rcp85
2208,6.3021755,6.3013792,rcp85
2209,6.3223929,6.3215976,rcp85
2210,6.3437057,6.3429117,rcp85
2211,6.3637023,6.3629093,rcp85
2212,6.3824835,6.3816919,rcp85
2213,6.3984861,6.397696,rcp85
2214,6.4131737,6.4123845,rcp85
2215,6.4249296,6.4241414,rcp85
2216,6.4357271,6.4349399,rcp85
2217,6.4473481,6.4465618,rcp85
2218,6.4600258,6.4592404,rcp85
2219,6.4755454,6.4747605,rcp85
2220,6.4945173,6.4937334,rcp85
2221,6.5151343,6.5143514,rcp85
2222,6.5382471,6.5374651,rcp85
2223,6.5575004,6.5567193,rcp85
2224,6.5724802,6.5716996,rcp85
2225,6.5845737,6.5837936,rcp85
2226,6.5938125,6.5930333,rcp85
2227,6.6032228,6.6024442,rcp85
2228,6.6122146,6.6114364,rcp85
2229,6.6235561,6.6227789,rcp85
2230,6.6386099,6.6378326,rcp85
2231,6.6553707,6.6545944,rcp85
2232,6.6716838,6.6709075,rcp85
2233,6.6883597,6.6875834,rcp85
2234,6.7024069,6.7016315,rcp85
2235,6.714561,6.7137856,rcp85
2236,6.7235174,6.7227421,rcp85
2237,6.7318869,6.731112,rcp85
2238,6.7402258,6.7394509,rcp85
2239,6.7494788,6.7487044,rcp85
2240,6.7608981,6.7601233,rcp85
2241,6.7763982,6.7756238,rcp85
2242,6.794538,6.7937641,rcp85
2243,6.8113608,6.8105874,rcp85
2244,6.8262672,6.8254948,rcp85
2245,6.8373694,6.836597,rcp85
2246,6.8454995,6.8447275,rcp85
2247,6.8528695,6.852098,rcp85
2248,6.8589611,6.8581905,rcp85
2249,6.8647747,6.8640041,rcp85
2250,6.8706489,6.8698792,rcp85
2251,6.8773265,6.8765574,rcp85
2252,6.8860455,6.8852768,rcp85
2253,6.8977737,6.8970051,rcp85
2254,6.9121804,6.9114122,rcp85
2255,6.9259515,6.9251838,rcp85
2256,6.9395757,6.9388084,rcp85
2257,6.9516191,6.9508524,rcp85
2258,6.9609637,6.960197,rcp85
