temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high,no_wgt_manuf,risk_adj_sample_wgt_manuf,pop_adj_sample_wgt_manuf,no_wgt_hr3,risk_adj_sample_wgt_hr3,pop_adj_sample_wgt_hr3,no_wgt_manuf2,risk_adj_sample_wgt_manuf2,pop_adj_sample_wgt_manuf2,no_wgt_hr4,risk_adj_sample_wgt_hr4,pop_adj_sample_wgt_hr4,no_wgt_agri,risk_adj_sample_wgt_agri,pop_adj_sample_wgt_agri,no_wgt_connmine,risk_adj_sample_wgt_connmine,pop_adj_sample_wgt_connmine,no_wgt_manuft,risk_adj_sample_wgt_manuft,pop_adj_sample_wgt_manuft,no_wgt_lomaco,risk_adj_sample_wgt_lomaco,pop_adj_sample_wgt_lomaco
-6.6,6,.0000378310492124,.0000154393761704,6,.0000378310492124,.0000154393761704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,.0000378310492124,.0000154393761704
-6.5,8,.0000566362350582,.0000231140345477,8,.0000566362350582,.0000231140345477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,.0000566362350582,.0000231140345477
-6.4,8,.0000228283867045,9.31658127001e-06,8,.0000228283867045,9.31658127001e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,.0000228283867045,9.31658127001e-06
-6.3,10,.0000581369199608,.0000250537526654,8,.0000479825980619,.0000195823635067,2,.0000101543218989,5.47138915863e-06,2,.0000101543218989,5.47138915863e-06,0,0,0,2,.0000101543218989,5.47138915863e-06,0,0,0,0,0,0,0,0,0,2,.0000101543218989,5.47138915863e-06,10,.0000581369199608,.0000250537526654
-6.2,9,.0000934798308663,.0000381504155484,9,.0000934798308663,.0000381504155484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,.0000934798308663,.0000381504155484
-6.1,7,.0000221818349928,9.05271463125e-06,7,.0000221818349928,9.05271463125e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,.0000221818349928,9.05271463125e-06
-6,21,.0002959392974269,.0001314363545362,15,.0002874118247291,.0001172967646426,6,8.52747269775e-06,.0000141395898936,6,8.52747269775e-06,.0000141395898936,0,0,0,2,8.25280699246e-06,4.44680756573e-06,4,2.74665705291e-07,9.69278232787e-06,0,0,0,4,2.74665705291e-07,9.69278232787e-06,2,8.25280699246e-06,4.44680756573e-06,21,.0002959392974269,.0001314363545362
-5.9,5,.0000351199867055,.0000146328229675,4,.0000328258229274,.0000133966732392,1,2.29416377806e-06,1.23614972836e-06,1,2.29416377806e-06,1.23614972836e-06,0,0,0,1,2.29416377806e-06,1.23614972836e-06,0,0,0,0,0,0,0,0,0,1,2.29416377806e-06,1.23614972836e-06,5,.0000351199867055,.0000146328229675
-5.8,8,.0000232215423068,.0000146797681282,5,.0000230723867389,9.41616076489e-06,3,1.49155567897e-07,5.26360736330e-06,3,1.49155567897e-07,5.26360736330e-06,0,0,0,0,0,0,3,1.49155567897e-07,5.26360736330e-06,0,0,0,3,1.49155567897e-07,5.26360736330e-06,0,0,0,8,.0000232215423068,.0000146797681282
-5.7,14,.0001303529988945,.0000597889256824,10,.0000799355238996,.0000326227973346,4,.0000504174749949,.0000271661283477,4,.0000504174749949,.0000271661283477,0,0,0,4,.0000504174749949,.0000271661283477,0,0,0,0,0,0,0,0,0,4,.0000504174749949,.0000271661283477,14,.0001303529988945,.0000597889256824
