temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high,no_wgt_manuf,risk_adj_sample_wgt_manuf,pop_adj_sample_wgt_manuf,no_wgt_hr3,risk_adj_sample_wgt_hr3,pop_adj_sample_wgt_hr3
-1.2,26,.0001165857862588,.0000597978882411,16,.0000646014289032,.0000302878772231,10,.0000519843573556,.0000295100110179,10,.0000519843573556,.0000295100110179,0,0,0
-1.1,32,.000122637673087,.0000576163505457,31,.0001214373082234,.0000569349382431,1,1.20036486351e-06,6.81412302583e-07,1,1.20036486351e-06,6.81412302583e-07,0,0,0
-1,29,.0001802436847811,.00009028498323,20,.000121767465771,.0000570897301486,9,.0000584762190101,.0000331952530814,9,.0000584762190101,.0000331952530814,0,0,0
-.9,27,.0001184850813161,.0000555508090656,27,.0001184850813161,.0000555508090656,0,0,0,0,0,0,0,0,0
-.8,31,.0001967520872768,.0000954828990132,25,.0001639962931677,.0000768883864168,6,.0000327557941091,.0000185945125963,6,.0000327557941091,.0000185945125963,0,0,0
-.7,41,.0002432939787695,.0001172648685497,37,.0002109311377581,.0000988934233419,4,.0000323628410115,.0000183714452078,4,.0000323628410115,.0000183714452078,0,0,0
-.6,34,.0002048173750784,.0001015099600181,26,.0001857672705228,.0000870955396408,8,.0000190501045556,.0000144144203773,6,.0000190434291198,.0000108104016476,2,6.67543575972e-09,3.60401872967e-06
-.5,49,.0002592144185201,.0001325404839463,30,.000135270050464,.0000651040559774,19,.0001239443680561,.0000674364279689,19,.0001239443680561,.0000674364279689,0,0,0
-.4,49,.0003149710452455,.0001706615178705,34,.0002727786736614,.0001278901654018,15,.0000421923715841,.0000427713524687,11,.0000421574761731,.0000239315753561,4,3.48954110052e-08,.0000188397771126
-.3,51,.0002220883558266,.0001081965226604,40,.000180884503834,.0000848062920795,11,.0000412038519926,.0000233902305808,11,.0000412038519926,.0000233902305808,0,0,0
