inc_log,yhat,se,lowerci_hi,upperci_hi
10.293839,.0016624974,.0097874757,-.017520603,.020845598
10.297217,.00092347915,.0098041836,-.018292369,.020139327
10.300585,.00018675598,.0098208496,-.019061755,.019435268
10.30394,-.00054725481,.0098374626,-.019828327,.018733818
10.307284,-.0012789705,.0098540327,-.02059252,.018034579
10.310618,-.0020083911,.0098705599,-.021354333,.017337549
10.31394,-.0027350993,.0098870331,-.022113329,.016643131
10.317251,-.0034595125,.0099034645,-.022869945,.01595092
10.320552,-.0041816304,.0099198511,-.023624182,.01526092
10.323841,-.0049012448,.0099361893,-.024375819,.014573329
10.32712,-.0056185643,.0099524846,-.025125075,.013887946
10.330388,-.0063335882,.0099687353,-.025871949,.013204773
10.333645,-.0070461086,.0099849366,-.026616225,.012524008
10.336892,-.0077565429,.0100011,-.027358338,.011845252
10.340128,-.0084644733,.010017212,-.028097849,.011168904
10.343354,-.0091703171,.010033286,-.028835198,.010494564
10.346569,-.0098736566,.010049311,-.029569944,.0098226303
10.349774,-.010574911,.010065296,-.030302526,.0091527058
10.352969,-.011273869,.010081235,-.031032728,.0084849894
10.356154,-.011970741,.010097135,-.031760763,.00781928
10.359329,-.012665318,.01011299,-.032486413,.0071557774
10.362494,-.0133576,.010128799,-.033209682,.0064944816
10.365648,-.014047796,.010144569,-.033930786,.0058351932
10.368793,-.014735696,.010160292,-.034649502,.0051781111
10.371927,-.01542151,.010175976,-.035366055,.0045230361
10.375052,-.016105238,.010191618,-.036080442,.0038699675
10.378168,-.016786879,.01020722,-.036792662,.0032189053
10.381273,-.017466225,.010222776,-.037502497,.0025700487
10.384369,-.018143484,.010238292,-.038210165,.0019231981
10.387456,-.018818866,.01025377,-.038915887,.0012781542
10.390532,-.019491952,.010269203,-.039619219,.00063531526
10.3936,-.020163162,.010284599,-.040320605,-5.7174029e-06
10.396658,-.020832075,.010299949,-.041019604,-.00064454542
10.399707,-.02149911,.010315263,-.041716654,-.0012815676
10.402746,-.02216406,.010330535,-.042411536,-.0019165847
10.405777,-.022827132,.01034577,-.04310447,-.0025497961
10.408798,-.023488117,.010360963,-.043795232,-.003181003
10.41181,-.024147017,.010376114,-.044483826,-.0038102053
10.414813,-.024804037,.010391229,-.045170471,-.0044376026
10.417807,-.025458973,.010406301,-.045854948,-.0050629955
10.420793,-.026112238,.010421341,-.046537694,-.0056867832
10.423768,-.026763208,.010436335,-.047218047,-.0063083675
10.426736,-.02741251,.010451295,-.047896672,-.0069283466
10.429694,-.028059723,.010466213,-.048573125,-.007546322
10.432644,-.02870506,.010481094,-.049247626,-.0081624929
10.435585,-.029348521,.010495937,-.049920179,-.0087768603
10.438518,-.029990101,.010510743,-.05059078,-.0093894238
10.441442,-.030629804,.010525511,-.051259425,-.010000183
10.444357,-.031267632,.01054024,-.051926121,-.01060914
10.447265,-.031903788,.010554937,-.052591082,-.011216491
10.450163,-.032537859,.01056959,-.053253874,-.011821841
10.453053,-.033170257,.010584211,-.053914931,-.012425586
10.455935,-.033800572,.010598789,-.054573815,-.013027329
10.458808,-.034429219,.010613333,-.055230968,-.013627468
10.461674,-.035056196,.010627843,-.055886384,-.014226004
10.464531,-.035681292,.010642316,-.056539848,-.014822736
10.46738,-.036304515,.010656751,-.057191361,-.015417666
