inc_log,yhat,se,lowerci_hi,upperci_hi
10.152299,.15527366,.013403752,.12900279,.18154454
10.15619,.15451139,.013422356,.12820406,.18081874
10.160066,.15375212,.013440902,.12740843,.18009579
10.163927,.15299563,.013459394,.1266157,.17937556
10.167773,.15224214,.013477826,.12582609,.1786582
10.171604,.15149164,.013496199,.12503958,.17794371
10.175422,.15074375,.013514522,.12425578,.17723173
10.179224,.14999886,.013532784,.12347509,.17652263
10.183011,.14925694,.013550987,.1226975,.1758164
10.186785,.14851765,.013569138,.12192263,.17511268
10.190544,.14778116,.013587234,.12115068,.17441165
10.19429,.1470473,.013605278,.12038144,.17371315
10.198021,.14631641,.013623262,.11961531,.17301752
10.201738,.14558814,.013641194,.11885189,.17232439
10.205442,.14486249,.013659074,.1180912,.17163378
10.209132,.14413965,.013676897,.11733342,.17094587
10.212809,.1434194,.013694667,.11657835,.17026046
10.216472,.14270179,.013712386,.115826,.16957757
10.220121,.14198679,.013730051,.11507638,.16889718
10.223758,.14127439,.013747663,.11432947,.16821931
10.227381,.14056462,.013765222,.11358529,.16754396
10.230991,.13985728,.013782733,.11284362,.16687094
10.234589,.13915256,.013800191,.11210468,.16620043
10.238173,.13845044,.013817594,.11136845,.16553243
10.241744,.13775076,.01383495,.11063475,.16486676
10.245302,.13705368,.01385225,.10990378,.1642036
10.248849,.13635886,.013869506,.10917513,.1635426
10.252382,.13566665,.013886708,.10844921,.1628841
10.255903,.13497686,.01390386,.10772581,.16222794
10.259412,.13428952,.013920962,.10700493,.16157411
10.262909,.13360441,.013938019,.10628639,.16092242
10.266393,.13292192,.013955021,.10557058,.16027325
10.269865,.13224167,.013971977,.10485709,.15962623
10.273326,.13156365,.013988888,.10414593,.15898137
10.276773,.13088825,.014005743,.1034375,.15833901
10.28021,.13021491,.014022557,.10273121,.15769862
10.283635,.129544,.01403932,.10202744,.15706056
10.287047,.12887552,.014056032,.1013262,.15642484
10.290449,.1282091,.014072702,.1006271,.15579109
10.293839,.12754491,.014089325,.099930339,.15515947
10.297217,.12688315,.014105897,.099236101,.1545302
10.300585,.12622344,.014122427,.098544002,.1539029
10.30394,.12556617,.014138905,.097854428,.15327792
10.307284,.12491096,.014155341,.097167,.15265492
10.310618,.1242578,.014171734,.096481711,.15203388
10.31394,.12360706,.014188075,.095798947,.15141518
10.317251,.12295838,.014204375,.095118321,.15079844
10.320552,.12231176,.01422063,.094439842,.15018368
10.323841,.12166738,.014236838,.093763694,.14957106
10.32712,.12102506,.014253002,.093089685,.14896043
10.330388,.12038478,.014269123,.092417814,.14835174
10.333645,.11974675,.014285197,.091748282,.14774522
10.336892,.11911059,.014301231,.091080695,.14714049
10.340128,.11847667,.014317217,.090415448,.1465379
