year,geolev1,log_inc,tavg_1_pop_ma_30yr,yhat_main,se_main,lowerci_main,upperci_main,yhat_lrtk,se_lrtk,lowerci_lrtk,upperci_lrtk
2000,156014,7.6589665,10.33076159182295,.79953015,.012281253,.77545935,.82360095,.81193954,.011791047,.78882951,.83504957
2000,156015,7.5487905,5.574125654291581,.76716012,.026942696,.71435338,.81996679,.81960881,.016942183,.78640276,.85281491
2000,156021,8.278532,8.779565353904632,.68043315,.014583137,.65185076,.70901561,.70373994,.011139594,.68190676,.72557318
2000,156022,7.839499,5.624264313931097,.70736498,.027929181,.65262479,.76210517,.76785707,.016107088,.73628777,.79942638
2000,156023,8.003224400000001,3.425699569436459,.60057306,.048224047,.50605565,.69509041,.71399158,.025442339,.6641255,.76385766
2000,156031,9.122541399999999,16.43655088852384,.49351388,.0047034691,.48429525,.50273252,.47912073,.0071862591,.46503592,.49320555
2000,156032,8.151339500000001,15.5809223492585,.67748916,.0068291267,.66410434,.69087398,.66739589,.0088091353,.65013027,.68466145
2000,156033,8.175487499999999,17.1557750134611,.65106577,.0061834767,.63894641,.66318518,.63704097,.0084218932,.62053436,.65354759
2000,156034,7.4534111,16.26599761733972,.79851437,.0090811094,.7807157,.81631303,.78162968,.010884511,.76029646,.80296296
2000,156035,8.0148163,20.17448630344513,.63787472,.0058447854,.62641913,.64933026,.61644214,.0075961305,.60155404,.63133031
2000,156036,7.4261847,18.52835642400183,.7794835,.0084464829,.76292872,.79603833,.74823838,.01003856,.72856313,.76791358
2000,156037,7.9606524,14.00474265154461,.7279706,.0086672017,.71098322,.74495804,.72469181,.0095033385,.7060656,.74331802
2000,156041,7.4810758,15.31933453813735,.80275941,.0094691757,.78420019,.82131869,.79182577,.011002637,.77026099,.81339055
2000,156042,7.7261977,16.75544224129592,.7437492,.0078889243,.72828722,.75921118,.72448766,.0098234527,.70523405,.74374127
2000,156043,7.5475636,17.47335354524298,.76559132,.0082746102,.74937344,.78180927,.74436784,.010134338,.72450489,.76423073
2000,156044,7.7307968,22.70754717681953,.67516273,.005890558,.66361743,.68670797,.63958353,.0077227186,.62444729,.65471977
2000,156045,7.3555789,21.35718166735113,.75543147,.0075582885,.74061751,.77024543,.71923596,.009000686,.70159495,.73687702
2000,156051,7.9091601,16.80123588774812,.69298667,.0071294857,.67901313,.7069602,.69086599,.0092496015,.67273706,.70899487
2000,156052,7.0063949,15.26511719872234,.85973907,.011393867,.83740753,.88207066,.87788808,.012790725,.85281873,.90295744
2000,156053,7.4329386,15.79978377002053,.7597546,.010162886,.73983574,.77967352,.79289645,.011076843,.77118623,.81460667
2000,156054,7.4662147,1.027589170776637,.93624288,.02308164,.89100373,.98148209,.77554965,.053806901,.67009008,.88100922
2000,156061,7.4885635,12.94381413142596,.81564742,.01055449,.79496098,.83633381,.82237655,.01132308,.80018371,.84456939
2000,156062,7.5487905,8.248195298546202,.84828609,.013709637,.82141572,.87515652,.83420938,.013735573,.80728817,.8611306
2000,156063,7.6337399,3.824739087519963,.86660635,.018558513,.83023232,.90298033,.78545856,.023391027,.739613,.83130413
2000,156064,7.5487905,8.677704978334475,.83680278,.014063988,.8092379,.86436772,.83471811,.013389356,.80847549,.86096078
2000,156065,7.8068199,9.124810077919232,.75920302,.014871885,.73005462,.78835136,.7883563,.012194496,.7644555,.81225705
2005,170005,9.021596000000001,19.73531067579284,.42210674,.0071723959,.40804911,.43616438,.44226632,.0067913705,.4289555,.45557716
2005,170008,8.730345700000001,27.670086727812,.50194454,.0071461652,.48793834,.5159508,.50915271,.0079963105,.49348021,.52482516
2005,170011,9.166782400000001,14.50105534474105,.45871338,.0095629701,.43997028,.47745645,.50131685,.0069257035,.48774272,.51489097
2005,170013,8.076987300000001,28.00357458361853,.62669802,.0074653183,.61206627,.64132977,.63756847,.0090553463,.61982036,.65531665
2005,170015,8.753933,16.81426120465435,.53209192,.0070859278,.51820374,.54598004,.53897196,.0074264514,.52441639,.55352753
2005,170018,8.3901196,24.64606497923796,.52437788,.0063758246,.51188147,.53687423,.5188427,.0066479743,.50581288,.53187245
2005,170019,8.311363200000001,19.01823703125713,.55931389,.0072010467,.54520011,.57342768,.5811888,.0074363626,.56661379,.5957638
2005,170023,8.398469,27.63372619301849,.55961585,.0066936961,.54649645,.57273525,.56760317,.0075844252,.55273795,.58246839
2005,170027,8.0342932,26.07645582660279,.60734296,.0056274803,.5963133,.61837262,.59699929,.0059785089,.58528161,.60871696
2005,170041,8.698213600000001,22.66864881770477,.47350547,.0059930137,.46175939,.48525158,.46613944,.0068723392,.45266992,.47960898
2005,170044,9.007655099999999,27.7232019566507,.45875648,.0080208583,.4430359,.47447708,.46104926,.0086186863,.44415694,.47794157
2005,170050,9.108821900000001,25.32275334154689,.40061429,.0071555343,.38658971,.41463891,.39457947,.007359324,.38015547,.4090035
2005,170052,8.1059933,17.43867005247547,.62623268,.0080019152,.61054921,.6419161,.64469677,.0085010715,.62803495,.66135854
2005,170054,9.166782400000001,25.16255256308465,.40358213,.0061621079,.39150462,.41565964,.38273841,.0075560859,.36792874,.39754805
2005,170066,9.166782400000001,18.88952496189824,.39893609,.0074888384,.38425824,.41361395,.4297159,.0069763893,.41604245,.44338939
2005,170068,9.1465874,22.74487630663929,.39139643,.0066074226,.37844613,.40434673,.38515237,.0074522728,.37054619,.39975855
2005,170073,8.724551200000001,23.65347537668264,.48004434,.0051515438,.46994749,.49014115,.45735204,.0070096692,.44361335,.47109073
2005,170076,9.1065159,22.95184508692676,.38848919,.0075827469,.37362728,.40335107,.39116862,.0074357833,.37659475,.4057425
2005,170081,9.3391848,27.07850246954141,.39156264,.0079747038,.37593251,.40719277,.38311073,.00805528,.36732268,.39889881
2005,170086,9.3391848,23.58067953182751,.36370623,.0068416623,.35029683,.37711567,.34712455,.0080814194,.33128524,.36296383
2005,170095,9.3391848,26.90335074697696,.37834594,.0078167692,.36302537,.39366654,.37885186,.0078876754,.36339229,.39431143
2000,188001,8.852805099999999,21.41765372575862,.42516488,.0084605813,.40858245,.44174731,.44972578,.006738326,.43651891,.46293265
2000,188002,8.852805099999999,22.41526371891399,.4379046,.0067802304,.42461559,.4511936,.44017819,.0069418582,.42657241,.45378399
2000,188003,8.852805099999999,19.13738294957792,.44334733,.0082016746,.42727232,.45942232,.48203543,.0068504284,.46860883,.49546203
2000,188004,8.852805099999999,20.71750147843942,.43609866,.0076642423,.42107701,.45112029,.45839298,.0066750539,.44531012,.47147584
2000,188005,8.852805099999999,26.77135471686059,.46476793,.0064434209,.45213908,.47739682,.46317023,.0065493705,.45033368,.47600675
2000,188006,8.852805099999999,25.93086120465435,.45809135,.0059862155,.44635859,.46982414,.44783816,.0065527777,.43499497,.46068138
2000,188007,8.852805099999999,24.96148390600045,.44363704,.0065863421,.43072805,.45654604,.43758255,.0069672992,.42392692,.45123821
2002,204001,7.2082524,28.24028356559434,.80232984,.011332808,.78011799,.82454175,.80220389,.011328577,.78000033,.82440752
2002,204002,7.1060271,27.58585539676021,.80062622,.0089808581,.78302401,.81822836,.79818046,.0091051431,.78033471,.81602621
2002,204003,7.4434562,27.40878740406114,.72859019,.0073050978,.71427244,.74290794,.7323612,.0078336084,.71700764,.74771482
2002,204004,7.2206421,27.36455426237737,.77275234,.0080416761,.75699097,.78851378,.77111036,.0082854014,.75487125,.78734946
2002,204005,7.2082524,27.48682775541866,.77464187,.008089656,.75878644,.7904973,.77685672,.0085852221,.76002997,.79368341
2002,204006,7.2082524,27.31826289664613,.7690711,.0078109982,.75376183,.78438038,.77204299,.0082298201,.75591284,.78817314
2002,204007,7.2082524,26.85801087109286,.7634843,.0075090406,.74876684,.77820176,.7603966,.0076688784,.74536592,.77542734
2002,204008,7.2082524,27.4001733260324,.77041483,.0078861592,.75495827,.78587145,.77434427,.0083914911,.75789726,.79079133
