temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-10.6,27,-5.685667,10.023384,-25.331139,13.959805,-1.8798823,10.7609,-22.97086,19.211094,-27.311716,26.640665,-79.526459,24.903028
-10.5,27,-5.6705451,9.996726,-25.263769,13.922678,-1.8748826,10.732281,-22.909767,19.160002,-27.239079,26.569813,-79.314957,24.836798
-10.4,27,-5.6554236,9.970068,-25.196398,13.88555,-1.8698829,10.703661,-22.848673,19.108908,-27.166441,26.498959,-79.103447,24.770565
-10.3,27,-5.6403022,9.9434109,-25.129028,13.848424,-1.8648832,10.675042,-22.78758,19.057814,-27.093803,26.428106,-78.891945,24.704334
-10.2,27,-5.6251807,9.9167528,-25.061659,13.811296,-1.8598835,10.646422,-22.726488,19.006721,-27.021166,26.357254,-78.680435,24.638102
-10.1,27,-5.6100597,9.8900948,-24.994289,13.77417,-1.8548839,10.617804,-22.665396,18.955627,-26.948528,26.286402,-78.468925,24.571871
-10,27,-5.5949378,9.8634367,-24.926918,13.737042,-1.8498842,10.589184,-22.604303,18.904535,-26.875891,26.215548,-78.257423,24.50564
-9.8999996,27,-5.5798163,9.8367786,-24.859549,13.699915,-1.8448845,10.560564,-22.543209,18.853441,-26.803253,26.144695,-78.045914,24.439407
-9.8000002,27,-5.5646954,9.8101206,-24.792179,13.662788,-1.8398848,10.531945,-22.482117,18.802347,-26.730616,26.073843,-77.834412,24.373177
-9.6999998,27,-5.5495734,9.7834625,-24.724808,13.625661,-1.8348851,10.503325,-22.421024,18.751255,-26.657978,26.002989,-77.622902,24.306946
-9.6000004,27,-5.5344524,9.7568045,-24.657438,13.588534,-1.8298855,10.474706,-22.359932,18.700161,-26.58534,25.932137,-77.4114,24.240713
-9.5,27,-5.519331,9.7301464,-24.590069,13.551407,-1.8248857,10.446087,-22.29884,18.649067,-26.512703,25.861284,-77.19989,24.174482
-9.3999996,27,-5.504209,9.7034893,-24.522697,13.514279,-1.819886,10.417467,-22.237747,18.597975,-26.440065,25.790432,-76.98838,24.10825
-9.3000002,27,-5.4890881,9.6768312,-24.455328,13.477153,-1.8148863,10.388847,-22.176655,18.546881,-26.367428,25.719578,-76.776878,24.042019
-9.1999998,27,-5.4739666,9.6501732,-24.387959,13.440025,-1.8098867,10.360229,-22.115561,18.495789,-26.29479,25.648726,-76.565369,23.975788
-9.1000004,27,-5.4588451,9.6235151,-24.320589,13.402898,-1.8048871,10.331609,-22.054468,18.444695,-26.222153,25.577873,-76.353867,23.909557
-9,27,-5.4437237,9.5968571,-24.253218,13.365771,-1.7998873,10.30299,-21.993376,18.3936,-26.149515,25.507021,-76.142357,23.843325
-8.8999996,27,-5.4286017,9.570199,-24.185848,13.328644,-1.7948875,10.27437,-21.932283,18.342508,-26.076878,25.436167,-75.930847,23.777094
-8.8000002,27,-5.4134808,9.543541,-24.118479,13.291516,-1.7898879,10.24575,-21.871191,18.291414,-26.00424,25.365314,-75.719345,23.710861
-8.6999998,27,-5.3983593,9.5168829,-24.051107,13.25439,-1.7848883,10.217132,-21.810097,18.24032,-25.931602,25.294462,-75.507835,23.64463
-8.6000004,27,-5.3832378,9.4902258,-23.983738,13.217262,-1.7798885,10.188512,-21.749004,18.189228,-25.858965,25.223608,-75.296333,23.5784
-8.5,27,-5.3681164,9.4635677,-23.916368,13.180136,-1.7748889,10.159892,-21.687912,18.138134,-25.786327,25.152756,-75.084824,23.512167
-8.3999996,27,-5.3529949,9.4369097,-23.848997,13.143008,-1.7698891,10.131273,-21.62682,18.08704,-25.71369,25.081903,-74.873314,23.445936
-8.3000002,27,-5.3378735,9.4102516,-23.781628,13.105881,-1.7648895,10.102654,-21.565727,18.035948,-25.641052,25.011051,-74.661812,23.379705
-8.1999998,27,-5.322752,9.3835936,-23.714258,13.068754,-1.7598898,10.074034,-21.504633,17.984854,-25.568415,24.940197,-74.450302,23.313473
-8.1000004,27,-5.3076305,9.3569355,-23.646887,13.031627,-1.7548901,10.045415,-21.443541,17.933762,-25.495777,24.869345,-74.2388,23.247242
-8,27,-5.2925091,9.3302774,-23.579517,12.994499,-1.7498904,10.016795,-21.382448,17.882668,-25.42314,24.798492,-74.02729,23.181011
-7.9000001,27,-5.2773876,9.3036203,-23.512148,12.957373,-1.7448907,9.9881763,-21.321356,17.831573,-25.350502,24.727638,-73.815788,23.114779
-7.8000002,27,-5.2622662,9.2769623,-23.444777,12.920245,-1.7398911,9.9595566,-21.260263,17.780481,-25.277864,24.656786,-73.604279,23.048548
-7.6999998,27,-5.2471447,9.2503042,-23.377407,12.883118,-1.7348913,9.9309368,-21.199171,17.729387,-25.205227,24.585934,-73.392769,22.982315
-7.5999999,27,-5.2320232,9.2236462,-23.310038,12.845991,-1.7298917,9.902318,-21.138077,17.678295,-25.132589,24.515079,-73.181267,22.916084
-7.5,27,-5.2169018,9.1969881,-23.242666,12.808864,-1.724892,9.8736982,-21.076984,17.627201,-25.059952,24.444227,-72.969757,22.849854
-7.4000001,27,-5.2017803,9.17033,-23.175297,12.771737,-1.7198923,9.8450785,-21.015892,17.576107,-24.987314,24.373375,-72.758255,22.783621
-7.3000002,27,-5.1866589,9.143672,-23.107927,12.73461,-1.7148926,9.8164597,-20.9548,17.525015,-24.914677,24.302523,-72.546745,22.71739
-7.1999998,27,-5.1715374,9.1170139,-23.040556,12.697482,-1.7098929,9.7878399,-20.893707,17.473921,-24.842039,24.231668,-72.335236,22.651159
-7.0999999,27,-5.1564159,9.0903568,-22.973186,12.660356,-1.7048932,9.7592201,-20.832615,17.422827,-24.769402,24.160816,-72.123734,22.584927
-7,27,-5.1412945,9.0636988,-22.905817,12.623228,-1.6998936,9.7306013,-20.771521,17.371735,-24.696764,24.089964,-71.912224,22.518696
-6.9000001,27,-5.126173,9.0370407,-22.838448,12.586101,-1.6948938,9.7019815,-20.710428,17.320641,-24.624126,24.01911,-71.700722,22.452465
-6.8000002,27,-5.1110516,9.0103827,-22.771076,12.548974,-1.6898942,9.6733627,-20.649336,17.269548,-24.551491,23.948257,-71.489212,22.386232
-6.6999998,27,-5.0959301,8.9837246,-22.703707,12.511847,-1.6848944,9.644743,-20.588243,17.218454,-24.478851,23.877405,-71.277702,22.320002
-6.5999999,27,-5.0808086,8.9570665,-22.636337,12.47472,-1.6798948,9.6161232,-20.527151,17.16736,-24.406214,23.806553,-71.0662,22.253769
-6.5,27,-5.0656872,8.9304085,-22.568966,12.437593,-1.6748952,9.5875044,-20.466059,17.116268,-24.333576,23.735699,-70.854691,22.187538
-6.4000001,27,-5.0505657,8.9037504,-22.501596,12.400465,-1.6698954,9.5588846,-20.404964,17.065174,-24.260941,23.664846,-70.643188,22.121307
-6.3000002,27,-5.0354443,8.8770933,-22.434227,12.363338,-1.6648958,9.5302658,-20.343872,17.014082,-24.188303,23.593994,-70.431679,22.055077
-6.1999998,27,-5.0203228,8.8504353,-22.366856,12.326211,-1.659896,9.501646,-20.28278,16.962988,-24.115664,23.52314,-70.220169,21.988844
-6.0999999,27,-5.0052013,8.8237772,-22.299486,12.289083,-1.6548964,9.4730263,-20.221687,16.911894,-24.043026,23.452288,-70.008667,21.922613
-6,27,-4.9900799,8.7971191,-22.232117,12.251957,-1.6498967,9.4444075,-20.160595,16.860802,-23.97039,23.381435,-69.797157,21.85638
-5.9000001,27,-4.9749584,8.7704611,-22.164747,12.214829,-1.644897,9.4157877,-20.099503,16.809708,-23.897753,23.310583,-69.585655,21.79015
-5.8000002,27,-4.959837,8.743803,-22.097376,12.177703,-1.6398973,9.3871679,-20.038408,16.758614,-23.825115,23.239729,-69.374146,21.723919
-5.6999998,27,-4.9447155,8.717145,-22.030006,12.140575,-1.6348976,9.3585491,-19.977316,16.707521,-23.752476,23.168877,-69.162643,21.657686
-5.5999999,27,-4.929594,8.6904869,-21.962637,12.103448,-1.629898,9.3299294,-19.916224,16.656427,-23.679838,23.098024,-68.951134,21.591455
-5.5,27,-4.9144726,8.6638298,-21.895266,12.066321,-1.6248982,9.3013096,-19.855131,16.605335,-23.607203,23.02717,-68.739624,21.525225
-5.4000001,27,-4.8993511,8.6371717,-21.827896,12.029194,-1.6198986,9.2726908,-19.794039,16.554241,-23.534565,22.956318,-68.528122,21.458992
-5.3000002,27,-4.8842297,8.6105137,-21.760527,11.992066,-1.6148989,9.244071,-19.732946,16.503147,-23.461927,22.885466,-68.316612,21.392761
-5.1999998,27,-4.8691082,8.5838556,-21.693155,11.95494,-1.6098992,9.2154512,-19.671852,16.452055,-23.389288,22.814611,-68.10511,21.326529
-5.0999999,27,-4.8539867,8.5571976,-21.625786,11.917812,-1.6048995,9.1868324,-19.61076,16.400961,-23.316652,22.743759,-67.8936,21.260298
-5,27,-4.8388653,8.5305395,-21.558416,11.880685,-1.5998998,9.1582127,-19.549667,16.349867,-23.244015,22.672907,-67.682091,21.194067
-4.9000001,27,-4.8237438,8.5038815,-21.491047,11.843558,-1.5949001,9.1295938,-19.488575,16.298775,-23.171377,22.602055,-67.470589,21.127834
-4.8000002,27,-4.8086224,8.4772243,-21.423676,11.806431,-1.5899005,9.1009741,-19.427483,16.247681,-23.09874,22.5312,-67.259079,21.061604
-4.6999998,27,-4.7935009,8.4505663,-21.356306,11.769304,-1.5849007,9.0723543,-19.366388,16.196587,-23.026102,22.460348,-67.047577,20.995373
-4.5999999,27,-4.7783794,8.4239082,-21.288937,11.732177,-1.5799011,9.0437355,-19.305296,16.145494,-22.953465,22.389496,-66.836067,20.92914
