temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_ag,se_ag,lowerci_ag,upperci_ag,yhat_nonag,se_nonag,lowerci_nonag,upperci_nonag
35.1,27,-7.838387,3.1793303,-14.06976,-1.6070141,-2.0124397,2.3806725,-6.678472,2.6535926,-2.4635077,9.2765455,-20.645203,15.718187,-.66097564,1.3751378,-3.3561964,2.034245
35.2,27,-8.0557528,3.2509594,-14.427516,-1.6839889,-2.0600786,2.4295588,-6.8219266,2.7017694,-2.9246678,9.402483,-21.353195,15.50386,-.68030375,1.4034052,-3.4309273,2.0703199
35.3,27,-8.2751369,3.3232689,-14.788625,-1.7616495,-2.108099,2.4790463,-6.9669409,2.7507427,-3.3930533,9.5302572,-22.072014,15.285908,-.69981885,1.4321332,-3.5067484,2.1071107
35.4,27,-8.4964838,3.3962421,-15.152995,-1.8399711,-2.1564903,2.5291235,-7.1134815,2.8005009,-3.868433,9.6598864,-22.801462,15.064595,-.71951562,1.461314,-3.5836382,2.1446071
35.5,27,-8.7197857,3.4698744,-15.520615,-1.9189574,-2.2052515,2.5797858,-7.2615385,2.8510358,-4.3508129,9.7913733,-23.541552,14.839926,-.73939359,1.4909432,-3.6615884,2.1828015
35.6,27,-8.944993,3.5441499,-15.891399,-1.9985874,-2.2543724,2.6310215,-7.4110799,2.9023352,-4.8399963,9.9247265,-24.292103,14.612111,-.75944793,1.521013,-3.7405787,2.2216828
35.7,27,-9.1720514,3.6190524,-16.265263,-2.0788391,-2.3038433,2.6828191,-7.5620723,2.9543855,-5.3357773,10.059953,-25.052921,14.381368,-.77967358,1.5515146,-3.8205864,2.2612393
35.8,27,-9.4009552,3.6945777,-16.642195,-2.1597166,-2.353663,2.7351737,-7.7145047,3.0071788,-5.8381658,10.197049,-25.824015,14.147683,-.80007029,1.582444,-3.9016035,2.3014629
35.9,27,-9.63165,3.770709,-17.022104,-2.2411957,-2.4038212,2.7880731,-7.8683438,3.0607014,-6.3469353,10.33602,-26.605162,13.911291,-.8206327,1.6137918,-3.9836066,2.3423412
36,27,-9.8641281,3.8474422,-17.404976,-2.3232796,-2.4543164,2.841512,-8.0235777,3.1149445,-6.8620882,10.476861,-27.396358,13.672182,-.84136033,1.6455538,-4.0665865,2.3838661
36.1,27,-10.09833,3.9247589,-17.790714,-2.4059434,-2.5051374,2.8954771,-8.1801682,3.1698935,-7.3833981,10.619567,-28.197367,13.430572,-.86224765,1.6777202,-4.1505189,2.4260237
36.2,27,-10.334224,4.0026488,-18.179272,-2.4891758,-2.5562785,2.9499602,-8.3380947,3.2255373,-7.9107413,10.764137,-29.008062,13.18658,-.8832916,1.7102841,-4.2353868,2.4688036
36.3,27,-10.571783,4.0811019,-18.570597,-2.5729702,-2.6077342,3.0049522,-8.4973326,3.2818639,-8.444047,10.910557,-29.828344,12.940251,-.90448987,1.7432386,-4.3211746,2.5121949
36.4,27,-10.810966,4.1601057,-18.964622,-2.6573088,-2.659497,3.0604429,-8.657855,3.338861,-8.9831362,11.058823,-30.65803,12.691757,-.92583835,1.7765756,-4.4078627,2.556186
36.5,27,-11.051746,4.2396498,-19.361307,-2.7421856,-2.7115614,3.1164238,-8.8196402,3.3965168,-9.5279455,11.208918,-31.497021,12.44113,-.94733495,1.8102884,-4.4954352,2.6007652
36.6,27,-11.294085,4.3197217,-19.760584,-2.8275847,-2.7639203,3.1728842,-8.9826593,3.4548185,-10.078316,11.360833,-32.345139,12.188507,-.9689756,1.8443691,-4.5838723,2.6459212
36.7,27,-11.53794,4.4003096,-20.16239,-2.9134915,-2.8165662,3.2298143,-9.1468859,3.5137537,-10.634098,11.514555,-33.202213,11.934015,-.99075693,1.8788095,-4.6731558,2.691642
36.8,27,-11.78329,4.4814038,-20.566681,-2.9999001,-2.8694944,3.2872057,-9.3122988,3.5733104,-11.19523,11.670065,-34.068138,11.677678,-1.0126766,1.9136031,-4.7632694,2.7379165
36.9,27,-12.03009,4.5629911,-20.973389,-3.086792,-2.9226968,3.3450475,-9.4788694,3.6334758,-11.761527,11.82735,-34.942707,11.419653,-1.0347306,1.9487413,-4.8541932,2.7847323
37,27,-12.278313,4.6450615,-21.382465,-3.1741602,-2.9761682,3.4033306,-9.6465731,3.6942375,-12.33292,11.986386,-35.825806,11.159966,-1.0569162,1.9842174,-4.9459109,2.8320782
37.1,27,-12.527921,4.7276025,-21.793852,-3.2619905,-3.029901,3.4620452,-9.8153849,3.7555828,-12.90926,12.147159,-36.717251,10.898733,-1.0792303,2.0200233,-5.038403,2.8799427
37.2,27,-12.778874,4.8106022,-22.207481,-3.3502674,-3.0838885,3.5211809,-9.9852762,3.8174992,-13.490395,12.309646,-37.616856,10.636067,-1.1016688,2.0561509,-5.1316509,2.928313
37.3,27,-13.03115,4.8940516,-22.623314,-3.4389846,-3.1381257,3.580729,-10.156225,3.8799744,-14.07626,12.473824,-38.524506,10.371984,-1.1242298,2.0925939,-5.2256384,2.9771791
37.4,27,-13.2847,4.9779367,-23.041277,-3.5281236,-3.1926041,3.6406786,-10.328203,3.9429953,-14.666671,12.639672,-39.439972,10.10663,-1.1469089,2.1293435,-5.3203454,3.0265274
37.5,27,-13.5395,5.0622478,-23.461323,-3.6176772,-3.2473183,3.701021,-10.501186,4.0065494,-15.261556,12.807164,-40.363136,9.840024,-1.1697037,2.1663926,-5.4157553,3.0763476
37.6,27,-13.795513,5.1469731,-23.883396,-3.7076318,-3.3022618,3.7617459,-10.675149,4.0706248,-15.860774,12.976276,-41.293808,9.5722609,-1.1926109,2.2037337,-5.5118499,3.1266279
37.7,27,-14.0527,5.2321005,-24.307428,-3.7979712,-3.3574276,3.8228433,-10.850062,4.1352077,-16.46417,13.146986,-42.231789,9.3034487,-1.2156266,2.2413588,-5.6086092,3.177356
