temp,yhat_comm,se_comm,lowerci_comm,upperci_comm,yhat_low,se_low,lowerci_low,upperci_low,yhat_ag,se_ag,lowerci_ag,upperci_ag,yhat_nonag,se_nonag,lowerci_nonag,upperci_nonag,yhat_nonag_low,se_nonag_low,lowerci_nonag_low,upperci_nonag_low,yhat_ag_low,se_ag_low,lowerci_ag_low,upperci_ag_low,yhat_ag_nonag,se_ag_nonag,lowerci_ag_nonag,upperci_ag_nonag
31.2,-1.2600707,1.0312068,-3.281199,.76105767,-.50964397,.99412662,-2.4580963,1.4388084,9.1833248,5.5875478,-1.7680675,20.134716,-.041134093,.64110225,-1.2976714,1.2154032,.46850985,1.1611384,-1.8072796,2.7442994,9.6929684,5.6546898,-1.3900195,20.775957,9.2244587,5.6128945,-1.7766123,20.225529
31.3,-1.3713734,1.0682756,-3.4651551,.72240818,-.53735101,1.0178112,-2.5322242,1.4575223,9.1055222,5.6795745,-2.0262396,20.237284,-.050982557,.65262789,-1.3301097,1.2281446,.48636845,1.1864115,-1.8389553,2.8116922,9.6428728,5.7483487,-1.6236832,20.90943,9.1565046,5.7055707,-2.0262079,20.339218
31.4,-1.4860357,1.1063545,-3.6544507,.68237936,-.56570172,1.0419751,-2.6079354,1.4765321,9.0154762,5.7709384,-2.2953548,20.326307,-.06119746,.66433918,-1.3632783,1.2408834,.50450426,1.2121869,-1.8713386,2.880347,9.5811787,5.8414702,-1.8678933,21.030251,9.0766745,5.797626,-2.2864645,20.439812
31.5,-1.6040262,1.1454468,-3.8490608,.64100826,-.59468991,1.0666425,-2.685271,1.4958911,8.9132948,5.8617277,-2.5754807,20.402069,-.071775451,.67626041,-1.3972214,1.2536706,.52291447,1.2384994,-1.9044998,2.9503288,9.5079842,5.9341526,-2.1227407,21.13871,8.9850702,5.889153,-2.5574582,20.527597
31.6,-1.72531,1.1855537,-4.0489526,.59833246,-.62430894,1.0918363,-2.7642689,1.5156511,8.7991047,5.9520364,-2.866672,20.464882,-.082712695,.68841577,-1.4319828,1.2665575,.54159623,1.2653824,-1.9385078,3.0217001,9.4234133,6.0264974,-2.3883042,21.235132,8.8818178,5.980248,-2.8392534,20.602888
31.7,-1.8498511,1.2266747,-4.2540894,.55438715,-.65455186,1.117578,-2.8449645,1.5358609,8.6730375,6.0419574,-3.1689816,20.515057,-.094005272,.70082873,-1.4676044,1.2795938,.56054658,1.2928678,-1.9734278,3.0945208,9.327589,6.118607,-2.66466,21.319839,8.7670431,6.0710068,-3.1319122,20.665998
31.8,-1.9776206,1.2688093,-4.4644408,.50919992,-.685413,1.1438873,-2.9273911,1.5565649,8.5351925,6.1315784,-3.4824803,20.552866,-.10565007,.71352148,-1.5041265,1.2928264,.57976294,1.320985,-2.00932,3.1688459,9.2206059,6.2105765,-2.9519005,21.393112,8.6408424,6.1615195,-3.4355137,20.717199
31.9,-2.1085749,1.3119539,-4.6799574,.46280742,-.71688437,1.1707833,-3.0115774,1.5778086,8.3857412,6.2210002,-3.8071957,20.578678,-.11764227,.72651654,-1.5415885,1.306304,.59924209,1.3497632,-2.0462451,3.2447293,9.1026249,6.302515,-3.2500775,21.455328,8.5033836,6.2518897,-3.7500956,20.756863
32,-2.2426851,1.3561056,-4.9006033,.41523314,-.7489602,1.1982826,-3.0975511,1.5996306,8.2247829,6.3103089,-4.1431956,20.59276,-.12997872,.73983425,-1.5800272,1.3200698,.61898148,1.379228,-2.0842557,3.3222187,8.9737425,6.3945169,-3.5592797,21.506765,8.3547611,6.342206,-4.0757337,20.785255
32.1,-2.379915,1.4012593,-5.1263328,.36650276,-.7816335,1.2264006,-3.1853344,1.6220675,8.0524416,6.3995919,-4.4905281,20.595411,-.14265557,.75349408,-1.6194769,1.3341657,.63897794,1.4094033,-2.1234019,3.4013577,8.834075,6.4866762,-3.8795767,21.547728,8.195097,6.4325581,-4.4124846,20.802679
32.2,-2.5202291,1.4474105,-5.3571014,.31664336,-.81489778,1.2551523,-3.2749512,1.6451557,7.8688684,6.4889469,-4.8492346,20.586971,-.15566875,.76751566,-1.6599718,1.3486344,.65922904,1.4403131,-2.1637328,3.4821908,8.6837664,6.5790992,-4.211031,21.578564,8.0245371,6.523046,-4.7603984,20.809473
32.3,-2.6635959,1.4945521,-5.592864,.26567262,-.84874654,1.2845492,-3.3664167,1.6689237,7.6741509,6.5784502,-5.2193751,20.567677,-.16901505,.78191543,-1.7015411,1.363511,.67973149,1.4719759,-2.2052884,3.5647514,8.5228977,6.6718674,-4.5537229,21.599518,7.8431659,6.6137486,-5.1195431,20.805874
32.4,-2.8099761,1.5426781,-5.8335695,.21361749,-.88317275,1.3146038,-3.459749,1.6934034,7.4684577,6.668201,-5.6009755,20.537891,-.18268999,.79671097,-1.7442148,1.3788348,.70048279,1.5044123,-2.2481112,3.6490767,8.3516302,6.7650876,-4.9076977,21.610958,7.6511478,6.7047668,-5.489953,20.792248
32.5,-2.9593387,1.5917803,-6.0791707,.16049327,-.91817003,1.3453248,-3.5549581,1.718618,7.2518778,6.7582717,-5.9940915,20.497847,-.19669038,.81191653,-1.7880175,1.3946368,.72147965,1.5376374,-2.2922342,3.7351933,8.1700478,6.8588386,-5.2730293,21.613125,7.4485679,6.7961755,-5.8716908,20.768827
32.6,-3.1116486,1.6418512,-6.3296175,.10632081,-.95373178,1.3767214,-3.652056,1.7445925,7.0245519,6.848753,-6.398757,20.447861,-.21101224,.82754689,-1.8329743,1.4109498,.74271947,1.5716667,-2.3376908,3.8231297,7.9782834,6.9532161,-5.6497703,21.606337,7.2355642,6.8880663,-6.2647977,20.735926
32.7,-3.2668688,1.6928829,-6.5848579,.05112065,-.98985124,1.4088018,-3.7510519,1.7713495,6.7866254,6.9397321,-6.8149996,20.38825,-.22565155,.84361553,-1.8791076,1.4278046,.76419967,1.6065148,-2.3845115,3.9129107,7.7764769,7.0483141,-6.0379648,21.590918,7.0122771,6.9805298,-6.6693096,20.693863
32.8,-3.4249678,1.7448657,-6.8448415,-.005093989,-1.0265219,1.4415709,-3.851949,1.7989051,6.5381904,7.0312786,-7.2428627,20.319242,-.24060497,.86013329,-1.9264352,1.4452252,.78591692,1.6421912,-2.4327185,4.0045524,7.564712,7.144206,-6.4376745,21.567099,6.7787952,7.0736356,-7.0852761,20.642866
32.9,-3.5859075,1.7977909,-7.1095128,-.062302038,-1.0637369,1.475035,-3.9547524,1.8272786,6.2794094,7.1234832,-7.6823611,20.24118,-.25586817,.87711179,-1.9749757,1.4632393,.80786872,1.6787074,-2.4823372,4.0980744,7.3431463,7.2409873,-6.848928,21.535221,6.5352774,7.1674767,-7.5127187,20.583273
33,-3.7496564,1.8516486,-7.3788209,-.12049185,-1.1014898,1.5091968,-4.0594611,1.8564817,6.0103726,7.2164106,-8.1335325,20.154278,-.27143794,.89455956,-2.0247424,1.4818666,.83005178,1.7160701,-2.5333836,4.1934872,7.1118622,7.338727,-7.2717786,21.495502,6.2818103,7.2621193,-7.9516821,20.515303
33.1,-3.9161787,1.9064293,-7.6527114,-.179646,-1.1397738,1.54406,-4.1660757,1.886528,5.7312226,7.310142,-8.5963917,20.058838,-.28731027,.91248554,-2.0757492,1.5011286,.8524636,1.7542869,-2.5858755,4.2908025,6.8709965,7.4375105,-7.7062554,21.44825,6.0185332,7.357645,-8.4021864,20.439253
33.2,-4.0854378,1.962123,-7.931128,-.23974705,-1.1785823,1.5796268,-4.2745938,1.9174294,5.4421082,7.4047551,-9.0709457,19.955162,-.30348101,.93089741,-2.1280065,1.5210444,.87510133,1.7933636,-2.6398268,4.3900294,6.6206903,7.5374184,-8.1523781,21.393759,5.7455888,7.454134,-8.8642454,20.355423
33.3,-4.2574029,2.0187194,-8.2140207,-.3007856,-1.2179091,1.6158975,-4.3850102,1.9491919,5.1431112,7.5003099,-9.5572262,19.843449,-.31994712,.94980055,-2.1815219,1.5416278,.89796191,1.833303,-2.6952457,4.4911695,6.3610201,7.6385131,-8.6101904,21.33223,5.463058,7.5516453,-9.3378944,20.264011
